TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x83bf9be8,UDPv4,0.0.0.0,0,*,0,,1336,svchost.exe,2023-03-29 15:18:25.000000 UTC
0,0x8455b790,TCPv4,10.0.2.47,50037,142.250.187.234,443,ESTABLISHED,-,-,-
0,0x84588030,UDPv4,10.0.2.47,0,*,0,,4,System,2023-03-29 15:18:17.000000 UTC
0,0x84588140,UDPv4,10.0.2.47,0,*,0,,4,System,2023-03-29 15:18:17.000000 UTC
0,0x845ab650,TCPv4,10.0.2.47,50060,172.217.169.35,443,ESTABLISHED,-,-,-
0,0x845de650,TCPv4,10.0.2.47,50125,20.189.173.5,443,ESTABLISHED,-,-,-
0,0x845ef650,TCPv4,10.0.2.47,50016,172.217.169.45,443,ESTABLISHED,-,-,-
0,0x84d18650,TCPv4,10.0.2.47,50122,68.219.88.225,443,ESTABLISHED,-,-,-
0,0x84d9b790,TCPv4,10.0.2.47,50037,142.250.187.234,443,ESTABLISHED,-,-,-
0,0x84dc3030,UDPv4,10.0.2.47,0,*,0,,4,System,2023-03-29 15:18:17.000000 UTC
0,0x84dc3140,UDPv4,10.0.2.47,0,*,0,,4,System,2023-03-29 15:18:17.000000 UTC
0,0x84de6650,TCPv4,10.0.2.47,50060,172.217.169.35,443,ESTABLISHED,-,-,-
0,0x84e81650,TCPv4,10.0.2.47,50125,20.189.173.5,443,ESTABLISHED,-,-,-
0,0x84e91650,TCPv4,10.0.2.47,50016,172.217.169.45,443,ESTABLISHED,-,-,-
0,0x84eaa878,TCPv4,10.0.2.47,50014,142.250.180.14,443,ESTABLISHED,-,-,-
0,0x86a0b878,TCPv4,10.0.2.47,50014,142.250.180.14,443,ESTABLISHED,-,-,-
0,0x86a74be8,UDPv4,0.0.0.0,0,*,0,,1336,svchost.exe,2023-03-29 15:18:25.000000 UTC
0,0x890f7ad8,UDPv4,0.0.0.0,0,*,0,,6372,msedge.exe,2023-03-29 15:18:58.000000 UTC
0,0x890f89b8,UDPv4,0.0.0.0,0,*,0,,6372,msedge.exe,2023-03-29 15:18:58.000000 UTC
0,0x890f89b8,UDPv6,::,0,*,0,,6372,msedge.exe,2023-03-29 15:18:58.000000 UTC
0,0x89b5a148,UDPv4,127.0.0.1,0,*,0,,6260,svchost.exe,2023-03-29 15:18:55.000000 UTC
0,0x89b5a258,UDPv6,::1,0,*,0,,6260,svchost.exe,2023-03-29 15:18:55.000000 UTC
0,0x89b5a7a8,UDPv4,10.0.2.47,0,*,0,,6260,svchost.exe,2023-03-29 15:18:55.000000 UTC
0,0x89b5abe8,UDPv6,fe80::5575:af4f:f285:ea4,0,*,0,,6260,svchost.exe,2023-03-29 15:18:55.000000 UTC
0,0x89b5b138,UDPv4,127.0.0.1,0,*,0,,6260,svchost.exe,2023-03-29 15:18:55.000000 UTC
0,0x89b5b9b8,UDPv4,10.0.2.47,0,*,0,,6260,svchost.exe,2023-03-29 15:18:55.000000 UTC
0,0x89ba0490,TCPv4,10.0.2.47,50131,8.238.73.254,80,ESTABLISHED,-,-,-
0,0x8cc9d670,TCPv4,10.0.2.47,50094,142.250.187.202,443,ESTABLISHED,-,-,-
0,0x8ccd08a8,UDPv6,fe80::5575:af4f:f285:ea4,0,*,0,,6260,svchost.exe,2023-03-29 15:18:55.000000 UTC
0,0x8ccd0bd8,UDPv6,::1,0,*,0,,6260,svchost.exe,2023-03-29 15:18:55.000000 UTC
0,0x8f6ec9b8,UDPv4,127.0.0.1,0,*,0,,1104,svchost.exe,2023-03-29 15:18:19.000000 UTC
0,0x8fb42008,TCPv4,10.0.2.47,50047,216.58.212.206,443,ESTABLISHED,-,-,-
0,0x91c029b8,UDPv4,0.0.0.0,0,*,0,,1596,svchost.exe,2023-03-29 15:18:17.000000 UTC
0,0x91c029b8,UDPv6,::,0,*,0,,1596,svchost.exe,2023-03-29 15:18:17.000000 UTC
0,0x91c02bd8,UDPv4,0.0.0.0,0,*,0,,1596,svchost.exe,2023-03-29 15:18:17.000000 UTC
0,0x91c02bd8,UDPv6,::,0,*,0,,1596,svchost.exe,2023-03-29 15:18:17.000000 UTC
0,0x91c02ce8,UDPv4,0.0.0.0,0,*,0,,1596,svchost.exe,2023-03-29 15:18:17.000000 UTC
0,0x95550650,TCPv4,10.0.2.47,50055,142.250.179.238,443,ESTABLISHED,-,-,-
0,0x97f0b008,TCPv4,10.0.2.47,50127,13.107.42.12,443,ESTABLISHED,-,-,-
0,0x9d8f3c98,TCPv4,10.0.2.47,49673,20.90.156.32,443,ESTABLISHED,-,-,-
0,0x9d91bbe0,TCPv4,10.0.2.47,50010,142.250.200.1,443,ESTABLISHED,-,-,-
0,0x9d97b008,TCPv4,10.0.2.47,50054,104.82.185.177,443,ESTABLISHED,-,-,-
0,0x9d985c98,TCPv4,10.0.2.47,50095,142.250.200.10,443,ESTABLISHED,-,-,-
0,0x9fb54650,TCPv4,10.0.2.47,50122,68.219.88.225,443,ESTABLISHED,-,-,-
0,0x9fbe4bd8,TCPv4,10.0.2.47,50002,142.250.179.229,443,ESTABLISHED,-,-,-
0,0xa1a4fb10,TCPv4,10.0.2.47,50024,142.250.200.14,443,ESTABLISHED,-,-,-
0,0xa1ae1790,TCPv4,10.0.2.47,50096,142.250.200.10,443,ESTABLISHED,-,-,-
0,0xa1b14b10,TCPv4,10.0.2.47,50115,172.217.16.234,443,ESTABLISHED,-,-,-
0,0xa1b1fc20,TCPv4,10.0.2.47,50093,142.250.187.202,443,ESTABLISHED,-,-,-
0,0xa1bc6c90,TCPv4,10.0.2.47,50124,52.113.194.132,443,ESTABLISHED,-,-,-
0,0xa4c53c58,TCPv4,10.0.2.47,50116,172.217.169.35,443,ESTABLISHED,-,-,-
0,0xa4dc47a8,TCPv4,10.0.2.47,50042,142.250.200.46,443,ESTABLISHED,-,-,-
0,0xa9026480,UDPv4,127.0.0.1,0,*,0,,1596,svchost.exe,2023-03-29 15:23:18.000000 UTC
0,0xa903d260,UDPv4,0.0.0.0,0,*,0,,4948,SkypeApp.exe,2023-03-29 15:18:39.000000 UTC
0,0xa903d260,UDPv6,::,0,*,0,,4948,SkypeApp.exe,2023-03-29 15:18:39.000000 UTC
0,0xa903e030,UDPv4,0.0.0.0,0,*,0,,1596,svchost.exe,2023-03-29 15:28:17.000000 UTC
0,0xa903e030,UDPv6,::,0,*,0,,1596,svchost.exe,2023-03-29 15:28:17.000000 UTC
0,0xa903e360,UDPv4,0.0.0.0,0,*,0,,6608,msedge.exe,2023-03-29 15:30:43.000000 UTC
0,0xa903ead0,UDPv4,0.0.0.0,0,*,0,,5904,OneDrive.exe,2023-03-29 15:30:45.000000 UTC
0,0xa903ead0,UDPv6,::,0,*,0,,5904,OneDrive.exe,2023-03-29 15:30:45.000000 UTC
0,0xa903ee00,UDPv4,0.0.0.0,0,*,0,,6608,msedge.exe,2023-03-29 15:30:45.000000 UTC
0,0xa903f130,UDPv4,0.0.0.0,0,*,0,,1596,svchost.exe,2023-03-29 15:28:17.000000 UTC
0,0xa904a008,TCPv4,10.0.2.47,50009,142.250.179.227,443,ESTABLISHED,-,-,-
0,0xa909ca10,TCPv4,10.0.2.47,50013,142.250.178.14,443,ESTABLISHED,-,-,-
0,0xa90ed810,TCPv4,10.0.2.47,50005,172.217.169.35,443,ESTABLISHED,-,-,-
0,0xa9126a10,TCPv4,10.0.2.47,50011,142.250.200.46,443,ESTABLISHED,-,-,-
0,0xa912e650,TCPv4,10.0.2.47,49992,104.82.185.177,443,ESTABLISHED,-,-,-
0,0xa918e650,TCPv4,10.0.2.47,49805,199.232.57.44,443,ESTABLISHED,-,-,-
0,0xa91b1c90,TCPv4,10.0.2.47,50007,172.217.16.227,443,ESTABLISHED,-,-,-
0,0xaccb5630,TCPv4,10.0.2.47,49954,20.90.153.243,443,ESTABLISHED,-,-,-
0,0xaccb8ad0,TCPv4,10.0.2.47,49712,20.90.153.243,443,ESTABLISHED,-,-,-
0,0xaccbb650,TCPv4,10.0.2.47,50040,142.250.178.10,443,ESTABLISHED,-,-,-
0,0xacd57b10,TCPv4,10.0.2.47,49719,20.42.65.88,443,CLOSED,-,-,-
0,0xacd59b10,TCPv4,10.0.2.47,50123,104.110.245.109,443,ESTABLISHED,-,-,-
0,0xacd78790,TCPv4,10.0.2.47,49778,199.232.57.44,443,ESTABLISHED,-,-,-
0,0xacd7b790,TCPv4,10.0.2.47,50130,52.182.143.208,443,ESTABLISHED,-,-,-
0,0xacda6b78,TCPv4,10.0.2.47,50029,142.250.180.10,443,ESTABLISHED,-,-,-
0,0xacda8b10,TCPv4,10.0.2.47,50021,142.250.200.14,443,ESTABLISHED,-,-,-
0,0xacdfb650,TCPv4,10.0.2.47,50044,142.250.178.10,443,ESTABLISHED,-,-,-
0,0xad060b10,TCPv4,10.0.2.47,50038,142.250.178.14,443,ESTABLISHED,-,-,-
0,0xad074c98,TCPv4,10.0.2.47,50129,52.182.143.208,443,CLOSED,-,-,-
0,0xad087028,TCPv4,10.0.2.47,50015,142.250.180.14,443,ESTABLISHED,-,-,-
0,0xad092c90,TCPv4,10.0.2.47,50110,13.107.21.239,443,CLOSED,-,-,-
0,0xad0fdc98,TCPv4,10.0.2.47,49696,13.107.4.52,80,CLOSED,-,-,-
0,0xad111740,TCPv4,10.0.2.47,49920,199.232.57.229,443,ESTABLISHED,-,-,-
0,0xad18a7b0,TCPv4,10.0.2.47,49887,142.250.187.228,443,ESTABLISHED,-,-,-
0,0xad1d1b90,TCPv4,10.0.2.47,50035,142.250.180.10,443,ESTABLISHED,-,-,-
0,0xad1dbc98,TCPv4,10.0.2.47,50126,13.107.42.12,443,ESTABLISHED,-,-,-
0,0xaeacc790,TCPv4,10.0.2.47,50031,142.250.187.234,443,ESTABLISHED,-,-,-
0,0xaead9b90,TCPv4,10.0.2.47,50036,216.58.212.234,443,ESTABLISHED,-,-,-
0,0xaeb85650,TCPv4,10.0.2.47,49894,142.250.178.2,443,ESTABLISHED,-,-,-

