TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0x84568500,0x4,Process,0x1fffff,System Pid 4
0,4,System,0x86a1d880,0x8,Thread,0x1fffff,Tid 28 Pid 4
0,4,System,0x84577338,0xc,Mutant,0x1f0001,BcdSyncMutant
0,4,System,0x85c0a4d8,0x10,Directory,0xf000f,-
0,4,System,0x85c04cf8,0x14,Directory,0xf000f,GLOBAL??
0,4,System,0x84554be8,0x18,Partition,0x1f0003,MemoryPartition0
0,4,System,0x85c0a1f0,0x1c,Directory,0xf000f,KernelObjects
0,4,System,0x845b8068,0x20,Event,0x1f0003,LowPagedPoolCondition
0,4,System,0x845b80a8,0x24,Event,0x1f0003,HighPagedPoolCondition
0,4,System,0x845b8128,0x28,Event,0x1f0003,LowNonPagedPoolCondition
0,4,System,0x845b8168,0x2c,Event,0x1f0003,HighNonPagedPoolCondition
0,4,System,0x845b81e8,0x30,Event,0x1f0003,LowMemoryCondition
0,4,System,0x845b8228,0x34,Event,0x1f0003,HighMemoryCondition
0,4,System,0x845b8828,0x38,Event,0x1f0003,LowCommitCondition
0,4,System,0x845b87e8,0x3c,Event,0x1f0003,HighCommitCondition
0,4,System,0x845b8468,0x40,Event,0x1f0003,MaximumCommitCondition
0,4,System,0x845b84a8,0x44,Event,0x1f0003,MemoryErrors
0,4,System,0x845b84e8,0x48,Event,0x1f0003,PhysicalMemoryChange
0,4,System,0x88fb8338,0x4c,SymbolicLink,0xf0001,ROOT#vdrvroot#0000#{2e34d650-5819-42ca-84ae-d30803bae505}
0,4,System,0x86a26640,0x50,Thread,0x1fffff,Tid 84 Pid 4
0,4,System,0x86a28640,0x54,Process,0x1fffff,Registry Pid 100
0,4,System,0x85c1f970,0x58,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0x85c5fa78,0x5c,Key,0x20000,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E97D-E325-11CE-BFC1-08002BE10318}\\0010
0,4,System,0x85c049e8,0x60,Key,0x0,-
0,4,System,0x85c5e318,0x64,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0x85c5e208,0x68,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0x85c5e648,0x6c,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NOTIFICATIONS
0,4,System,0x85c5f968,0x70,Key,0xf003f,MACHINE\\SYSTEM\\HARDWARECONFIG\\{5FED273B-86AD-4899-9F31-9E2F14A031F3}\\PRODUCTIDS
0,4,System,0x85c1fb08,0x74,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0x85c9ad88,0x78,SymbolicLink,0xf0001,ACPI#FixedButton#2&daba3ff&0#{4afa3d53-74a7-11d0-be5e-00a0c9062857}
0,4,System,0x84567038,0x7c,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0x85c5e0f8,0x80,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LEAPSECONDINFORMATION
0,4,System,0x84556220,0x84,ALPC Port,0x1f0001,PowerPort
0,4,System,0xb19bec90,0x88,WaitCompletionPacket,0x1,-
0,4,System,0x85c5e180,0x8c,Key,0xf003f,MACHINE\\SYSTEM\\DRIVERDATABASE
0,4,System,0x85c5e6d0,0x90,Key,0x11,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER
0,4,System,0x85cba670,0x94,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0x85cba418,0x98,Key,0xf003f,MACHINE\\SYSTEM
0,4,System,0x85cba058,0x9c,Key,0xf003f,USER
0,4,System,0x86a560c0,0xa0,Event,0x1f0003,-
0,4,System,0x85c1fa80,0xa4,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\ENUM
0,4,System,0x85c5ea88,0xa8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0x85cba508,0xac,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECLASSES
0,4,System,0x85c5ee40,0xb0,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICECONTAINERS
0,4,System,0x85c5e978,0xb4,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS
0,4,System,0x85c5f280,0xb8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\DEVICEPANELS
0,4,System,0x85c5f1f8,0xbc,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES
0,4,System,0x85c5f6c0,0xc0,Key,0xf003f,MACHINE\\SYSTEM\\HARDWARECONFIG
0,4,System,0x88e30608,0xc4,SymbolicLink,0xf0001,STORAGE#Volume#{1969d8b3-cd68-11ed-9999-806e6f6e6963}#0000000003300000#{53f5630d-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0x85cba1c0,0xc8,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\HARDWARE PROFILES
0,4,System,0x88fc0670,0xcc,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\MUP
0,4,System,0x85c5f7d0,0xd0,Key,0xf003f,MACHINE\\SYSTEM\\RNG
0,4,System,0x85c5f748,0xd4,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\WMI\\SECURITY
0,4,System,0x88fb89c8,0xd8,SymbolicLink,0xf0001,ROOT#spaceport#0000#{53f5630e-b6bf-11d0-94f2-00a0c91efb8b}
0,4,System,0x88ffa648,0xdc,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{0AABB002-A307-447E-9B81-1D819DF6C6D0}\\{CE74AA52-A71A-4036-BEEF-B6C411010E28}
0,4,System,0x8ed81bf8,0xe0,SymbolicLink,0xf0001,PCI#VEN_8086&DEV_100E&SUBSYS_001E8086&REV_02#3&267a616a&0&18#{ad498944-762f-11d0-8dcb-00c04fc3358c}
0,4,System,0x88f9ce68,0xe4,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\STORPORT
0,4,System,0x85c4aa00,0xe8,Token,0xe,-
0,4,System,0x8ecf8940,0xec,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL
0,4,System,0x8ed9a058,0xf0,Section,0x6,-
0,4,System,0x88ef8758,0xf4,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\DFSC\\PARAMETERS
0,4,System,0x8f690650,0xf8,File,0x12019f,\\Device\\clfsKtmLog
0,4,System,0x8f68fc28,0xfc,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x8ecf86e8,0x100,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\FILESYSTEM
0,4,System,0x8ecf8b20,0x104,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL
0,4,System,0x8db74040,0x108,Thread,0x1fffff,Tid 340 Pid 4
0,4,System,0x8f68f2c8,0x10c,File,0x12019f,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog.blf
0,4,System,0x8f68fa98,0x110,File,0x12019f,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000001
0,4,System,0x8f68fb60,0x114,File,0x12019f,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLogContainer00000000000000000002
0,4,System,0x8f68f6b0,0x118,File,0x13019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x8f68f458,0x11c,File,0x12019f,\\Device\\clfsTxfLog
0,4,System,0x8f68f840,0x120,File,0x1,\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$Txf:$I30:$INDEX_ALLOCATION
0,4,System,0x91b40078,0x124,File,0x12008b,\\Device\\HarddiskVolume2\\Windows\\System32\\WDI\\LogFiles\\WdiContextLog.etl.003
0,4,System,0x89bbc4a8,0x128,TmTm,0xf003f,-
0,4,System,0x8ecf8ee0,0x12c,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL
0,4,System,0x8ede80c0,0x130,SymbolicLink,0xf0001,ACPI#GenuineIntel_-_x86_Family_6_Model_158_-_Intel(R)_Core(TM)_i7-8700_CPU_@_3.20GHz#_0#{dbe4373d-3c81-40cb-ace4-e0e5d05f0c9f}
0,4,System,0x8cd41d98,0x134,TmRm,0x12007f,-
0,4,System,0x8ed82058,0x138,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER
0,4,System,0x8f69b600,0x13c,Process,0x1fffff,smss.exe Pid 360
0,4,System,0x85c5fc10,0x140,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\{7746D80F-97E0-4E26-9543-26B41FC22F79}\\{A25AE4F2-1B96-4CED-8007-AA30E9B1A218}
0,4,System,0x85c5f5b0,0x144,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\BAM\\STATE\\USERSETTINGS
0,4,System,0x85c60840,0x148,Directory,0xf000f,cimfs
0,4,System,0x88ef86d0,0x14c,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES\\SWENUM\\NOTIFY
0,4,System,0x91b3fbc8,0x150,File,0x12019f,\\Device\\HarddiskVolume2\\Windows\\System32\\config\\TxR\\{b3942617-18b2-11ea-a815-000d3aa4c730}.TMContainer00000000000000000001.regtrans-ms
0,4,System,0x8dbf4a00,0x154,ALPC Port,0x1f0001,SeRmCommandPort
0,4,System,0x8ed81ab8,0x158,SymbolicLink,0xf0001,PCI#VEN_8086&DEV_100E&SUBSYS_001E8086&REV_02#3&267a616a&0&18#{cac88484-7515-4c03-82e6-71a87abac361}
0,4,System,0x9b8fe738,0x15c,Key,0x11,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\KERNELVELOCITY
0,4,System,0x8f68f9d0,0x160,File,0x12019f,\\Device\\clfs\\Device\\HarddiskVolume1\\$Extend\\$RmMetadata\\$TxfLog\\$TxfLog
0,4,System,0x88ef8208,0x164,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LSA
0,4,System,0x89b9fec8,0x168,ALPC Port,0x1f0001,PdcPort
0,4,System,0x88ffa6d0,0x16c,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{8BC6262C-C026-411D-AE3B-7E2F70811A13}\\{C072EEBB-1955-4FA9-B4BA-421E96E1D674}
0,4,System,0x88ffaf50,0x170,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{EE1E4F72-E368-46B1-B3C6-5048B11C2DBD}\\{9C1F0DBA-33E9-43AF-9EDA-A607AA5139DA}
0,4,System,0x88ffae40,0x174,Key,0x8,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\POWER\\PROFILE\\EVENTS\\{54533251-82BE-4824-96C1-47B60B740D00}\\{D4140C81-EBBA-4E60-8561-6918290359CD}\\{35037BB4-9528-481D-8CB2-8FCC63A9DD81}
