TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x83bf9be8,UDPv4,0.0.0.0,0,*,0,,1336,svchost.exe,2023-03-29 15:18:25.000000 UTC
0,0x84588030,UDPv4,10.0.2.47,0,*,0,,4,System,2023-03-29 15:18:17.000000 UTC
0,0x84588140,UDPv4,10.0.2.47,0,*,0,,4,System,2023-03-29 15:18:17.000000 UTC
0,0x845aa650,TCPv4,10.0.2.47,50398,23.73.138.234,443,CLOSE_WAIT,-,-,-
0,0x845c3650,TCPv4,10.0.2.47,50393,68.219.88.97,443,CLOSED,-,-,-
0,0x845e4650,TCPv4,10.0.2.47,50402,2.17.209.146,443,CLOSE_WAIT,-,-,-
0,0x845e8650,TCPv4,10.0.2.47,50468,142.250.178.14,443,ESTABLISHED,-,-,-
0,0x845f1650,TCPv4,10.0.2.47,50401,2.17.209.146,443,CLOSE_WAIT,-,-,-
0,0x845f7650,TCPv4,10.0.2.47,50387,2.17.209.139,443,CLOSE_WAIT,-,-,-
0,0x84cdcc58,TCPv4,10.0.2.47,50475,172.217.16.225,443,ESTABLISHED,-,-,-
0,0x84ce0c98,TCPv4,10.0.2.47,50486,51.11.118.111,443,CLOSED,-,-,-
0,0x84dc3030,UDPv4,10.0.2.47,0,*,0,,4,System,2023-03-29 15:18:17.000000 UTC
0,0x84dc3140,UDPv4,10.0.2.47,0,*,0,,4,System,2023-03-29 15:18:17.000000 UTC
0,0x84de5650,TCPv4,10.0.2.47,50398,23.73.138.234,443,CLOSE_WAIT,-,-,-
0,0x84dfc650,TCPv4,10.0.2.47,50393,68.219.88.97,443,CLOSED,-,-,-
0,0x84e87650,TCPv4,10.0.2.47,50402,2.17.209.146,443,CLOSE_WAIT,-,-,-
0,0x84e8b650,TCPv4,10.0.2.47,50468,142.250.178.14,443,ESTABLISHED,-,-,-
0,0x84e93650,TCPv4,10.0.2.47,50401,2.17.209.146,443,CLOSE_WAIT,-,-,-
0,0x84e99650,TCPv4,10.0.2.47,50387,2.17.209.139,443,CLOSE_WAIT,-,-,-
0,0x84eb1a98,TCPv4,10.0.2.47,50388,2.17.209.139,443,CLOSE_WAIT,-,-,-
0,0x86a13a98,TCPv4,10.0.2.47,50388,2.17.209.139,443,CLOSE_WAIT,-,-,-
0,0x86a74be8,UDPv4,0.0.0.0,0,*,0,,1336,svchost.exe,2023-03-29 15:18:25.000000 UTC
0,0x890f7ad8,UDPv4,0.0.0.0,0,*,0,,6372,msedge.exe,2023-03-29 15:18:58.000000 UTC
0,0x890f89b8,UDPv4,0.0.0.0,0,*,0,,6372,msedge.exe,2023-03-29 15:18:58.000000 UTC
0,0x890f89b8,UDPv6,::,0,*,0,,6372,msedge.exe,2023-03-29 15:18:58.000000 UTC
0,0x89384890,TCPv4,10.0.2.47,50494,20.189.173.12,443,ESTABLISHED,-,-,-
0,0x89b5a258,UDPv6,::1,0,*,0,,6260,svchost.exe,2023-03-29 15:18:55.000000 UTC
0,0x89b5abe8,UDPv6,fe80::5575:af4f:f285:ea4,0,*,0,,6260,svchost.exe,2023-03-29 15:18:55.000000 UTC
0,0x89b5b138,UDPv4,127.0.0.1,0,*,0,,6260,svchost.exe,2023-03-29 15:18:55.000000 UTC
0,0x89b5b9b8,UDPv4,10.0.2.47,0,*,0,,6260,svchost.exe,2023-03-29 15:18:55.000000 UTC
0,0x8cceb610,TCPv4,10.0.2.47,50390,2.17.209.139,443,CLOSE_WAIT,-,-,-
0,0x8db6f610,TCPv4,10.0.2.47,50400,23.73.138.234,443,CLOSE_WAIT,-,-,-
0,0x8f694b38,TCPv4,10.0.2.47,50464,51.104.25.240,443,CLOSED,-,-,-
0,0x8f6ec9b8,UDPv4,127.0.0.1,0,*,0,,1104,svchost.exe,2023-03-29 15:18:19.000000 UTC
0,0x8f720a90,TCPv4,10.0.2.47,50389,2.17.209.139,443,CLOSE_WAIT,-,-,-
0,0x8fb42008,TCPv4,10.0.2.47,50476,172.217.169.13,443,ESTABLISHED,-,-,-
0,0x91c01258,UDPv4,0.0.0.0,0,*,0,,1596,svchost.exe,2023-03-29 17:18:19.000000 UTC
0,0x91c029b8,UDPv4,0.0.0.0,0,*,0,,1596,svchost.exe,2023-03-29 15:18:17.000000 UTC
0,0x91c029b8,UDPv6,::,0,*,0,,1596,svchost.exe,2023-03-29 15:18:17.000000 UTC
0,0x91c02bd8,UDPv4,0.0.0.0,0,*,0,,1596,svchost.exe,2023-03-29 15:18:17.000000 UTC
0,0x91c02bd8,UDPv6,::,0,*,0,,1596,svchost.exe,2023-03-29 15:18:17.000000 UTC
0,0x91c02ce8,UDPv4,0.0.0.0,0,*,0,,1596,svchost.exe,2023-03-29 15:18:17.000000 UTC
0,0x95473650,TCPv4,10.0.2.47,50484,142.250.200.14,443,ESTABLISHED,-,-,-
0,0x95557c58,TCPv4,10.0.2.47,50397,13.89.179.9,443,CLOSED,-,-,-
0,0x97f83c18,TCPv4,10.0.2.47,50201,172.217.169.10,443,ESTABLISHED,-,-,-
0,0x97fc4c40,TCPv4,10.0.2.47,50391,2.17.209.139,443,CLOSE_WAIT,-,-,-
0,0x9d8f3c98,TCPv4,10.0.2.47,49673,20.90.156.32,443,ESTABLISHED,-,-,-
0,0x9d91e650,TCPv4,10.0.2.47,50459,13.107.42.12,443,CLOSED,-,-,-
0,0x9d922c58,TCPv4,10.0.2.47,50472,142.250.200.14,443,ESTABLISHED,-,-,-
0,0x9d9ab7b0,TCPv4,10.0.2.47,50473,172.217.169.46,443,ESTABLISHED,-,-,-
0,0x9fa0fc90,TCPv4,10.0.2.47,50491,13.107.42.12,443,ESTABLISHED,-,-,-
0,0x9fb58c58,TCPv4,10.0.2.47,50475,172.217.16.225,443,ESTABLISHED,-,-,-
0,0x9fb5cc98,TCPv4,10.0.2.47,50486,51.11.118.111,443,CLOSED,-,-,-
