TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0x84568500,110,-,N/A,False,2023-03-29 15:18:14.000000 UTC,N/A,-,-,-
1,360,4,smss.exe,0x8f69b600,2,-,N/A,False,2023-03-29 15:18:14.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
1,1608,4,MemCompression,0x845fb040,42,-,N/A,False,2023-03-29 15:18:17.000000 UTC,N/A,MemCompression,-,-
1,100,4,Registry,0x86a28640,4,-,N/A,False,2023-03-29 15:18:09.000000 UTC,N/A,Registry,-,-
0,448,436,csrss.exe,0x91ce70c0,11,-,0,False,2023-03-29 15:18:16.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,524,436,wininit.exe,0x91dd5680,1,-,0,False,2023-03-29 15:18:16.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,692,524,lsass.exe,0x9546c800,9,-,0,False,2023-03-29 15:18:16.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\lsass.exe,C:\\Windows\\system32\\lsass.exe,C:\\Windows\\system32\\lsass.exe
1,668,524,services.exe,0x9544f040,6,-,0,False,2023-03-29 15:18:16.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,1152,668,svchost.exe,0x97f27440,12,-,0,False,2023-03-29 15:18:17.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted -p,C:\\Windows\\System32\\svchost.exe
2,516,668,svchost.exe,0x84575640,10,-,0,False,2023-03-29 15:18:18.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetworkFirewall -p,C:\\Windows\\system32\\svchost.exe
3,544,516,csrss.exe,0x9546c080,12,-,1,False,2023-03-29 15:18:16.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,12288,512 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
3,624,516,winlogon.exe,0x95472680,5,-,1,False,2023-03-29 15:18:16.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\winlogon.exe,winlogon.exe,C:\\Windows\\system32\\winlogon.exe
4,1008,624,dwm.exe,0x955c0040,20,-,1,False,2023-03-29 15:18:17.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\dwm.exe,"""dwm.exe""",C:\\Windows\\system32\\dwm.exe
4,780,624,fontdrvhost.ex,0x9550c040,5,-,1,False,2023-03-29 15:18:16.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\fontdrvhost.exe,"""fontdrvhost.exe""",C:\\Windows\\system32\\fontdrvhost.exe
4,2744,624,userinit.exe,0x9fba4040,0,-,1,False,2023-03-29 15:18:24.000000 UTC,2023-03-29 15:18:50.000000 UTC,\\Device\\HarddiskVolume2\\Windows\\System32\\userinit.exe,-,-
5,1848,2744,explorer.exe,0x97f994c0,83,-,1,False,2023-03-29 15:18:24.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\explorer.exe,C:\\Windows\\Explorer.EXE,C:\\Windows\\Explorer.EXE
6,5904,1848,OneDrive.exe,0xad18c680,28,-,1,False,2023-03-29 15:18:45.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Users\\mapo9\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe,"""C:\\Users\\mapo9\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe"" /background",C:\\Users\\mapo9\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe
7,6016,5904,Microsoft.Shar,0xa4d9f800,0,-,1,False,2023-03-29 15:18:47.000000 UTC,2023-03-29 15:19:12.000000 UTC,\\Device\\HarddiskVolume2\\Users\\mapo9\\AppData\\Local\\Microsoft\\OneDrive\\23.048.0305.0002\\Microsoft.SharePoint.exe,-,-
6,6372,1848,msedge.exe,0xacd40840,50,-,1,False,2023-03-29 15:18:55.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe,"""C:\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe"" --no-startup-window --win-session-start /prefetch:5",C:\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe
7,4512,6372,msedge.exe,0xad11a040,7,-,1,False,2023-03-29 15:20:18.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe,"""C:\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe"" --type=utility --utility-sub-type=audio.mojom.AudioService --lang=en-US --service-sandbox-type=audio --mojo-platform-channel-handle=6400 --field-trial-handle=2192,i,11141670019489479655,7548727925930253365,131072 /prefetch:8",C:\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe
7,4256,6372,msedge.exe,0xa1bea840,16,-,1,False,2023-03-29 15:25:23.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe,"""C:\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe"" --type=renderer --disable-gpu-compositing --lang=en-US --js-flags=--ms-user-locale=en_GB --device-scale-factor=1 --num-raster-threads=1 --renderer-client-id=52 --time-ticks-at-unix-epoch=-1680103089292951 --launch-time-ticks=433931340 --mojo-platform-channel-handle=8112 --field-trial-handle=2192,i,11141670019489479655,7548727925930253365,131072 /prefetch:1",C:\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe
7,6340,6372,msedge.exe,0xacd7b040,8,-,1,False,2023-03-29 15:19:56.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe,"""C:\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe"" --type=utility --utility-sub-type=edge_search_indexer.mojom.SearchIndexerInterfaceBroker --lang=en-US --service-sandbox-type=search_indexer --message-loop-type-ui --mojo-platform-channel-handle=4424 --field-trial-handle=2192,i,11141670019489479655,7548727925930253365,131072 /prefetch:8",C:\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe
7,6632,6372,msedge.exe,0xacda1600,7,-,1,False,2023-03-29 15:18:56.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe,"""C:\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe"" --type=utility --utility-sub-type=storage.mojom.StorageService --lang=en-US --service-sandbox-type=service --mojo-platform-channel-handle=2516 --field-trial-handle=2192,i,11141670019489479655,7548727925930253365,131072 /prefetch:8",C:\\Program Files\\Microsoft\\Edge\\Application\\msedge.exe
