TreeDepth,Offset,FileFullPath,File output
0,0x85c0c008,,Disabled
0,0x85c10008,\\REGISTRY\\MACHINE\\SYSTEM,Disabled
0,0x85c4d008,\\REGISTRY\\MACHINE\\HARDWARE,Disabled
0,0x91854008,\\SystemRoot\\System32\\Config\\SECURITY,Disabled
0,0x91856008,\\SystemRoot\\System32\\Config\\SAM,Disabled
0,0x919bc008,\\SystemRoot\\System32\\Config\\DEFAULT,Disabled
0,0x91855008,\\SystemRoot\\System32\\Config\\SOFTWARE,Disabled
0,0x92ffc238,\\Device\\HarddiskVolume1\\Boot\\BCD,Disabled
0,0x98637008,\\??\\C:\\Windows\\ServiceProfiles\\NetworkService\\NTUSER.DAT,Disabled
0,0x98782008,\\??\\C:\\Windows\\ServiceProfiles\\LocalService\\NTUSER.DAT,Disabled
0,0x9877f008,\\SystemRoot\\System32\\Config\\BBI,Disabled
0,0xa1c3d008,\\??\\C:\\Windows\\AppCompat\\Programs\\Amcache.hve,Disabled
0,0xa1d7f008,\\??\\C:\\Users\\mapo9\\ntuser.dat,Disabled
0,0xa1d7d238,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat,Disabled
0,0xa6ed6008,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.StartMenuExperienceHost_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xa6eed008,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0xa96180c0,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.Search_1.14.7.19041_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xa9601028,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\Microsoft.Windows.Search_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0xaa25e008,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.SkypeApp_14.53.77.0_x86__kzf8qxf38zg5c\\ActivationStore.dat,Disabled
0,0xabb76008,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\Microsoft.SkypeApp_kzf8qxf38zg5c\\Settings\\settings.dat,Disabled
0,0xace69298,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\MicrosoftWindows.Client.CBS_120.2212.4180.0_x86__cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xace7a008,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0xace07008,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.ShellExperienceHost_10.0.19041.1949_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled
0,0xac08c020,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\\Settings\\settings.dat,Disabled
0,0x89d20008,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.WindowsStore_11910.1002.5.0_x86__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0x8a0ab008,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\Microsoft.WindowsStore_8wekyb3d8bbwe\\Settings\\settings.dat,Disabled
0,0xa0eb9008,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.Windows.Photos_2019.19071.12548.0_x86__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0xa0ec0008,\\??\\C:\\Users\\mapo9\\AppData\\Local\\Packages\\Microsoft.Windows.Photos_8wekyb3d8bbwe\\Settings\\settings.dat,Disabled
0,0xa657d028,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\Microsoft.UI.Xaml.2.0_2.1810.18004.0_x86__8wekyb3d8bbwe\\ActivationStore.dat,Disabled
0,0xb90ee008,\\??\\C:\\ProgramData\\Microsoft\\Windows\\AppRepository\\Packages\\windows.immersivecontrolpanel_10.0.2.1000_neutral_neutral_cw5n1h2txyewy\\ActivationStore.dat,Disabled

