TreeDepth,PID,Process,Offset,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,Parent,File,File output
0,4,System,0x8cd4d508,0x77d90000,0x77f2efff,Vad ,PAGE_EXECUTE_WRITECOPY,9,0,0x0,\\Windows\\System32\\ntdll.dll,Disabled
0,4,System,0x91a52f00,0x220000,0x220fff,Vad ,PAGE_READWRITE,0,0,0x8cd4d508,N/A,Disabled
0,4,System,0x845841f8,0x7ffe0000,0x7ffe0fff,VadS,PAGE_READONLY,1,1,0x8cd4d508,N/A,Disabled
0,4,System,0x84584048,0x7ffe6000,0x7ffe6fff,VadS,PAGE_READONLY,1,1,0x845841f8,N/A,Disabled
0,100,Registry,0xa1a8a380,0x3770000,0x396ffff,Vad ,PAGE_READONLY,22,0,0x0,\\Users\\mapo9\\AppData\\Local\\Microsoft\\Windows\\UsrClass.dat,Disabled
0,100,Registry,0x91b15718,0x1e60000,0x205ffff,Vad ,PAGE_READONLY,3,0,0xa1a8a380,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0x91b15140,0xe60000,0x105ffff,Vad ,PAGE_READONLY,4,0,0x91b15718,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0x91b15350,0x660000,0x85ffff,Vad ,PAGE_READONLY,9,0,0x91b15140,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0x91b152f8,0x5c0000,0x5dffff,Vad ,PAGE_READONLY,0,0,0x91b15350,\\Windows\\System32\\config\\SAM,Disabled
0,100,Registry,0x91b152a0,0x5b0000,0x5bffff,Vad ,PAGE_READONLY,0,0,0x91b152f8,\\Windows\\System32\\config\\SECURITY,Disabled
0,100,Registry,0x91b151f0,0x5e0000,0x65ffff,Vad ,PAGE_READONLY,10,0,0x91b152f8,\\Windows\\System32\\config\\DEFAULT,Disabled
0,100,Registry,0x91b154b0,0xa60000,0xc5ffff,Vad ,PAGE_READONLY,0,0,0x91b15350,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0x91b150e8,0x860000,0xa5ffff,Vad ,PAGE_READONLY,2,0,0x91b154b0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0x91b15090,0xc60000,0xe5ffff,Vad ,PAGE_READONLY,3,0,0x91b154b0,\\Windows\\System32\\config\\SOFTWARE,Disabled
0,100,Registry,0x91b15610,0x1660000,0x185ffff,Vad ,PAGE_READONLY,11,0,0x91b15140,\\Windows\\System32\\config\\SOFTWARE,Disabled
