TreeDepth,Variable,Value
0,Kernel Base,0xf80002609000
0,DTB,0x187000
0,Symbols,file:///usr/local/lib/python3.14/site-packages/volatility3/symbols/windows/ntkrnlmp.pdb/3844DBB920174967BE7AA4A2C20430FA-2.json.xz
0,Is64Bit,True
0,IsPAE,False
0,layer_name,0 WindowsIntel32e
0,memory_layer,1 FileLayer
0,KdVersionBlock,0xf800027fa068
0,Major/Minor,33036.65506
0,MachineType,19597
0,KeNumberProcessors,0
0,SystemTime,2023-03-28 23:43:43+00:00
0,NtSystemRoot,C:\\Windows
0,NtProductType,NtProductWinNt
0,NtMajorVersion,6
0,NtMinorVersion,1
0,PE MajorOperatingSystemVersion,6
0,PE MinorOperatingSystemVersion,1
0,PE Machine,34404
0,PE TimeDateStamp,Sat Nov 20 13:00:25 2010

