TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x7d435590,UDPv4,127.0.0.1,1900,*,0,,1264,svchost.exe,2023-03-28 23:34:36.000000 UTC
0,0x7d446280,TCPv4,10.0.2.15,49359,142.250.187.238,443,ESTABLISHED,2732,chrome.exe,N/A
0,0x7d469ad0,UDPv4,10.0.2.15,63158,*,0,,1264,svchost.exe,2023-03-28 23:34:36.000000 UTC
0,0x7d4721f0,UDPv4,10.0.2.15,49635,*,0,,1384,chrome.exe,2023-03-28 23:43:30.000000 UTC
0,0x7d48d9c0,UDPv6,::1,63157,*,0,,1264,svchost.exe,2023-03-28 23:34:36.000000 UTC
0,0x7d493c80,UDPv6,fe80::7c90:904d:467a:91f4,1900,*,0,,1264,svchost.exe,2023-03-28 23:34:36.000000 UTC
0,0x7d5030f0,UDPv4,0.0.0.0,3702,*,0,,984,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0x7d5061f0,UDPv4,0.0.0.0,3702,*,0,,984,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0x7d5061f0,UDPv6,::,3702,*,0,,984,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0x7d5066f0,UDPv4,0.0.0.0,3702,*,0,,984,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0x7d5066f0,UDPv6,::,3702,*,0,,984,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0x7d506ec0,UDPv4,0.0.0.0,3702,*,0,,984,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0x7d5073e0,UDPv4,0.0.0.0,63161,*,0,,984,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0x7d5073e0,UDPv6,::,63161,*,0,,984,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0x7d507790,UDPv4,0.0.0.0,63160,*,0,,984,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0x7d521ec0,UDPv4,0.0.0.0,0,*,0,,2228,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0x7d521ec0,UDPv6,::,0,*,0,,2228,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0x7d5279c0,UDPv4,0.0.0.0,0,*,0,,2228,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0x7d5279c0,UDPv6,::,0,*,0,,2228,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0x7d546010,TCPv4,10.0.2.15,49353,142.250.200.46,443,ESTABLISHED,2732,chrome.exe,N/A
0,0x7d6e7250,TCPv4,10.0.2.15,49360,172.217.16.227,443,ESTABLISHED,2732,chrome.exe,N/A
0,0x7d7deec0,UDPv4,10.0.2.15,1900,*,0,,1264,svchost.exe,2023-03-28 23:34:36.000000 UTC
0,0x7d8077f0,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,-
0,0x7d8077f0,TCPv6,::,445,::,0,LISTENING,4,System,-
0,0x7d823550,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,456,services.exe,-
0,0x7d823550,TCPv6,::,49155,::,0,LISTENING,456,services.exe,-
0,0x7d828ef0,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,456,services.exe,-
0,0x7d848cf0,TCPv4,-,49310,172.217.16.234,443,CLOSED,2732,chrome.exe,-
0,0x7d853010,UDPv4,0.0.0.0,3702,*,0,,1264,svchost.exe,2023-03-28 23:34:14.000000 UTC
0,0x7d8931f0,TCPv4,10.0.2.15,49361,172.217.16.227,443,ESTABLISHED,2732,chrome.exe,N/A
0,0x7d893c60,UDPv4,0.0.0.0,0,*,0,,284,svchost.exe,2023-03-28 23:34:10.000000 UTC
0,0x7d893c60,UDPv6,::,0,*,0,,284,svchost.exe,2023-03-28 23:34:10.000000 UTC
0,0x7d8f2ce0,TCPv4,0.0.0.0,49156,0.0.0.0,0,LISTENING,472,lsass.exe,-
0,0x7d8f2ce0,TCPv6,::,49156,::,0,LISTENING,472,lsass.exe,-
0,0x7d922010,UDPv4,0.0.0.0,5355,*,0,,284,svchost.exe,2023-03-28 23:34:14.000000 UTC
0,0x7d95c010,UDPv4,0.0.0.0,3702,*,0,,1264,svchost.exe,2023-03-28 23:34:14.000000 UTC
0,0x7d95c010,UDPv6,::,3702,*,0,,1264,svchost.exe,2023-03-28 23:34:14.000000 UTC
0,0x7da0a7f0,UDPv4,0.0.0.0,5355,*,0,,284,svchost.exe,2023-03-28 23:34:14.000000 UTC
0,0x7da0a7f0,UDPv6,::,5355,*,0,,284,svchost.exe,2023-03-28 23:34:14.000000 UTC
0,0x7da0ea60,TCPv4,0.0.0.0,5357,0.0.0.0,0,LISTENING,4,System,-
0,0x7da0ea60,TCPv6,::,5357,::,0,LISTENING,4,System,-
0,0x7db1aec0,UDPv4,0.0.0.0,51716,*,0,,1264,svchost.exe,2023-03-28 23:34:08.000000 UTC
0,0x7db1aec0,UDPv6,::,51716,*,0,,1264,svchost.exe,2023-03-28 23:34:08.000000 UTC
0,0x7db8b150,TCPv4,0.0.0.0,49156,0.0.0.0,0,LISTENING,472,lsass.exe,-
0,0x7dbaf4f0,UDPv4,127.0.0.1,51501,*,0,,284,svchost.exe,2023-03-28 23:34:11.000000 UTC
0,0x7dbcf2b0,TCPv4,10.0.2.15,49288,142.250.200.3,443,CLOSED,-,-,-
0,0x7dbd59b0,UDPv4,0.0.0.0,51715,*,0,,1264,svchost.exe,2023-03-28 23:34:08.000000 UTC
0,0x7dbdf240,TCPv4,10.0.2.15,139,0.0.0.0,0,LISTENING,4,System,-
0,0x7dbef650,UDPv4,0.0.0.0,3702,*,0,,1264,svchost.exe,2023-03-28 23:34:14.000000 UTC
0,0x7dc081f0,UDPv4,127.0.0.1,63159,*,0,,1264,svchost.exe,2023-03-28 23:34:36.000000 UTC
0,0x7dc08340,UDPv6,fe80::7c90:904d:467a:91f4,63156,*,0,,1264,svchost.exe,2023-03-28 23:34:36.000000 UTC
0,0x7dc9bac0,UDPv6,::1,1900,*,0,,1264,svchost.exe,2023-03-28 23:34:36.000000 UTC
0,0x7dd00610,UDPv4,0.0.0.0,3702,*,0,,1264,svchost.exe,2023-03-28 23:34:14.000000 UTC
0,0x7dd00610,UDPv6,::,3702,*,0,,1264,svchost.exe,2023-03-28 23:34:14.000000 UTC
