TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,2472,588,WmiPrvSE.exe,0x59fe960,5,115,0,False,2023-03-28 23:38:08.000000 UTC,N/A,Disabled
0,2952,456,msiexec.exe,0x7d465060,15,256,0,False,2023-03-28 23:42:31.000000 UTC,N/A,Disabled
0,2228,456,svchost.exe,0x7d518200,4,190,0,False,2023-03-28 23:34:37.000000 UTC,N/A,Disabled
0,1696,2008,regsvr32.exe,0x7d62f060,0,-,1,False,2023-03-28 23:34:18.000000 UTC,2023-03-28 23:34:19.000000 UTC,Disabled
0,1104,1384,chrome.exe,0x7d648240,17,431,1,False,2023-03-28 23:39:47.000000 UTC,N/A,Disabled
0,2840,456,mscorsvw.exe,0x7d6769e0,7,85,0,True,2023-03-28 23:36:09.000000 UTC,N/A,Disabled
0,3500,1384,chrome.exe,0x7d6bc6c0,0,-,1,False,2023-03-28 23:40:09.000000 UTC,2023-03-28 23:40:09.000000 UTC,Disabled
0,2864,456,mscorsvw.exe,0x7d85a230,7,81,0,False,2023-03-28 23:36:09.000000 UTC,N/A,Disabled
0,1432,1384,chrome.exe,0x7d8dd060,0,-,1,False,2023-03-28 23:43:10.000000 UTC,2023-03-28 23:43:10.000000 UTC,Disabled
0,1952,796,dwm.exe,0x7d9906c0,3,73,1,False,2023-03-28 23:34:17.000000 UTC,N/A,Disabled
0,2008,1932,explorer.exe,0x7d995b30,35,903,1,False,2023-03-28 23:34:17.000000 UTC,N/A,Disabled
0,1264,456,svchost.exe,0x7db347b0,16,268,0,False,2023-03-28 23:34:08.000000 UTC,N/A,Disabled
0,2364,2804,GoogleCrashHan,0x7dbbfb30,5,104,0,True,2023-03-28 23:39:27.000000 UTC,N/A,Disabled
0,2908,456,sppsvc.exe,0x7dbd82e0,4,146,0,False,2023-03-28 23:36:09.000000 UTC,N/A,Disabled
0,1872,456,taskhost.exe,0x7dbffb30,8,154,1,False,2023-03-28 23:34:17.000000 UTC,N/A,Disabled
0,984,456,svchost.exe,0x7dc3d960,21,515,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,1088,456,svchost.exe,0x7dc4ab30,18,323,0,False,2023-03-28 23:34:07.000000 UTC,N/A,Disabled
0,2944,456,svchost.exe,0x7dc57a10,15,349,0,False,2023-03-28 23:36:09.000000 UTC,N/A,Disabled
0,1060,456,spoolsv.exe,0x7dd72b30,12,278,0,False,2023-03-28 23:34:07.000000 UTC,N/A,Disabled
0,480,364,lsm.exe,0x7de5eb30,10,144,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,472,364,lsass.exe,0x7deccb30,9,576,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,284,456,svchost.exe,0x7dee6390,17,525,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,588,456,svchost.exe,0x7df0b2d0,12,366,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,660,456,svchost.exe,0x7df43b30,9,287,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,752,456,svchost.exe,0x7df6f9e0,24,573,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,1168,456,wmpnetwk.exe,0x7df7b910,9,213,0,False,2023-03-28 23:34:36.000000 UTC,N/A,Disabled
0,796,456,svchost.exe,0x7df92b30,26,502,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,824,456,svchost.exe,0x7dfb1b30,37,1030,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,896,752,audiodg.exe,0x7dfef060,5,128,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,372,356,csrss.exe,0x7e247060,9,396,1,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,316,296,csrss.exe,0x7e3e8b30,9,508,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,456,364,services.exe,0x7e3f1b30,12,225,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,236,4,smss.exe,0x7ea3d8a0,2,31,N/A,False,2023-03-28 23:34:04.000000 UTC,N/A,Disabled
0,364,296,wininit.exe,0x7eadf630,3,79,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,404,356,winlogon.exe,0x7eb20470,3,118,1,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,3560,3144,FTK Imager.exe,0x7ecaf060,16,337,1,True,2023-03-28 23:43:19.000000 UTC,N/A,Disabled
0,2372,456,svchost.exe,0x7ecbc1f0,6,86,0,False,2023-03-28 23:42:43.000000 UTC,N/A,Disabled
0,556,1384,software_repor,0x7efd7060,7,257,1,False,2023-03-28 23:43:54.000000 UTC,N/A,Disabled
0,3220,1384,chrome.exe,0x7f84f960,7,118,1,False,2023-03-28 23:39:39.000000 UTC,N/A,Disabled
0,3280,556,software_repor,0x7f9ba960,7,54,1,False,2023-03-28 23:43:54.000000 UTC,N/A,Disabled
0,1684,1384,chrome.exe,0x7fa177c0,11,178,1,False,2023-03-28 23:39:47.000000 UTC,N/A,Disabled
0,164,1384,chrome.exe,0x7fa40060,9,97,1,False,2023-03-28 23:39:27.000000 UTC,N/A,Disabled
0,2920,2804,GoogleCrashHan,0x7fa68b30,5,97,0,False,2023-03-28 23:39:27.000000 UTC,N/A,Disabled
0,3656,1384,chrome.exe,0x7fa9d5c0,14,202,1,False,2023-03-28 23:39:30.000000 UTC,N/A,Disabled
0,2732,1384,chrome.exe,0x7faa7580,15,235,1,False,2023-03-28 23:39:27.000000 UTC,N/A,Disabled
0,1320,556,software_repor,0x7faae3b0,1,41981240,1,False,2023-03-28 23:43:57.000000 UTC,N/A,Disabled
0,4044,1384,chrome.exe,0x7facc270,0,-,1,False,2023-03-28 23:43:58.000000 UTC,2023-03-28 23:43:58.000000 UTC,Disabled
0,2728,1384,chrome.exe,0x7fb2cb30,8,143,1,False,2023-03-28 23:39:28.000000 UTC,N/A,Disabled
0,3724,1384,chrome.exe,0x7fbaf960,0,-,1,False,2023-03-28 23:39:31.000000 UTC,2023-03-28 23:43:18.000000 UTC,Disabled
0,1384,2724,chrome.exe,0x7fbb17e0,35,1177,1,False,2023-03-28 23:39:27.000000 UTC,N/A,Disabled
0,3344,1384,chrome.exe,0x7fbb2b30,0,-,1,False,2023-03-28 23:39:28.000000 UTC,2023-03-28 23:39:43.000000 UTC,Disabled
0,2328,1864,SearchFilterHo,0x7fc65b30,0,-,0,False,2023-03-28 23:42:15.000000 UTC,2023-03-28 23:44:01.000000 UTC,Disabled
0,3288,1384,chrome.exe,0x7fd0a060,14,225,1,False,2023-03-28 23:40:05.000000 UTC,N/A,Disabled
0,3900,1384,chrome.exe,0x7fd9f920,16,447,1,False,2023-03-28 23:43:11.000000 UTC,N/A,Disabled
0,3632,456,VSSVC.exe,0x7fdd0b30,13,226,0,False,2023-03-28 23:42:43.000000 UTC,N/A,Disabled
0,1864,456,SearchIndexer.,0x7fee0b30,16,796,0,False,2023-03-28 23:34:26.000000 UTC,N/A,Disabled
0,4,0,System,0x7ff39040,87,559,N/A,False,2023-03-28 23:34:04.000000 UTC,N/A,Disabled

