TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0xc7a3e0,UDPv4,0.0.0.0,63161,*,0,,984,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0xc7a3e0,UDPv6,::,63161,*,0,,984,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0xc7a790,UDPv4,0.0.0.0,63160,*,0,,984,svchost.exe,2023-03-28 23:34:37.000000 UTC
0,0x5aa7590,UDPv4,127.0.0.1,1900,*,0,,1264,svchost.exe,2023-03-28 23:34:36.000000 UTC
0,0x67b8280,TCPv4,-,49359,172.217.169.36,443,ESTABLISHED,2732,chrome.exe,N/A
0,0x743fad0,UDPv4,10.0.2.15,63158,*,0,,1264,svchost.exe,2023-03-28 23:34:36.000000 UTC
0,0xa3a51f0,UDPv4,127.0.0.1,63159,*,0,,1264,svchost.exe,2023-03-28 23:34:36.000000 UTC
0,0xa3a5340,UDPv6,fe80::7c90:904d:467a:91f4,63156,*,0,,1264,svchost.exe,2023-03-28 23:34:36.000000 UTC
0,0xb4f2a20,TCPv4,-,49305,-,443,CLOSED,2732,chrome.exe,-
0,0xcb59ef0,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,456,services.exe,-
0,0xcbcd010,UDPv4,0.0.0.0,5355,*,0,,284,svchost.exe,2023-03-28 23:34:14.000000 UTC
0,0xcfd67f0,TCPv4,0.0.0.0,445,0.0.0.0,0,LISTENING,4,System,-
0,0xcfd67f0,TCPv6,::,445,::,0,LISTENING,4,System,-
0,0xd554550,TCPv4,0.0.0.0,49155,0.0.0.0,0,LISTENING,456,services.exe,-
0,0xd554550,TCPv6,::,49155,::,0,LISTENING,456,services.exe,-
0,0x1fbcb250,TCPv4,10.0.2.15,49360,142.250.200.46,443,ESTABLISHED,2732,chrome.exe,N/A
0,0x22047780,TCPv4,-,49345,142.250.200.42,443,CLOSED,2732,chrome.exe,-
0,0x2685f150,TCPv4,0.0.0.0,49156,0.0.0.0,0,LISTENING,472,lsass.exe,-
0,0x27440a60,TCPv4,0.0.0.0,5357,0.0.0.0,0,LISTENING,4,System,-
0,0x27440a60,TCPv6,::,5357,::,0,LISTENING,4,System,-
0,0x28aa8ec0,UDPv4,0.0.0.0,51716,*,0,,1264,svchost.exe,2023-03-28 23:34:08.000000 UTC
0,0x28aa8ec0,UDPv6,::,51716,*,0,,1264,svchost.exe,2023-03-28 23:34:08.000000 UTC
0,0x2eee21f0,TCPv4,10.0.2.15,49361,142.250.200.46,443,ESTABLISHED,2732,chrome.exe,N/A
0,0x2eee2c60,UDPv4,0.0.0.0,0,*,0,,284,svchost.exe,2023-03-28 23:34:10.000000 UTC
0,0x2eee2c60,UDPv6,::,0,*,0,,284,svchost.exe,2023-03-28 23:34:10.000000 UTC
0,0x2fbeb010,UDPv4,0.0.0.0,3702,*,0,,1264,svchost.exe,2023-03-28 23:34:14.000000 UTC
0,0x2fbeb010,UDPv6,::,3702,*,0,,1264,svchost.exe,2023-03-28 23:34:14.000000 UTC
0,0x305cac80,UDPv6,fe80::7c90:904d:467a:91f4,1900,*,0,,1264,svchost.exe,2023-03-28 23:34:36.000000 UTC
0,0x308c4ae0,TCPv4,10.0.2.15,49240,34.104.35.123,80,CLOSED,-,-,-
0,0x31b6fec0,UDPv4,10.0.2.15,1900,*,0,,1264,svchost.exe,2023-03-28 23:34:36.000000 UTC
0,0x36352010,TCPv4,-,49309,172.217.169.10,443,CLOSED,2732,chrome.exe,-
0,0x36dcf8c0,TCPv4,10.0.2.15,49313,10.72.0.10,443,CLOSED,2732,chrome.exe,-
0,0x37adf640,TCPv4,-,49355,10.0.2.255,443,CLOSED,2732,chrome.exe,-
0,0x38683630,TCPv4,-,49357,10.0.2.15,443,CLOSED,2732,chrome.exe,N/A
0,0x3c11aa10,UDPv4,0.0.0.0,0,*,0,,984,svchost.exe,2023-03-28 23:39:07.000000 UTC
0,0x3c11aa10,UDPv6,::,0,*,0,,984,svchost.exe,2023-03-28 23:39:07.000000 UTC
0,0x3c11acb0,UDPv4,0.0.0.0,0,*,0,,984,svchost.exe,2023-03-28 23:39:07.000000 UTC
0,0x3c322010,UDPv4,0.0.0.0,3702,*,0,,1264,svchost.exe,2023-03-28 23:34:14.000000 UTC
0,0x3f7234f0,UDPv4,127.0.0.1,51501,*,0,,284,svchost.exe,2023-03-28 23:34:11.000000 UTC
0,0x3fc3ccf0,TCPv4,-,49310,142.250.180.14,443,CLOSED,2732,chrome.exe,-
0,0x4094c290,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,660,svchost.exe,-
0,0x4094c290,TCPv6,::,135,::,0,LISTENING,660,svchost.exe,-
0,0x41c249b0,UDPv4,0.0.0.0,51715,*,0,,1264,svchost.exe,2023-03-28 23:34:08.000000 UTC
0,0x48434240,TCPv4,10.0.2.15,139,0.0.0.0,0,LISTENING,4,System,-
0,0x48604ce0,TCPv4,0.0.0.0,49156,0.0.0.0,0,LISTENING,472,lsass.exe,-
0,0x48604ce0,TCPv6,::,49156,::,0,LISTENING,472,lsass.exe,-
0,0x4d964870,TCPv4,-,0,56.27.155.3,0,CLOSED,284,svchost.exe,N/A
0,0x4db8ecf0,TCPv4,10.0.2.15,49287,216.58.212.202,443,ESTABLISHED,2732,chrome.exe,N/A
0,0x50883a60,TCPv4,0.0.0.0,135,0.0.0.0,0,LISTENING,660,svchost.exe,-
0,0x50cbbda0,TCPv4,0.0.0.0,49154,0.0.0.0,0,LISTENING,824,svchost.exe,-
0,0x50cbbda0,TCPv6,::,49154,::,0,LISTENING,824,svchost.exe,-
0,0x51671010,TCPv4,0.0.0.0,49153,0.0.0.0,0,LISTENING,752,svchost.exe,-
0,0x51671010,TCPv6,::,49153,::,0,LISTENING,752,svchost.exe,-
