TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,2908,456,sppsvc.exe,0x13672e0,4,147,0,False,2023-03-28 23:36:09.000000 UTC,N/A,Disabled
0,1864,456,SearchIndexer.,0x1388b30,16,773,0,False,2023-03-28 23:34:26.000000 UTC,N/A,Disabled
0,4,0,System,0x8c3c040,87,552,N/A,False,2023-03-28 23:34:04.000000 UTC,N/A,Disabled
0,588,456,svchost.exe,0x8d5b2d0,12,364,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,472,364,lsass.exe,0x9e68b30,9,584,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,1872,456,taskhost.exe,0xd259b30,8,196,1,False,2023-03-28 23:34:17.000000 UTC,N/A,Disabled
0,1264,456,svchost.exe,0xd48c7b0,16,266,0,False,2023-03-28 23:34:08.000000 UTC,N/A,Disabled
0,2944,456,svchost.exe,0xd9c8a10,15,375,0,False,2023-03-28 23:36:09.000000 UTC,N/A,Disabled
0,2364,2804,GoogleCrashHan,0xdc54b30,5,108,0,True,2023-03-28 23:39:27.000000 UTC,N/A,Disabled
0,1088,456,svchost.exe,0xe0deb30,18,318,0,False,2023-03-28 23:34:07.000000 UTC,N/A,Disabled
0,1104,1384,chrome.exe,0xe518240,17,422,1,False,2023-03-28 23:39:47.000000 UTC,N/A,Disabled
0,3500,1384,chrome.exe,0xee5c6c0,0,-,1,False,2023-03-28 23:40:09.000000 UTC,2023-03-28 23:40:09.000000 UTC,Disabled
0,456,364,services.exe,0x1080db30,12,220,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,3632,456,VSSVC.exe,0x14537b30,13,0,0,False,2023-03-28 23:42:43.000000 UTC,N/A,Disabled
0,2328,1864,SearchFilterHo,0x16db7b30,0,-,0,False,2023-03-28 23:42:15.000000 UTC,2023-03-28 23:44:01.000000 UTC,Disabled
0,2840,456,mscorsvw.exe,0x1f60c9e0,7,87,0,True,2023-03-28 23:36:09.000000 UTC,N/A,Disabled
0,556,1384,software_repor,0x26940060,7,2949169,1,False,2023-03-28 23:43:54.000000 UTC,N/A,Disabled
0,2952,456,msiexec.exe,0x293fb060,15,208,0,False,2023-03-28 23:42:31.000000 UTC,N/A,Disabled
0,1384,2724,chrome.exe,0x29a967e0,35,1177,1,False,2023-03-28 23:39:27.000000 UTC,N/A,Disabled
0,3656,1384,chrome.exe,0x2ab675c0,14,199,1,False,2023-03-28 23:39:30.000000 UTC,N/A,Disabled
0,2372,456,svchost.exe,0x2b9001f0,6,80,0,False,2023-03-28 23:42:43.000000 UTC,N/A,Disabled
0,1952,796,dwm.exe,0x302a96c0,3,73,1,False,2023-03-28 23:34:17.000000 UTC,N/A,Disabled
0,2008,1932,explorer.exe,0x306f0b30,35,992,1,False,2023-03-28 23:34:17.000000 UTC,N/A,Disabled
0,1432,1384,chrome.exe,0x30af3060,0,-,1,False,2023-03-28 23:43:10.000000 UTC,2023-03-28 23:43:10.000000 UTC,Disabled
0,2864,456,mscorsvw.exe,0x30be9230,7,79,0,False,2023-03-28 23:36:09.000000 UTC,N/A,Disabled
0,3560,3144,FTK Imager.exe,0x31080060,16,1078047007,1,True,2023-03-28 23:43:19.000000 UTC,N/A,Disabled
0,2920,2804,GoogleCrashHan,0x3136eb30,5,97,0,False,2023-03-28 23:39:27.000000 UTC,N/A,Disabled
0,2728,1384,chrome.exe,0x314edb30,8,140,1,False,2023-03-28 23:39:28.000000 UTC,N/A,Disabled
0,984,456,svchost.exe,0x31c3a960,21,504,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,1696,2008,regsvr32.exe,0x336c6060,0,-,1,False,2023-03-28 23:34:18.000000 UTC,2023-03-28 23:34:19.000000 UTC,Disabled
0,3344,1384,chrome.exe,0x357d9b30,0,-,1,False,2023-03-28 23:39:28.000000 UTC,2023-03-28 23:39:43.000000 UTC,Disabled
0,3724,1384,chrome.exe,0x36d9a960,0,-,1,False,2023-03-28 23:39:31.000000 UTC,2023-03-28 23:43:18.000000 UTC,Disabled
0,164,1384,chrome.exe,0x36dce060,9,97,1,False,2023-03-28 23:39:27.000000 UTC,N/A,Disabled
0,372,356,csrss.exe,0x37b54060,9,410,1,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,284,456,svchost.exe,0x4089c390,17,528,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,752,456,svchost.exe,0x40a5d9e0,24,581,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,3280,556,software_repor,0x427fb960,7,38653392,1,False,2023-03-28 23:43:54.000000 UTC,N/A,Disabled
0,2732,1384,chrome.exe,0x46371580,15,226,1,False,2023-03-28 23:39:27.000000 UTC,N/A,Disabled
0,1168,456,wmpnetwk.exe,0x47e61910,9,213,0,False,2023-03-28 23:34:36.000000 UTC,N/A,Disabled
0,364,296,wininit.exe,0x4d670630,3,79,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,1684,1384,chrome.exe,0x4daae7c0,11,178,1,False,2023-03-28 23:39:47.000000 UTC,N/A,Disabled
0,660,456,svchost.exe,0x53ee2b30,9,282,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,1060,456,spoolsv.exe,0x55f02b30,12,278,0,False,2023-03-28 23:34:07.000000 UTC,N/A,Disabled
0,796,456,svchost.exe,0x58100b30,26,505,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,404,356,winlogon.exe,0x58bf2470,3,120,1,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,824,456,svchost.exe,0x59087b30,37,1032,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,316,296,csrss.exe,0x5fc98b30,9,472,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,3220,1384,chrome.exe,0x607f0960,7,118,1,False,2023-03-28 23:39:39.000000 UTC,N/A,Disabled
0,3900,1384,chrome.exe,0x619bf920,16,449,1,False,2023-03-28 23:43:11.000000 UTC,N/A,Disabled
0,4044,1384,chrome.exe,0x65a5e270,0,-,1,False,2023-03-28 23:43:58.000000 UTC,2023-03-28 23:43:58.000000 UTC,Disabled
0,1320,556,software_repor,0x669f83b0,1,0,1,False,2023-03-28 23:43:57.000000 UTC,N/A,Disabled
0,480,364,lsm.exe,0x6a5f1b30,10,144,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,3288,1384,chrome.exe,0x6bfe4060,14,222,1,False,2023-03-28 23:40:05.000000 UTC,N/A,Disabled
0,896,752,audiodg.exe,0x6ea52060,5,139,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,236,4,smss.exe,0x723668a0,2,31,N/A,False,2023-03-28 23:34:04.000000 UTC,N/A,Disabled
0,2228,456,svchost.exe,0x77eee200,4,187,0,False,2023-03-28 23:34:37.000000 UTC,N/A,Disabled
0,2016,3416,GoogleUpdate.e,0x7d463060,4,127,0,True,2023-03-28 23:44:06.000000 UTC,N/A,Disabled
0,2952,456,msiexec.exe,0x7d465060,6,208,0,False,2023-03-28 23:42:31.000000 UTC,N/A,Disabled
0,2228,456,svchost.exe,0x7d518200,4,187,0,False,2023-03-28 23:34:37.000000 UTC,N/A,Disabled
0,1696,2008,regsvr32.exe,0x7d62f060,0,-,1,False,2023-03-28 23:34:18.000000 UTC,2023-03-28 23:34:19.000000 UTC,Disabled
0,1104,1384,chrome.exe,0x7d648240,16,422,1,False,2023-03-28 23:39:47.000000 UTC,N/A,Disabled
0,2840,456,mscorsvw.exe,0x7d6769e0,6,87,0,True,2023-03-28 23:36:09.000000 UTC,N/A,Disabled
0,3500,1384,chrome.exe,0x7d6bc6c0,0,-,1,False,2023-03-28 23:40:09.000000 UTC,2023-03-28 23:40:09.000000 UTC,Disabled
0,2864,456,mscorsvw.exe,0x7d85a230,6,79,0,False,2023-03-28 23:36:09.000000 UTC,N/A,Disabled
0,3480,556,software_repor,0x7d8dd060,0,-,1,False,2023-03-28 23:44:06.000000 UTC,2023-03-28 23:47:03.000000 UTC,Disabled
0,2768,1384,chrome.exe,0x7d8ff450,0,-,1,False,2023-03-28 23:48:49.000000 UTC,2023-03-28 23:48:49.000000 UTC,Disabled
0,1952,796,dwm.exe,0x7d9906c0,3,73,1,False,2023-03-28 23:34:17.000000 UTC,N/A,Disabled
0,2008,1932,explorer.exe,0x7d995b30,36,992,1,False,2023-03-28 23:34:17.000000 UTC,N/A,Disabled
0,1264,456,svchost.exe,0x7db347b0,16,266,0,False,2023-03-28 23:34:08.000000 UTC,N/A,Disabled
0,2364,2804,GoogleCrashHan,0x7dbbfb30,5,108,0,True,2023-03-28 23:39:27.000000 UTC,N/A,Disabled
0,2908,456,sppsvc.exe,0x7dbd82e0,4,147,0,False,2023-03-28 23:36:09.000000 UTC,N/A,Disabled
0,1872,456,taskhost.exe,0x7dbffb30,8,196,1,False,2023-03-28 23:34:17.000000 UTC,N/A,Disabled
0,984,456,svchost.exe,0x7dc3d960,20,504,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,1088,456,svchost.exe,0x7dc4ab30,19,318,0,False,2023-03-28 23:34:07.000000 UTC,N/A,Disabled
0,2944,456,svchost.exe,0x7dc57a10,17,375,0,False,2023-03-28 23:36:09.000000 UTC,N/A,Disabled
0,1060,456,spoolsv.exe,0x7dd72b30,12,278,0,False,2023-03-28 23:34:07.000000 UTC,N/A,Disabled
0,1204,1864,SearchFilterHo,0x7de09200,0,-,0,False,2023-03-28 23:47:17.000000 UTC,2023-03-28 23:49:02.000000 UTC,Disabled
0,480,364,lsm.exe,0x7de5eb30,11,144,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,472,364,lsass.exe,0x7deccb30,9,584,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,284,456,svchost.exe,0x7dee6390,16,528,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,588,456,svchost.exe,0x7df0b2d0,11,364,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,660,456,svchost.exe,0x7df43b30,9,282,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,752,456,svchost.exe,0x7df6f9e0,24,581,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,1168,456,wmpnetwk.exe,0x7df7b910,9,213,0,False,2023-03-28 23:34:36.000000 UTC,N/A,Disabled
0,796,456,svchost.exe,0x7df92b30,26,505,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,824,456,svchost.exe,0x7dfb1b30,37,1032,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,896,752,audiodg.exe,0x7dfef060,7,139,0,False,2023-03-28 23:34:06.000000 UTC,N/A,Disabled
0,372,356,csrss.exe,0x7e247060,9,410,1,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,316,296,csrss.exe,0x7e3e8b30,9,472,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,456,364,services.exe,0x7e3f1b30,13,220,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,236,4,smss.exe,0x7ea3d8a0,2,31,N/A,False,2023-03-28 23:34:04.000000 UTC,N/A,Disabled
0,364,296,wininit.exe,0x7eadf630,3,79,0,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,404,356,winlogon.exe,0x7eb20470,5,120,1,False,2023-03-28 23:34:05.000000 UTC,N/A,Disabled
0,3736,588,dllhost.exe,0x7ecaf060,0,-,1,False,2023-03-28 23:48:27.000000 UTC,2023-03-28 23:48:32.000000 UTC,Disabled
0,3416,824,taskeng.exe,0x7ed04060,5,88,0,False,2023-03-28 23:44:06.000000 UTC,N/A,Disabled
0,3636,2008,WinRAR.exe,0x7ef90060,0,-,1,False,2023-03-28 23:45:54.000000 UTC,2023-03-28 23:45:58.000000 UTC,Disabled
0,3220,1384,chrome.exe,0x7f84f960,7,118,1,False,2023-03-28 23:39:39.000000 UTC,N/A,Disabled
0,3772,456,wermgr.exe,0x7f9ba960,0,-,1,False,2023-03-28 23:47:18.000000 UTC,2023-03-28 23:47:18.000000 UTC,Disabled
0,1684,1384,chrome.exe,0x7fa177c0,11,178,1,False,2023-03-28 23:39:47.000000 UTC,N/A,Disabled
0,164,1384,chrome.exe,0x7fa40060,9,97,1,False,2023-03-28 23:39:27.000000 UTC,N/A,Disabled
0,2920,2804,GoogleCrashHan,0x7fa68b30,5,97,0,False,2023-03-28 23:39:27.000000 UTC,N/A,Disabled
0,3656,1384,chrome.exe,0x7fa9d5c0,13,199,1,False,2023-03-28 23:39:30.000000 UTC,N/A,Disabled
0,2732,1384,chrome.exe,0x7faa7580,15,226,1,False,2023-03-28 23:39:27.000000 UTC,N/A,Disabled
