TreeDepth,PID,Process,Args
0,4,System,-
0,248,smss.exe,\\SystemRoot\\System32\\smss.exe
0,320,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,368,wininit.exe,wininit.exe
0,380,csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,404,winlogon.exe,winlogon.exe
0,468,services.exe,C:\\Windows\\system32\\services.exe
0,476,lsass.exe,C:\\Windows\\system32\\lsass.exe
0,484,lsm.exe,C:\\Windows\\system32\\lsm.exe
0,572,svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch
0,652,svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS
0,740,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted
0,776,svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted
0,804,svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs
0,956,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService
0,280,svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService
0,852,spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe
0,304,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork
0,1120,svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation
0,1516,svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkServiceNetworkRestricted
0,1812,taskhost.exe,"""taskhost.exe"""
0,1896,dwm.exe,"""C:\\Windows\\system32\\Dwm.exe"""
0,1928,explorer.exe,C:\\Windows\\Explorer.EXE
0,1264,SearchIndexer.,C:\\Windows\\system32\\SearchIndexer.exe /Embedding
0,2144,sppsvc.exe,-
0,2204,svchost.exe,C:\\Windows\\System32\\svchost.exe -k secsvcs
0,2440,GoogleCrashHan,-
0,2448,GoogleCrashHan,"""C:\\Program Files (x86)\\Google\\Update\\1.3.36.152\\GoogleCrashHandler64.exe"""
0,2588,chrome.exe,"""C:\\Program Files\\Google\\Chrome\\Application\\chrome.exe"" --from-installer"
