TreeDepth,Offset,Name
0,0x33fae0,攰ᇘ￿匐༗￿\\SoftwareDistribution\\Download\\70bf659b42dfee7640ed0c15607040d0\\$dpx$.tmp\\5709a887dbd8104c9811b567325dc597.tmp
0,0x427450,疀ኌ￿夠૴￿\\SoftwareDistribution\\Download\\70bf659b42dfee7640ed0c15607040d0\\$dpx$.tmp\\17aaa7150e6e3f428810fe1a7abc63df.tmp
0,0x4277c0,鳠஬￿쒰୳￿\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Package_615_for_KB4480970~31bf3856ad364e35~amd64~~6.1.1.6.cat
0,0x462930,\\Windows\\SoftwareDistribution\\Download\\e08eb4952ff3c329c675ad7d717be6ac\\$dpx$.tmp\\8213daef91b04c449f37420876234ad5.tmp
0,0x462f20,\\Windows\\SoftwareDistribution\\Download\\a52c7c744b8edd485193b567ca565cdd\\$dpx$.tmp\\245bd73952a2fb4387af3a71d32589be.tmp
0,0x632510,ꀐቱ￿䲀ǹ￿\\SoftwareDistribution\\Download\\907f43a715d9b4c0bacf4f8cb40fde36\\$dpx$.tmp\\ba9c190296533d4fb68fd3bb47a7e82e.tmp
0,0x671070,�ᄰ￿娐Ⴄ￿\\SoftwareDistribution\\Download\\e08eb4952ff3c329c675ad7d717be6ac\\$dpx$.tmp\\bca15888b169ef40883310b97c2fbf4e.tmp
0,0x671e50,ᄝ￿dows\\SoftwareDistribution\\Download\\e08eb4952ff3c329c675ad7d717be6ac\\$dpx$.tmp\\e360b6aa01fd934a908922be20400917.tmp
0,0x811070,謰ന￿dows\\SoftwareDistribution\\Download\\e08eb4952ff3c329c675ad7d717be6ac\\$dpx$.tmp\\0a99773732861449affe57acf9fb435c.tmp
0,0x8115a0,䀐ག￿dows\\SoftwareDistribution\\Download\\e08eb4952ff3c329c675ad7d717be6ac\\$dpx$.tmp\\0dacd12610df064d9b17f96e014e5827.tmp
0,0x811ab0,ૡ￿dows\\SoftwareDistribution\\Download\\e08eb4952ff3c329c675ad7d717be6ac\\$dpx$.tmp\\66fb33a2800a1c45b48056bd2683c4e0.tmp
0,0x866070,咰،￿ꦐƃ婢￿\\SoftwareDistribution\\Download\\35935f37c81f2ba4a915b91ed6ff9b38\\$dpx$.tmp\\ff296441136f654daa8fd7f4888fe88a.tmp
0,0x866e50,驐ଂ￿တ኷￿\\SoftwareDistribution\\Download\\907f43a715d9b4c0bacf4f8cb40fde36\\$dpx$.tmp\\163b721c659fab4a9b58daa2663d746e.tmp
0,0x86fb40,ୀᅦ￿dows\\SoftwareDistribution\\Download\\e08eb4952ff3c329c675ad7d717be6ac\\$dpx$.tmp\\d68020e0ec3b78489f4f06a407d9add2.tmp
0,0x92f3c0,נּ࿒￿dows\\SoftwareDistribution\\Download\\e08eb4952ff3c329c675ad7d717be6ac\\$dpx$.tmp\\c8fbbc7c0dff47459932bdc858b14d56.tmp
0,0x973330,⒐૜￿ἀᏵ￿\\SoftwareDistribution\\Download\\907f43a715d9b4c0bacf4f8cb40fde36\\$dpx$.tmp\\54a311aadadd2246871b491b0f7202a1.tmp
0,0x973a80,\\Windows\\winsxs\\Temp\\b157bd97c160d901065900008c0e800e\\b157bd97c160d9010e5900008c0e800e_manifest
0,0x9d6070,Ȱ࿡￿ꀐྰ￿\\SoftwareDistribution\\Download\\e08eb4952ff3c329c675ad7d717be6ac\\$dpx$.tmp\\babd951e1667574489180941f6b54ede.tmp
0,0x9d67d0,
0,0x9d6e60,\\
0,0xa753e0,怐չ￿褰๾￿\\servicing\\Packages\\Package_2_for_KB2585542~31bf3856ad364e35~amd64~~6.1.1.3.cat
0,0xa759e0,蜀㈏訁￿?
0,0xa75f20,Ӱᎄ￿뀐Ꮒ￿\\SoftwareDistribution\\Download\\907f43a715d9b4c0bacf4f8cb40fde36\\$dpx$.tmp\\44603e3056643e4ba752abbf6d6c87bd.tmp
0,0xb73570,妀ש￿逐ȡ￿\\SoftwareDistribution\\Download\\70bf659b42dfee7640ed0c15607040d0\\$dpx$.tmp\\24df86dde8dcce459ed1e1a6fd7b3cc4.tmp
0,0xb738e0,蘿ᐉ￿䬰݉￿\\servicing\\Packages\\Package_276_for_KB4480970~31bf3856ad364e35~amd64~~6.1.1.6.cat
0,0xb73d60,ኀʉ￿dows\\SoftwareDistribution\\Download\\e08eb4952ff3c329c675ad7d717be6ac\\$dpx$.tmp\\4eb50c904f633f49a3c2756601f6dfd4.tmp
