TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xfa80018b9040,0x4,Process,0x1fffff,System Pid 4
0,4,System,0xf8a000069fa0,0x8,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0xf8a0000062d0,0xc,Directory,0xf000f,GLOBAL??
0,4,System,0xf8a000021220,0x10,Key,0x0,-
0,4,System,0xf8a0024b7b20,0x14,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\PRODUCTOPTIONS
0,4,System,0xf8a000083040,0x18,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0xf8a00006da80,0x1c,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0xfa80018fa8f0,0x20,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0xfa80018fa380,0x24,ALPC Port,0x1f0001,PowerPort
0,4,System,0xf8a00000d040,0x28,Key,0x20019,MACHINE\\HARDWARE\\DESCRIPTION\\SYSTEM\\MULTIFUNCTIONADAPTER
0,4,System,0xfa80019dc040,0x2c,Thread,0x1fffff,Tid 152 Pid 4
0,4,System,0xf8a000081940,0x30,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0xf8a000085810,0x34,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\ENUM
0,4,System,0xf8a000086a80,0x38,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS
0,4,System,0xf8a000080250,0x3c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES
0,4,System,0xfa8002977f20,0x40,File,0x120116,\\Device\\Mup
0,4,System,0xf8a0001d25e0,0x44,Token,0xe,-
0,4,System,0xf8a00007e6b0,0x48,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\WMI\\SECURITY
0,4,System,0xf8a0014274b0,0x4c,Key,0x10,MACHINE\\SOFTWARE\\POLICIES\\MICROSOFT\\WINDOWS
0,4,System,0xf8a000ab0c60,0x50,Key,0x20019,MACHINE\\HARDWARE\\DESCRIPTION\\SYSTEM\\BIOS
0,4,System,0xf8a000260a40,0x54,Key,0x10,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LSA
0,4,System,0xfa8002e2d040,0x58,Thread,0x0,Tid 260 Pid 4
0,4,System,0xfa8002ff3310,0x5c,Event,0x2,EFSInitEvent
