TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x59fb010,UDPv6,::1,1900,*,0,,1120,svchost.exe,2023-03-27 15:21:43.000000 UTC
0,0x171b0010,UDPv6,::1,1900,*,0,,1120,svchost.exe,2023-03-27 15:21:43.000000 UTC
0,0x18ef1cf0,TCPv4,10.0.2.15,49481,172.217.16.234,443,ESTABLISHED,2876,chrome.exe,N/A
0,0x1ec66010,TCPv4,-,49476,142.250.200.35,443,CLOSED,2876,chrome.exe,N/A
0,0x2425bcf0,TCPv4,-,49479,142.250.187.227,443,CLOSED,2876,chrome.exe,-
0,0x25859170,TCPv4,-,49477,142.250.179.237,443,CLOSED,2876,chrome.exe,-
0,0x30e38010,TCPv4,-,49476,142.250.200.35,443,CLOSED,2876,chrome.exe,N/A
0,0x3cfe95d0,TCPv4,10.0.2.15,49453,8.247.191.254,80,ESTABLISHED,804,svchost.exe,N/A
0,0x3d0fd010,TCPv4,10.0.2.15,49480,20.42.73.29,80,SYN_SENT,804,svchost.exe,N/A
0,0x40f36010,TCPv4,-,49476,142.250.200.35,443,CLOSED,2876,chrome.exe,N/A
0,0x7d9ab6d0,UDPv4,0.0.0.0,0,*,0,,956,svchost.exe,2023-03-27 15:27:39.000000 UTC
0,0x7d9ab6d0,UDPv6,::,0,*,0,,956,svchost.exe,2023-03-27 15:27:39.000000 UTC
0,0x7d9c46d0,UDPv4,0.0.0.0,0,*,0,,956,svchost.exe,2023-03-27 15:27:39.000000 UTC
0,0x7d9cd6e0,UDPv4,0.0.0.0,123,*,0,,956,svchost.exe,2023-03-27 15:27:39.000000 UTC
0,0x7d9cd6e0,UDPv6,::,123,*,0,,956,svchost.exe,2023-03-27 15:27:39.000000 UTC
0,0x7d9d6580,UDPv4,0.0.0.0,123,*,0,,956,svchost.exe,2023-03-27 15:27:39.000000 UTC
0,0x7de03940,UDPv4,0.0.0.0,5355,*,0,,280,svchost.exe,2023-03-27 15:19:46.000000 UTC
0,0x7e067010,UDPv4,0.0.0.0,61276,*,0,,1120,svchost.exe,2023-03-27 15:19:42.000000 UTC
0,0x7e06c010,UDPv4,0.0.0.0,61277,*,0,,1120,svchost.exe,2023-03-27 15:19:42.000000 UTC
0,0x7e06c010,UDPv6,::,61277,*,0,,1120,svchost.exe,2023-03-27 15:19:42.000000 UTC
0,0x7e0711e0,UDPv4,0.0.0.0,500,*,0,,804,svchost.exe,2023-03-27 15:19:40.000000 UTC
