TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,32,433799495726,.,0x22dfef0,7602291,-,-,True,2014-03-05 04:23:21.000000 UTC,2023-03-27 15:33:28.000000 UTC,Disabled
0,2596,2588,chrome.exe,0x59f39e0,8,95,1,False,2023-03-27 15:22:31.000000 UTC,N/A,Disabled
0,1744,2200,winpmem_mini_x,0x115a26f0,1,22,1,False,2023-03-27 15:34:17.000000 UTC,N/A,Disabled
0,32,416618315826,P,0x23aceef0,0,-,N/A,False,2019-01-02 23:09:19.000000 UTC,2023-03-27 15:29:29.000000 UTC,Disabled
0,2628,380,conhost.exe,0x278da1c0,2,54,1,False,2023-03-27 15:32:51.000000 UTC,N/A,Disabled
0,2628,380,conhost.exe,0x2da261c0,2,54,1,False,2023-03-27 15:32:51.000000 UTC,N/A,Disabled
0,3145728,433798840365,0,0x4d7a3f16,6619238,-,-,True,2001-06-28 18:27:34.000000 UTC,N/A,Disabled
0,8224,52975070178927, versionScope=N,0x525eae58,1967333420,-,-,True,2023-03-27 15:34:03.000000 UTC,N/A,Disabled
0,3004,468,svchost.exe,0x570deb30,4,41,0,False,2023-03-27 15:32:35.000000 UTC,N/A,Disabled
0,2116,572,dllhost.exe,0x623cdb30,6,89,1,False,2023-03-27 15:34:18.000000 UTC,N/A,Disabled
0,2116,572,dllhost.exe,0x6c9ebb30,6,89,1,False,2023-03-27 15:34:18.000000 UTC,N/A,Disabled
0,2116,572,dllhost.exe,0x71fa3b30,6,89,1,False,2023-03-27 15:34:18.000000 UTC,N/A,Disabled
0,2200,1928,cmd.exe,0x7da60b30,1,22,1,False,2023-03-27 15:32:51.000000 UTC,N/A,Disabled
0,3544,804,taskeng.exe,0x7db51a60,5,87,0,False,2023-03-27 15:27:08.000000 UTC,N/A,Disabled
0,3972,3324,rundll32.exe,0x7dcb5060,5,113,1,False,2023-03-27 15:32:51.000000 UTC,N/A,Disabled
0,1840,3544,GoogleUpdate.e,0x7dd25b30,4,125,0,True,2023-03-27 15:27:08.000000 UTC,N/A,Disabled
0,1812,468,taskhost.exe,0x7de29b30,9,179,1,False,2023-03-27 15:19:50.000000 UTC,N/A,Disabled
0,1896,776,dwm.exe,0x7de688e0,3,79,1,False,2023-03-27 15:19:50.000000 UTC,N/A,Disabled
0,1928,1868,explorer.exe,0x7de6d5c0,37,1026,1,False,2023-03-27 15:19:51.000000 UTC,N/A,Disabled
0,1376,2588,chrome.exe,0x7df364a0,15,240,1,False,2023-03-27 15:26:19.000000 UTC,N/A,Disabled
0,3100,2588,chrome.exe,0x7df7fb30,17,438,1,False,2023-03-27 15:24:26.000000 UTC,N/A,Disabled
0,1120,468,svchost.exe,0x7e028600,15,232,0,False,2023-03-27 15:19:40.000000 UTC,N/A,Disabled
0,2972,2588,chrome.exe,0x7e0ebaa0,12,198,1,False,2023-03-27 15:22:34.000000 UTC,N/A,Disabled
0,1516,468,svchost.exe,0x7e127b30,5,96,0,False,2023-03-27 15:19:42.000000 UTC,N/A,Disabled
0,572,468,svchost.exe,0x7e240b30,10,349,0,False,2023-03-27 15:19:33.000000 UTC,N/A,Disabled
0,652,468,svchost.exe,0x7e262b30,8,245,0,False,2023-03-27 15:19:34.000000 UTC,N/A,Disabled
0,1264,468,SearchIndexer.,0x7e28b400,13,658,0,False,2023-03-27 15:20:02.000000 UTC,N/A,Disabled
0,740,468,svchost.exe,0x7e2ab5f0,19,468,0,False,2023-03-27 15:19:34.000000 UTC,N/A,Disabled
0,776,468,svchost.exe,0x7e2b2b30,19,414,0,False,2023-03-27 15:19:35.000000 UTC,N/A,Disabled
0,804,468,svchost.exe,0x7e2b8b30,45,1465,0,False,2023-03-27 15:19:35.000000 UTC,N/A,Disabled
0,956,468,svchost.exe,0x7e2fbb30,13,309,0,False,2023-03-27 15:19:36.000000 UTC,N/A,Disabled
0,280,468,svchost.exe,0x7e32f570,17,535,0,False,2023-03-27 15:19:37.000000 UTC,N/A,Disabled
0,304,468,svchost.exe,0x7e337b30,19,314,0,False,2023-03-27 15:19:39.000000 UTC,N/A,Disabled
0,852,468,spoolsv.exe,0x7e3a6790,12,265,0,False,2023-03-27 15:19:39.000000 UTC,N/A,Disabled
0,320,312,csrss.exe,0x7e43a060,8,392,0,False,2023-03-27 15:19:20.000000 UTC,N/A,Disabled
0,476,368,lsass.exe,0x7e5fc770,7,578,0,False,2023-03-27 15:19:29.000000 UTC,N/A,Disabled
0,484,368,lsm.exe,0x7e6e4b30,10,141,0,False,2023-03-27 15:19:29.000000 UTC,N/A,Disabled
0,404,360,winlogon.exe,0x7e7c19d0,3,110,1,False,2023-03-27 15:19:21.000000 UTC,N/A,Disabled
0,380,360,csrss.exe,0x7e7dfb30,10,411,1,False,2023-03-27 15:19:21.000000 UTC,N/A,Disabled
0,468,368,services.exe,0x7e7fd7c0,9,197,0,False,2023-03-27 15:19:29.000000 UTC,N/A,Disabled
0,368,312,wininit.exe,0x7e840b30,3,72,0,False,2023-03-27 15:19:21.000000 UTC,N/A,Disabled
0,248,4,smss.exe,0x7ef75b30,2,29,N/A,False,2023-03-27 15:19:10.000000 UTC,N/A,Disabled
0,2332,2588,chrome.exe,0x7f6846a0,8,151,1,False,2023-03-27 15:22:32.000000 UTC,N/A,Disabled
0,2456,2588,chrome.exe,0x7f8a7330,15,213,1,False,2023-03-27 15:24:21.000000 UTC,N/A,Disabled
0,3724,468,TrustedInstall,0x7f943160,9,2063,0,False,2023-03-27 15:24:37.000000 UTC,N/A,Disabled
0,840,2588,chrome.exe,0x7f9af130,16,275,1,False,2023-03-27 15:23:01.000000 UTC,N/A,Disabled
0,2448,2944,GoogleCrashHan,0x7fbe2060,5,92,0,False,2023-03-27 15:22:31.000000 UTC,N/A,Disabled
0,2144,468,sppsvc.exe,0x7fc64b30,4,142,0,False,2023-03-27 15:21:43.000000 UTC,N/A,Disabled
0,2204,468,svchost.exe,0x7fcb3b30,18,354,0,False,2023-03-27 15:21:43.000000 UTC,N/A,Disabled
0,2440,2944,GoogleCrashHan,0x7fd5fb30,5,103,0,True,2023-03-27 15:22:31.000000 UTC,N/A,Disabled
0,2876,2588,chrome.exe,0x7fd93b30,16,218,1,False,2023-03-27 15:22:32.000000 UTC,N/A,Disabled
0,2936,2588,chrome.exe,0x7fdaa060,11,172,1,False,2023-03-27 15:23:01.000000 UTC,N/A,Disabled
0,2588,996,chrome.exe,0x7fe07920,32,1059,1,False,2023-03-27 15:22:31.000000 UTC,N/A,Disabled
0,4,0,System,0x7ff38040,84,540,N/A,False,2023-03-27 15:19:10.000000 UTC,N/A,Disabled

