TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xfa80018b9040,84,540,N/A,False,2023-03-27 15:19:10.000000 UTC,N/A,-,-,-
1,248,4,smss.exe,0xfa8002975b30,2,29,N/A,False,2023-03-27 15:19:10.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
0,320,312,csrss.exe,0xfa800323a060,8,392,0,False,2023-03-27 15:19:20.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,368,312,wininit.exe,0xfa8002e40b30,3,72,0,False,2023-03-27 15:19:21.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,476,368,lsass.exe,0xfa80033fc770,7,578,0,False,2023-03-27 15:19:29.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\lsass.exe,C:\\Windows\\system32\\lsass.exe,C:\\Windows\\system32\\lsass.exe
1,468,368,services.exe,0xfa80031fd7c0,9,197,0,False,2023-03-27 15:19:29.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,1120,468,svchost.exe,0xfa8003628600,15,232,0,False,2023-03-27 15:19:40.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation,C:\\Windows\\system32\\svchost.exe
2,2144,468,sppsvc.exe,0xfa8001a64b30,4,142,0,False,2023-03-27 15:21:43.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\sppsvc.exe,-,-
2,740,468,svchost.exe,0xfa80034ab5f0,19,468,0,False,2023-03-27 15:19:34.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted,C:\\Windows\\System32\\svchost.exe
2,804,468,svchost.exe,0xfa80034b8b30,45,1465,0,False,2023-03-27 15:19:35.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs,C:\\Windows\\system32\\svchost.exe
3,3544,804,taskeng.exe,0xfa8003d51a60,5,87,0,False,2023-03-27 15:27:08.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\taskeng.exe,taskeng.exe {8F4E248C-7046-4AB6-AF2B-CC94340E5200},C:\\Windows\\system32\\taskeng.exe
4,1840,3544,GoogleUpdate.e,0xfa8003b25b30,4,125,0,True,2023-03-27 15:27:08.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Google\\Update\\GoogleUpdate.exe,"""C:\\Program Files (x86)\\Google\\Update\\GoogleUpdate.exe"" /c",C:\\Program Files (x86)\\Google\\Update\\GoogleUpdate.exe
2,776,468,svchost.exe,0xfa80034b2b30,19,414,0,False,2023-03-27 15:19:35.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted,C:\\Windows\\System32\\svchost.exe
