TreeDepth,Index,Address,Module,Symbol
0,0,0xf80002aa5ca0,ntoskrnl,NtMapUserPhysicalPagesScatter
0,1,0xf8000298d8c0,ntoskrnl,NtWaitForSingleObject
0,2,0xf8000268f1a0,ntoskrnl,NtCallbackReturn
0,3,0xf80002980a80,ntoskrnl,NtReadFile
0,4,0xf800029b27a0,ntoskrnl,NtDeviceIoControlFile
0,5,0xf800029a99a0,ntoskrnl,NtWriteFile
0,6,0xf80002953c90,ntoskrnl,NtRemoveIoCompletion
0,7,0xf8000294d220,ntoskrnl,NtReleaseSemaphore
0,8,0xf800029aafc4,ntoskrnl,NtReplyWaitReceivePort
0,9,0xf80002a75a40,ntoskrnl,NtReplyPort
0,10,0xf80002960770,ntoskrnl,NtSetInformationThread
0,11,0xf80002980010,ntoskrnl,NtSetEvent
0,12,0xf8000298eb10,ntoskrnl,NtClose
0,13,0xf80002978530,ntoskrnl,NtQueryObject
0,14,0xf80002975360,ntoskrnl,NtQueryInformationFile
0,15,0xf80002971910,ntoskrnl,NtOpenKey
0,16,0xf80002977760,ntoskrnl,NtEnumerateValueKey
0,17,0xf80002989b60,ntoskrnl,NtFindAtom
0,18,0xf80002945350,ntoskrnl,NtQueryDefaultLocale
0,19,0xf800029672e0,ntoskrnl,NtQueryKey
0,20,0xf800029684d0,ntoskrnl,NtQueryValueKey
0,21,0xf8000298ec90,ntoskrnl,NtAllocateVirtualMemory
0,22,0xf800029a8410,ntoskrnl,NtQueryInformationProcess
0,23,0xf800029bbfa0,ntoskrnl,NtWaitForMultipleObjects32
0,24,0xf80002aedf30,ntoskrnl,NtWriteFileGather
0,25,0xf8000298559c,ntoskrnl,NtSetInformationProcess
0,26,0xf8000294b170,ntoskrnl,NtCreateKey
0,27,0xf800026844d0,ntoskrnl,NtFreeVirtualMemory
0,28,0xf80002ad4580,ntoskrnl,NtImpersonateClientOfPort
0,29,0xf8000298d404,ntoskrnl,NtReleaseMutant
0,30,0xf8000295d5c0,ntoskrnl,NtQueryInformationToken
0,31,0xf800029aa9c0,ntoskrnl,NtRequestWaitReplyPort
0,32,0xf80002971930,ntoskrnl,NtQueryVirtualMemory
0,33,0xf8000296b338,ntoskrnl,NtOpenThreadToken
0,34,0xf80002984a30,ntoskrnl,NtQueryInformationThread
