TreeDepth,Offset,Start,Size,Service Key,Driver Name,Name
0,0x7dc5ac40,0xf88002db4000,0x10000,pmem,pmem,\\Driver\\pmem
0,0x7e004910,0xf88002200000,0x4d000,mrxsmb10,mrxsmb10,\\FileSystem\\mrxsmb10
0,0x7e013980,0xf8800224d000,0x24000,mrxsmb20,mrxsmb20,\\FileSystem\\mrxsmb20
0,0x7e057e70,0xf88002c9a000,0x99000,srv,srv,\\FileSystem\\srv
0,0x7e05ce70,0xf88002979000,0xb000,secdrv,secdrv,\\Driver\\secdrv
0,0x7e0684f0,0xf880028d3000,0xa6000,PEAUTH,PEAUTH,\\Driver\\PEAUTH
0,0x7e077c60,0xf880029b5000,0x12000,tcpipreg,tcpipreg,\\Driver\\tcpipreg
0,0x7e07b060,0xf88002984000,0x31000,srvnet,srvnet,\\FileSystem\\srvnet
0,0x7e09a1c0,0xf88002800000,0x6b000,srv2,srv2,\\FileSystem\\srv2
0,0x7e253060,0xf880011c8000,0x23000,luafv,luafv,\\FileSystem\\luafv
0,0x7e3198d0,0xf880011eb000,0x15000,lltdio,lltdio,\\Driver\\lltdio
0,0x7e322d40,0xf88001000000,0x18000,rspndr,rspndr,\\Driver\\rspndr
0,0x7e389390,0xf88002297000,0xc9000,HTTP,HTTP,\\Driver\\HTTP
0,0x7e3c4db0,0xf88002360000,0x1e000,bowser,bowser,\\FileSystem\\bowser
0,0x7e3d7d30,0xf8800237e000,0x18000,mpsdrv,mpsdrv,\\Driver\\mpsdrv
0,0x7e3e0190,0xf88002396000,0x2d000,mrxsmb,mrxsmb,\\FileSystem\\mrxsmb
0,0x7e7d5080,0xf960000f0000,0x0,\\Driver\\Win32k,Win32k,\\Driver\\Win32k
0,0x7ea31060,0xf88001400000,0x5a000,usbhub,usbhub,\\Driver\\usbhub
0,0x7ea32770,0xf880015dc000,0x15000,NDProxy,NDProxy,\\Driver\\NDProxy
0,0x7ec0c2b0,0xf8800173e000,0x9000,RDPCDD,RDPCDD,\\Driver\\RDPCDD
0,0x7ec263f0,0xf88001747000,0x9000,RDPENCDD,RDPENCDD,\\Driver\\RDPENCDD
0,0x7ec36060,0xf88001750000,0x9000,RDPREFMP,RDPREFMP,\\Driver\\RDPREFMP
0,0x7ec36e70,0xf88001759000,0xb000,Msfs,Msfs,\\FileSystem\\Msfs
0,0x7ec37420,0xf88001764000,0x11000,Npfs,Npfs,\\FileSystem\\Npfs
0,0x7ec3b9d0,0xf88002ee8000,0x89000,AFD,AFD,\\Driver\\AFD
0,0x7ec3dd90,0xf88002e1b000,0x14000,TermDD,TermDD,\\Driver\\TermDD
0,0x7ec3e190,0xf88002f71000,0x45000,NetBT,NetBT,\\Driver\\NetBT
0,0x7ec411b0,0xf88001775000,0x22000,tdx,tdx,\\Driver\\tdx
0,0x7ec55310,0xf88002fbf000,0x26000,Psched,Psched,\\Driver\\Psched
0,0x7ec56060,0xf88002fe5000,0xf000,NetBIOS,NetBIOS,\\FileSystem\\NetBIOS
0,0x7ec56e70,0xf88002fb6000,0x9000,WfpLwf,WfpLwf,\\Driver\\WfpLwf
0,0x7ec5b5d0,0xf88002e2f000,0x51000,rdbss,rdbss,\\FileSystem\\rdbss
0,0x7ec5e700,0xf88002e8c000,0xb000,mssmbios,mssmbios,\\Driver\\mssmbios
0,0x7ec657e0,0xf88002e80000,0xc000,nsiproxy,nsiproxy,\\Driver\\nsiproxy
0,0x7ec6d060,0xf88002e97000,0xf000,discache,discache,\\Driver\\discache
0,0x7ec6d480,0xf88003c63000,0x83000,CSC,CSC,\\Driver\\CSC
