TreeDepth,Offset,Name
0,0x11a3330,697cc71df1ce.manifestX86_MICROSOFT-WINDOWS-C..ITYCLIENT.RESOURCES_31BF3856AD364E35_6.1.7601.23072_KO-KR_3947697CC71DF1CE.MANIFEST.cat
0,0x11a3820,䘀௾￿ꀐ౜￿\\SoftwareDistribution\\Download\\5b94cfccf8026155b37fdc15c738f964\\package_168_for_kb3068708_bf~31bf3856ad364e35~amd64~~6.1.1.0.cat
0,0x13ba460,ષ￿dows\\SoftwareDistribution\\Download\\53fbad0b01da1c6cba2a0693d45f49c4\\package_42_for_kb3068708~31bf3856ad364e35~amd64~~6.1.1.0.cat
0,0x172f2d0,깺
0,0x1ac6f20,䉠ᆯ￿dows\\SoftwareDistribution\\Download\\53fbad0b01da1c6cba2a0693d45f49c4\\package_205_for_kb3068708_bf~31bf3856ad364e35~amd64~~6.1.1.0.mum
0,0x33fe620,\\Endpoint
0,0x33fe9a0,ባ￿⌀آ￿\\SoftwareDistribution\\Download\\3ad0606ef78f392a53449e5bb68ed3ae\\package_4_for_kb2631813_bf~31bf3856ad364e35~amd64~~6.1.1.1.mum
0,0x33fedc0,㊰۠￿튰૛￿\\SoftwareDistribution\\Download\\e08eb4952ff3c329c675ad7d717be6ac\\$dpx$.tmp\\967d5ed2249ce542a7a96cc0273cea58.tmp
0,0x3cf8b00,哠ۻ￿ꀐఒ￿\\SoftwareDistribution\\Download\\53fbad0b01da1c6cba2a0693d45f49c4\\package_170_for_kb3068708_bf~31bf3856ad364e35~amd64~~6.1.1.0.mum
0,0x3d9b310,\\Windows\\SoftwareDistribution\\Download\\5b94cfccf8026155b37fdc15c738f964\\package_215_for_kb3068708_bf~31bf3856ad364e35~amd64~~6.1.1.0.mum
0,0x3d9b460,雀റ￿䕐ݎ￿\\SoftwareDistribution\\Download\\5b94cfccf8026155b37fdc15c738f964\\package_201_for_kb3068708_bf~31bf3856ad364e35~amd64~~6.1.1.0.cat
0,0x3d9b5b0,턀ૣ￿瀐௼￿\\SoftwareDistribution\\Download\\e08eb4952ff3c329c675ad7d717be6ac\\$dpx$.tmp\\ea920f12bfb4f546adb95cff53bba121.tmp
0,0x3d9bf20,滰ݤ￿dows\\SoftwareDistribution\\Download\\53fbad0b01da1c6cba2a0693d45f49c4\\package_126_for_kb3068708~31bf3856ad364e35~amd64~~6.1.1.0.mum
0,0x59f2270,헀༉￿대ǫ￿\\SoftwareDistribution\\Download\\f6764c71199ca95df0b304bdbd97d972\\package_24_for_kb2894844~31bf3856ad364e35~amd64~~6.1.1.1.mum
0,0x59f4f20,\\Windows\\SoftwareDistribution\\Download\\f6764c71199ca95df0b304bdbd97d972\\package_51_for_kb2894844_bf~31bf3856ad364e35~amd64~~6.1.1.1.mum
0,0x59f58d0,鳐௶￿dows\\SoftwareDistribution\\Download\\5b94cfccf8026155b37fdc15c738f964\\package_64_for_kb3068708~31bf3856ad364e35~amd64~~6.1.1.0.mum
0,0x59f7dd0,\\Endpoint
0,0x59fa230,෪￿퀐ෛ￿\\SoftwareDistribution\\Download\\53fbad0b01da1c6cba2a0693d45f49c4\\amd64_microsoft-windows-b..t-windows.resources_31bf3856ad364e35_6.1.7601.23072_pt-br_7c85b862cccd2b50.manifest
0,0x59fc520,
0,0x59fc7d0,捠ݯ￿딀ྊ￿\\SoftwareDistribution\\Download\\5b94cfccf8026155b37fdc15c738f964\\package_235_for_kb3068708_bf~31bf3856ad364e35~amd64~~6.1.1.0.mum
0,0x59fcdd0,\\Endpoint
0,0x59fcf20,新ᐋ￿�Ս￿\\SoftwareDistribution\\Download\\f6764c71199ca95df0b304bdbd97d972\\package_4_for_kb2894844~31bf3856ad364e35~amd64~~6.1.1.1.cat
0,0x59fd760,୑￿dows\\SoftwareDistribution\\Download\\e08eb4952ff3c329c675ad7d717be6ac\\$dpx$.tmp\\24bfe9a63dc5ce4b93ace8965f308c2a.tmp
0,0x59fe070,\\$Directory
0,0x59fed10,\\Users\\Win7\\AppData\\Local\\Microsoft\\Windows\\History\\History.IE5\\MSHist012023032720230328\\index.dat
0,0x5b07340,䘀௾￿ﻰ׍￿\\SoftwareDistribution\\Download\\5b94cfccf8026155b37fdc15c738f964\\package_169_for_kb3068708_bf~31bf3856ad364e35~amd64~~6.1.1.0.cat
0,0x5eca070,猪ǳ￿䀐௭￿\\SoftwareDistribution\\Download\\f6764c71199ca95df0b304bdbd97d972\\package_50_for_kb2894844_bf~31bf3856ad364e35~amd64~~6.1.1.1.mum
0,0x5ecaf20,죰Ƚ￿홰ȣ￿\\SoftwareDistribution\\Download\\70c613f8a95c115493529811901eec9a\\package_for_kb2640148_rtm~31bf3856ad364e35~amd64~~6.1.2.0.cat
0,0x61e83f0,\\Windows\\SoftwareDistribution\\Download\\53fbad0b01da1c6cba2a0693d45f49c4\\package_28_for_kb3068708~31bf3856ad364e35~amd64~~6.1.1.0.cat
0,0x6f8d780,\\Windows\\SoftwareDistribution\\Download\\53fbad0b01da1c6cba2a0693d45f49c4\\amd64_microsoft-windows-e..os-loader.resources_31bf3856ad364e35_6.1.7601.23072_tr-tr_7121668c85fa771d.manifest
0,0x72a6ad0,᧐ղ￿ᜐר￿\\SoftwareDistribution\\Download\\53fbad0b01da1c6cba2a0693d45f49c4\\amd64_3876ad78d94627b43005ab8fd9061847_31bf3856ad364e35_6.1.7601.18869_none_9537767272bb6a8e.manifest
0,0x72a6f20,
0,0x82ca070,負ƹ￿dows\\SoftwareDistribution\\Download\\5b94cfccf8026155b37fdc15c738f964\\package_162_for_kb3068708_bf~31bf3856ad364e35~amd64~~6.1.1.0.cat
0,0x8980f20,\\$Directory
0,0x8b97050,\\$Directory
0,0x8d48f60,\\$Directory
0,0x8d981d0,
0,0x8d98bb0,\\Windows\\SoftwareDistribution\\Download\\f6764c71199ca95df0b304bdbd97d972\\package_8_for_kb2894844_bf~31bf3856ad364e35~amd64~~6.1.1.1.mum
0,0xad96f20,\\Windows\\SoftwareDistribution\\Download\\f6764c71199ca95df0b304bdbd97d972\\package_51_for_kb2894844_bf~31bf3856ad364e35~amd64~~6.1.1.1.mum
0,0xafb32d0,깺
0,0xb2a9070,좀ุ￿dows\\SoftwareDistribution\\Download\\53fbad0b01da1c6cba2a0693d45f49c4\\amd64_c296cd37178702544bec366cf7664bdb_31bf3856ad364e35_6.1.7601.18869_none_1376a8b1c96004fe.manifest
0,0xb8dc8d0,黰ቁ￿䔐ȸ￿\\SoftwareDistribution\\Download\\70c613f8a95c115493529811901eec9a\\package_2_for_kb2640148_bf~31bf3856ad364e35~amd64~~6.1.2.0.mum
0,0xb8dcf20,賐ୣ￿dows\\SoftwareDistribution\\Download\\53fbad0b01da1c6cba2a0693d45f49c4\\package_225_for_kb3068708_bf~31bf3856ad364e35~amd64~~6.1.1.0.cat
