TreeDepth,Offset,Name
0,0x59f3d00,\\Program Files (x86)\\AccessData\\FTK Imager\\icudt40.dll
0,0x59f7cc0,\\Windows\\assembly\\NativeImages_v2.0.50727_64\\ehCIR\\b648e07269decc9d5a2d
0,0x59f8670,\\Windows\\SysWOW64
0,0x7d203110,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-Gadget-Platform-Package~31bf3856ad364e35~amd64~~6.1.7600.16385.cat
0,0x7d205680,\\Windows\\SoftwareDistribution\\ReportingEvents.log
0,0x7d206070,\\lsass
0,0x7d2081f0,\\Windows\\assembly\\GAC_MSIL\\Microsoft.MediaCenter.Sports\\6.1.0.0__31bf3856ad364e35\\Microsoft.MediaCenter.Sports.dll
0,0x7d208660,\\Endpoint
0,0x7d2087b0,\\Endpoint
0,0x7d208e80,\\Endpoint
0,0x7d2214b0,\\Windows\\SysWOW64\\ieui.dll
0,0x7d221d10,\\Windows\\SysWOW64\\wship6.dll
0,0x7d222750,\\Users\\devmac\\AppData\\Local\\Temp\\chrome_ComponentUnpacker_BeginUnzipping2980_1819936649\\manifest.fingerprint
0,0x7d2229f0,\\Windows\\SysWOW64\\mswsock.dll
0,0x7d22cb10,\\Endpoint
0,0x7d22cc80,\\Program Files\\Google\\Chrome\\Application\\109.0.5414.120
0,0x7d22cf20,\\Endpoint
0,0x7d250700,\\Windows\\System32\\UIAnimation.dll
0,0x7d250850,\\Windows\\winsxs\\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0,0x7d2522e0,\\Windows\\System32\\ActionCenter.dll
0,0x7d252450,\\Windows\\winsxs\\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_2b24536c71ed437a
0,0x7d252a80,\\Windows\\System32\\imapi2.dll
0,0x7d254070,\\Windows\\System32\\hgcpl.dll
0,0x7d255820,\\Windows\\System32\\synceng.dll
0,0x7d25ba20,\\Windows\\System32\\en-US\\wmploc.DLL.mui
0,0x7d25ce60,\\Windows\\System32\\fdWSD.dll
0,0x7d25dd10,\\Windows\\System32\\fdPHost.dll
0,0x7d261d10,\\Windows\\System32\\en-US\\FirewallAPI.dll.mui
0,0x7d262950,\\Endpoint
0,0x7d264d40,\\Windows\\System32\\fdSSDP.dll
0,0x7d2653c0,\\Windows\\System32\\fdProxy.dll
0,0x7d265dd0,\\Windows\\winsxs\\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0,0x7d2667d0,\\Windows\\System32\\en-US\\KernelBase.dll.mui
0,0x7d26c980,\\Endpoint
0,0x7d276c10,\\Endpoint
0,0x7d2775e0,\\Endpoint
0,0x7d2784d0,\\Endpoint
0,0x7d2787f0,\\Endpoint
0,0x7d279460,\\Windows\\System32\\ListSvc.dll
0,0x7d27bf20,\\Windows\\assembly\\NativeImages_v2.0.50727_64\\Temp\\ZAP47F7.tmp\\Microsoft.Security.ApplicationId.Wizards.AutomaticRuleGenerationWizard.dll
0,0x7d27c070,\\Endpoint
0,0x7d27ea20,\\Windows\\System32\\en-US\\FirewallAPI.dll.mui
0,0x7d27f070,\\Endpoint
0,0x7d27fcc0,\\Windows\\System32\\rdpcorekmts.dll
0,0x7d280c50,\\Users\\devmac\\AppData\\Local\\Temp\\chrome_ComponentUnpacker_BeginUnzipping2980_1126050078\\EH
0,0x7d282f20,\\Windows\\System32\\IdListen.dll
0,0x7d283770,\\mojo.2980.2624.7814974804234499217
0,0x7d283a10,\\Windows\\Microsoft.NET\\Framework\\v2.0.50727\\mscorsvw.exe
0,0x7d2883b0,\\Users\\devmac\\AppData\\Local\\Microsoft\\Windows\\Explorer\\thumbcache_32.db
0,0x7d288b30,\\Windows\\assembly\\NativeImages_v2.0.50727_32\\PresentationFramewo#\\0e5bae8f265fbbbf53e8ca79d159cd6d\\PresentationFramework.Luna.ni.dll
0,0x7d289bd0,\\Users\\devmac\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Local Extension Settings\\ghbmnnjooekpmoecnnnilnnbdlolhkhi\\CURRENTdbtmp
0,0x7d289d20,\\Windows\\System32\\catroot\\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\\Microsoft-Windows-OfflineFiles-Package~31bf3856ad364e35~amd64~~6.1.7601.17514.cat
0,0x7d28a2c0,\\Windows\\System32\\P2PGraph.dll
0,0x7d28f070,\\Windows\\SysWOW64\\WindowsCodecs.dll
0,0x7d28f420,\\Windows\\System32\\en-US\\KernelBase.dll.mui
0,0x7d2901a0,\\Windows\\System32\\hgprint.dll
0,0x7d2999c0,\\Windows\\System32\\cryptext.dll
0,0x7d2a5430,\\Windows\\assembly\\NativeImages_v2.0.50727_32\\ReachFramework\\7073e12b4c349a6ad94522e465e4f4ed\\ReachFramework.ni.dll
0,0x7d2a91d0,\\Windows\\System32\\en-US\\telephon.cpl.mui
0,0x7d2a9320,\\$Directory
0,0x7d2a94c0,\\Windows\\System32\\en-US\\winspool.drv.mui
0,0x7d2a9bf0,\\Windows\\System32\\en-US\\dnsapi.dll.mui
0,0x7d2a9dd0,\\Windows\\System32\\QAGENTRT.DLL
0,0x7d2a9f20,\\Windows\\System32\\p2psvc.dll
0,0x7d2aab80,\\$Directory
0,0x7d2ab4a0,\\Program Files (x86)\\Internet Explorer\\IEShims.dll
0,0x7d2abb20,\\Windows\\System32\\en-US\\p2psvc.dll.mui
0,0x7d2b0070,\\Users\\devmac\\AppData\\Local\\Temp\\chrome_ComponentUnpacker_BeginUnzipping2980_1845585789\\manifest.fingerprint
0,0x7d2be160,\\Users\\devmac\\Links\\RecentPlaces.lnk
0,0x7d2be650,\\Users\\devmac\\AppData\\Roaming\\Microsoft\\Windows\\Recent\\desktop.ini
0,0x7d2bf280,\\Windows\\SysWOW64\\winnsi.dll
0,0x7d2bf7a0,\\Windows\\assembly\\GAC_MSIL\\mcglidhostobj\\6.1.0.0__31bf3856ad364e35\\mcglidhostobj.dll
0,0x7d2c2dc0,\\Windows\\winsxs\\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4940_none_50916076bcb9a742
0,0x7d2c62e0,\\Windows\\assembly\\NativeImages_v2.0.50727_32\\mcepg\\38e4b4d4c4cf98e35943
0,0x7d2c6430,\\Windows\\System32\\winbrand.dll
0,0x7d2d2070,\\Windows\\System32\\cryptsp.dll
0,0x7d2d7460,\\Users\\Public\\Videos\\desktop.ini
0,0x7d2d7d70,\\Program Files (x86)\\Internet Explorer\\ieproxy.dll
0,0x7d2dadd0,\\Windows\\SysWOW64\\pnrpnsp.dll
0,0x7d2dbc20,\\Users\\devmac\\AppData\\Roaming\\Microsoft\\Windows\\Libraries\\Documents.library-ms
0,0x7d2e4450,\\Windows\\SysWOW64\\rasadhlp.dll
0,0x7d2e6f20,\\Windows\\SysWOW64\\WSHTCPIP.DLL
0,0x7d2f4dc0,\\Program Files (x86)\\AccessData\\FTK Imager\\FTK Imager.exe
0,0x7d2f5070,\\$Directory
0,0x7d2f7990,\\Windows\\System32\\KernelBase.dll
0,0x7d2f8070,\\Windows\\SysWOW64\\winrnr.dll
0,0x7d2f9180,\\$Directory
0,0x7d2f9400,\\Users\\devmac\\AppData\\Roaming\\Microsoft\\Windows\\Libraries\\Music.library-ms
0,0x7d2fac80,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Accessories\\Mobility Center.lnk
0,0x7d2fadd0,\\Windows\\assembly\\GAC_MSIL\\Microsoft.ApplicationId.Framework\\6.1.0.0__31bf3856ad364e35\\Microsoft.ApplicationId.Framework.dll
0,0x7d2faf20,\\Windows\\System32\\drivers\\en-US\\ndis.sys.mui
0,0x7d2fb070,\\Users\\devmac\\AppData\\Local\\Microsoft\\Windows\\History\\History.IE5\\index.dat
0,0x7d2fb5f0,❀ز￿텰ȼ￿P
0,0x7d2fd940,\\Windows\\System32\\ActionCenterCPL.dll
0,0x7d2fdd70,\\Windows\\SysWOW64\\sxs.dll
0,0x7d2ff660,\\Windows\\Fonts\\kartikab.ttf
0,0x7d300390,\\Windows\\assembly\\NativeImages_v2.0.50727_64\\ehshell\\d1dc67c666bc15291be8
0,0x7d301310,\\Windows\\SoftwareDistribution\\DataStore\\Logs\\edb.log
0,0x7d30a070,\\Windows\\SysWOW64\\dhcpcsvc.dll
0,0x7d30a850,\\Program Files (x86)\\AccessData\\FTK Imager\\langs\\ita_ftki.dll
0,0x7d30af20,\\Windows\\Fonts\\latha.ttf
0,0x7d30c910,\\Windows\\assembly\\NativeImages_v2.0.50727_64\\Temp\\ZAP3019.tmp\\Microsoft.Security.ApplicationId.PolicyManagement.XmlHelper.dll
0,0x7d30cc40,\\Windows\\SysWOW64\\ieframe.dll
0,0x7d30cd90,\\Windows\\SysWOW64\\stdole2.tlb
