TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xfa80018ba040,0x4,Process,0x1fffff,System Pid 4
0,4,System,0xf8a00000dfa0,0x8,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0xf8a0000062d0,0xc,Directory,0xf000f,GLOBAL??
0,4,System,0xf8a00000c4e0,0x10,Key,0x0,-
0,4,System,0xf8a0000879d0,0x14,Key,0x2001f,MACHINE\\SYSTEM\\SETUP
0,4,System,0xf8a000084b00,0x18,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\SESSION MANAGER\\MEMORY MANAGEMENT\\PREFETCHPARAMETERS
0,4,System,0xf8a00004e190,0x1c,Key,0x20019,MACHINE\\HARDWARE\\DESCRIPTION\\SYSTEM\\MULTIFUNCTIONADAPTER
0,4,System,0xfa80018fc070,0x20,ALPC Port,0x1f0001,PowerMonitorPort
0,4,System,0xfa8001911380,0x24,ALPC Port,0x1f0001,PowerPort
0,4,System,0xf8a000097500,0x28,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\PRODUCTOPTIONS
0,4,System,0xfa80019ee040,0x2c,Thread,0x1fffff,Tid 176 Pid 4
0,4,System,0xf8a000081690,0x30,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001
0,4,System,0xf8a000081580,0x34,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\ENUM
0,4,System,0xf8a00008e5e0,0x38,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS
0,4,System,0xf8a000068220,0x3c,Key,0xf003f,MACHINE\\SYSTEM\\CONTROLSET001\\SERVICES
0,4,System,0xf8a00006bfa0,0x40,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\WMI\\SECURITY
0,4,System,0xfa80033dbc20,0x44,File,0x12019f,\\Device\\clfs\\SystemRoot\\System32\\Config\\TxR\\{016888cd-6c6f-11de-8d1d-001e0bcde3ec}.TM
