TreeDepth,PID,Process,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,File output,Notes,Hexdump,Disasm
0,728,svchost.exe,0xf50000,0xf5ffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
41 ba 80 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 A.....H.8.......
48 ff 20 90 41 ba 81 00 00 00 48 b8 38 a1 8c ff H. .A.....H.8...
fe 07 00 00 48 ff 20 90 41 ba 82 00 00 00 48 b8 ....H. .A.....H.
38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 83 00 8.......H. .A...",41 ba 80 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 81 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 82 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 83 00
0,940,svchost.exe,0xcf0000,0xcfffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
41 ba 80 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 A.....H.8.......
48 ff 20 90 41 ba 81 00 00 00 48 b8 38 a1 8c ff H. .A.....H.8...
fe 07 00 00 48 ff 20 90 41 ba 82 00 00 00 48 b8 ....H. .A.....H.
38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 83 00 8.......H. .A...",41 ba 80 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 81 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 82 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 83 00
0,2000,explorer.exe,0x200000,0x200fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 .. .............
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0,720,wmpnetwk.exe,0x1c0000,0x1cffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
41 ba 80 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 A.....H.8.......
48 ff 20 90 41 ba 81 00 00 00 48 b8 38 a1 8c ff H. .A.....H.8...
fe 07 00 00 48 ff 20 90 41 ba 82 00 00 00 48 b8 ....H. .A.....H.
38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 83 00 8.......H. .A...",41 ba 80 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 81 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 82 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 83 00
0,1604,mscorsvw.exe,0x230000,0x26ffff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
1a ed 72 e4 99 67 00 01 ee ff ee ff 00 00 00 00 ..r..g..........
a8 00 23 00 a8 00 23 00 00 00 23 00 00 00 23 00 ..#...#...#...#.
40 00 00 00 88 05 23 00 00 00 27 00 3f 00 00 00 @.....#...'.?...
01 00 00 00 00 00 00 00 f0 0f 23 00 f0 0f 23 00 ..........#...#.",1a ed 72 e4 99 67 00 01 ee ff ee ff 00 00 00 00 a8 00 23 00 a8 00 23 00 00 00 23 00 00 00 23 00 40 00 00 00 88 05 23 00 00 00 27 00 3f 00 00 00 01 00 00 00 00 00 00 00 f0 0f 23 00 f0 0f 23 00
0,2292,mscorsvw.exe,0x550000,0x5cffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 9d 8c b9 c9 29 d3 00 01 ............)...
ee ff ee ff 00 00 00 00 28 01 55 00 00 00 00 00 ........(.U.....
28 01 55 00 00 00 00 00 00 00 55 00 00 00 00 00 (.U.......U.....
00 00 55 00 00 00 00 00 80 00 00 00 00 00 00 00 ..U.............",00 00 00 00 00 00 00 00 9d 8c b9 c9 29 d3 00 01 ee ff ee ff 00 00 00 00 28 01 55 00 00 00 00 00 28 01 55 00 00 00 00 00 00 00 55 00 00 00 00 00 00 00 55 00 00 00 00 00 80 00 00 00 00 00 00 00
0,2764,svchost.exe,0x2920000,0x299ffff,VadS,PAGE_EXECUTE_READWRITE,128,1,Disabled,N/A,"
20 00 00 00 e0 ff 07 00 0c 00 00 00 01 00 05 00  ...............
00 42 00 50 00 30 00 70 00 60 00 00 00 00 00 00 .B.P.0.p.`......
48 8b 45 28 c7 00 00 00 00 00 c7 40 04 00 00 00 H.E(.......@....
00 48 8b 45 28 48 8d 40 08 48 89 c2 48 8b 45 20 .H.E(H.@.H..H.E ",20 00 00 00 e0 ff 07 00 0c 00 00 00 01 00 05 00 00 42 00 50 00 30 00 70 00 60 00 00 00 00 00 00 48 8b 45 28 c7 00 00 00 00 00 c7 40 04 00 00 00 00 48 8b 45 28 48 8d 40 08 48 89 c2 48 8b 45 20
0,2764,svchost.exe,0x51c0000,0x52bffff,VadS,PAGE_EXECUTE_READWRITE,256,1,Disabled,N/A,"
20 00 00 00 e0 ff 0f 00 0c 00 00 00 01 00 05 00  ...............
00 42 00 50 00 30 00 70 00 60 00 00 00 00 00 00 .B.P.0.p.`......
ba fc ff ff ff 03 55 20 03 55 5c b9 04 00 1a 00 ......U .U\\.....
4c 8b c5 ff 95 e0 37 00 00 8b 4d 24 89 08 48 8d L.....7...M$..H.",20 00 00 00 e0 ff 0f 00 0c 00 00 00 01 00 05 00 00 42 00 50 00 30 00 70 00 60 00 00 00 00 00 00 ba fc ff ff ff 03 55 20 03 55 5c b9 04 00 1a 00 4c 8b c5 ff 95 e0 37 00 00 8b 4d 24 89 08 48 8d
0,2980,chrome.exe,0x4e80000,0x4e8ffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
41 ba 80 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 A.....H.8.......
48 ff 20 90 41 ba 81 00 00 00 48 b8 38 a1 8c ff H. .A.....H.8...
fe 07 00 00 48 ff 20 90 41 ba 82 00 00 00 48 b8 ....H. .A.....H.
38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 83 00 8.......H. .A...",41 ba 80 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 81 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 82 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 83 00
0,2980,chrome.exe,0x7480000,0x7480fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 48 07 00 00 00 00 00 00 00 00 00 00 00 00 ..H.............
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 48 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
