TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,2516,2980,chrome.exe,0x59f3060,15,459,1,False,2023-03-28 22:39:33.000000 UTC,N/A,Disabled
0,2052,2980,chrome.exe,0x7d222b30,16,454,1,False,2023-03-28 22:41:28.000000 UTC,N/A,Disabled
0,1168,448,SearchIndexer.,0x7d46c900,16,808,0,False,2023-03-28 22:35:51.000000 UTC,N/A,Disabled
0,1932,1168,SearchProtocol,0x7d515530,9,428,0,False,2023-03-28 22:35:52.000000 UTC,N/A,Disabled
0,720,448,wmpnetwk.exe,0x7d534470,9,213,0,False,2023-03-28 22:36:00.000000 UTC,N/A,Disabled
0,2216,448,svchost.exe,0x7d55d630,4,190,0,False,2023-03-28 22:36:01.000000 UTC,N/A,Disabled
0,3556,1640,GoogleUpdate.e,0x7d5a2920,4,128,0,True,2023-03-28 22:42:09.000000 UTC,N/A,Disabled
0,1976,768,dwm.exe,0x7d6dfb30,3,73,1,False,2023-03-28 22:35:43.000000 UTC,N/A,Disabled
0,2000,1964,explorer.exe,0x7d6ef920,37,1082,1,False,2023-03-28 22:35:44.000000 UTC,N/A,Disabled
0,1356,2000,regsvr32.exe,0x7d7ad060,0,-,1,False,2023-03-28 22:35:44.000000 UTC,2023-03-28 22:35:45.000000 UTC,Disabled
0,1232,448,svchost.exe,0x7db7b350,16,275,0,False,2023-03-28 22:35:27.000000 UTC,N/A,Disabled
0,800,448,svchost.exe,0x7dc02b30,35,1033,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,940,448,svchost.exe,0x7dc64b30,21,515,0,False,2023-03-28 22:35:26.000000 UTC,N/A,Disabled
0,264,448,svchost.exe,0x7dcbb6c0,17,530,0,False,2023-03-28 22:35:26.000000 UTC,N/A,Disabled
0,1044,448,spoolsv.exe,0x7ddd2b30,12,276,0,False,2023-03-28 22:35:26.000000 UTC,N/A,Disabled
0,1072,448,svchost.exe,0x7ddeab30,19,319,0,False,2023-03-28 22:35:26.000000 UTC,N/A,Disabled
0,448,356,services.exe,0x7de68410,10,222,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,468,356,lsm.exe,0x7deb6b30,11,147,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,460,356,lsass.exe,0x7deb8910,11,623,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,568,448,svchost.exe,0x7df214d0,15,376,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,3268,2980,chrome.exe,0x7df6e2c0,14,218,1,False,2023-03-28 22:39:20.000000 UTC,N/A,Disabled
0,648,448,svchost.exe,0x7df84b30,9,287,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,728,448,svchost.exe,0x7dfb3480,25,577,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,768,448,svchost.exe,0x7dfed4e0,26,496,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,404,348,winlogon.exe,0x7e0b2060,5,118,1,False,2023-03-28 22:35:24.000000 UTC,N/A,Disabled
0,3596,2980,chrome.exe,0x7e1bd440,13,200,1,False,2023-03-28 22:37:37.000000 UTC,N/A,Disabled
0,368,348,csrss.exe,0x7e243060,9,422,1,False,2023-03-28 22:35:24.000000 UTC,N/A,Disabled
0,1844,448,taskhost.exe,0x7e321060,8,154,1,False,2023-03-28 22:35:43.000000 UTC,N/A,Disabled
0,308,292,csrss.exe,0x7e3783a0,9,528,0,False,2023-03-28 22:35:24.000000 UTC,N/A,Disabled
0,356,292,wininit.exe,0x7ead1550,3,78,0,False,2023-03-28 22:35:24.000000 UTC,N/A,Disabled
0,2412,568,WmiPrvSE.exe,0x7ed3b6a0,5,115,0,False,2023-03-28 22:39:28.000000 UTC,N/A,Disabled
0,236,4,smss.exe,0x7ef89190,2,31,N/A,False,2023-03-28 22:35:24.000000 UTC,N/A,Disabled
0,872,728,audiodg.exe,0x7ef8b060,6,126,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,2536,3364,msiexec.exe,0x7f8184e0,0,-,1,False,2023-03-28 22:44:01.000000 UTC,2023-03-28 22:44:13.000000 UTC,Disabled
0,2620,2536,FTK Imager.exe,0x7f8509e0,16,334,1,True,2023-03-28 22:44:13.000000 UTC,N/A,Disabled
0,3912,2980,chrome.exe,0x7f8539e0,10,178,1,False,2023-03-28 22:38:06.000000 UTC,N/A,Disabled
0,3904,2980,chrome.exe,0x7f8769e0,0,-,1,False,2023-03-28 22:37:59.000000 UTC,2023-03-28 22:44:46.000000 UTC,Disabled
0,1640,800,taskeng.exe,0x7f8d74e0,5,91,0,False,2023-03-28 22:42:09.000000 UTC,N/A,Disabled
0,3948,448,VSSVC.exe,0x7fa044e0,17,242,0,False,2023-03-28 22:44:06.000000 UTC,N/A,Disabled
0,3260,1168,SearchFilterHo,0x7fa784b0,5,95,0,False,2023-03-28 22:44:11.000000 UTC,N/A,Disabled
0,2980,2344,chrome.exe,0x7fa9eb30,35,1169,1,False,2023-03-28 22:37:35.000000 UTC,N/A,Disabled
0,2508,2980,chrome.exe,0x7fab9a10,7,139,1,False,2023-03-28 22:37:35.000000 UTC,N/A,Disabled
0,2324,448,msiexec.exe,0x7fb5c830,22,286,0,False,2023-03-28 22:44:01.000000 UTC,N/A,Disabled
0,3824,448,svchost.exe,0x7fc469c0,7,86,0,False,2023-03-28 22:44:06.000000 UTC,N/A,Disabled
0,1604,448,mscorsvw.exe,0x7fc79630,7,98,0,True,2023-03-28 22:37:28.000000 UTC,N/A,Disabled
0,2932,2380,GoogleCrashHan,0x7fccab30,5,107,0,True,2023-03-28 22:37:35.000000 UTC,N/A,Disabled
0,3020,2980,chrome.exe,0x7fcfd6b0,15,218,1,False,2023-03-28 22:37:35.000000 UTC,N/A,Disabled
0,1968,2380,GoogleCrashHan,0x7fd19b30,5,95,0,False,2023-03-28 22:37:35.000000 UTC,N/A,Disabled
0,2204,2980,chrome.exe,0x7fd40760,9,97,1,False,2023-03-28 22:37:35.000000 UTC,N/A,Disabled
0,1360,448,sppsvc.exe,0x7fe27b30,4,148,0,False,2023-03-28 22:37:28.000000 UTC,N/A,Disabled
0,2292,448,mscorsvw.exe,0x7fe446a0,7,91,0,False,2023-03-28 22:37:28.000000 UTC,N/A,Disabled
0,2764,448,svchost.exe,0x7febbb30,12,348,0,False,2023-03-28 22:37:28.000000 UTC,N/A,Disabled
0,4,0,System,0x7ff39040,87,557,N/A,False,2023-03-28 22:35:24.000000 UTC,N/A,Disabled

