TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,Audit,Cmd,Path
0,4,0,System,0xfa80018ba040,87,557,N/A,False,2023-03-28 22:35:24.000000 UTC,N/A,-,-,-
1,236,4,smss.exe,0xfa8002989190,2,31,N/A,False,2023-03-28 22:35:24.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe,\\SystemRoot\\System32\\smss.exe
0,308,292,csrss.exe,0xfa80035783a0,9,528,0,False,2023-03-28 22:35:24.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\csrss.exe,"%SystemRoot%\\system32\\csrss.exe ObjectDirectory=\\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=winsrv:ConServerDllInitialization,2 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16",C:\\Windows\\system32\\csrss.exe
0,356,292,wininit.exe,0xfa8002cd1550,3,78,0,False,2023-03-28 22:35:24.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wininit.exe,wininit.exe,C:\\Windows\\system32\\wininit.exe
1,448,356,services.exe,0xfa8003868410,10,222,0,False,2023-03-28 22:35:25.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\services.exe,C:\\Windows\\system32\\services.exe,C:\\Windows\\system32\\services.exe
2,768,448,svchost.exe,0xfa80039ed4e0,26,496,0,False,2023-03-28 22:35:25.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalSystemNetworkRestricted,C:\\Windows\\System32\\svchost.exe
3,1976,768,dwm.exe,0xfa80040dfb30,3,73,1,False,2023-03-28 22:35:43.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\dwm.exe,"""C:\\Windows\\system32\\Dwm.exe""",C:\\Windows\\system32\\Dwm.exe
2,648,448,svchost.exe,0xfa8003984b30,9,287,0,False,2023-03-28 22:35:25.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k RPCSS,C:\\Windows\\system32\\svchost.exe
2,264,448,svchost.exe,0xfa8003abb6c0,17,530,0,False,2023-03-28 22:35:26.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k NetworkService,C:\\Windows\\system32\\svchost.exe
2,1168,448,SearchIndexer.,0xfa800426c900,16,808,0,False,2023-03-28 22:35:51.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\SearchIndexer.exe,C:\\Windows\\system32\\SearchIndexer.exe /Embedding,C:\\Windows\\system32\\SearchIndexer.exe
3,3260,1168,SearchFilterHo,0xfa8001c784b0,5,95,0,False,2023-03-28 22:44:11.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\SearchFilterHost.exe,"""C:\\Windows\\system32\\SearchFilterHost.exe"" 0 512 516 524 65536 520 ",C:\\Windows\\system32\\SearchFilterHost.exe
3,1932,1168,SearchProtocol,0xfa8004315530,9,428,0,False,2023-03-28 22:35:52.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\SearchProtocolHost.exe,"""C:\\Windows\\system32\\SearchProtocolHost.exe"" Global\\UsGthrFltPipeMssGthrPipe2_ Global\\UsGthrCtrlFltPipeMssGthrPipe2 1 -2147483646 ""Software\\Microsoft\\Windows Search"" ""Mozilla/4.0 (compatible; MSIE 6.0; Windows NT; MS Search 4.0 Robot)"" ""C:\\ProgramData\\Microsoft\\Search\\Data\\Temp\\usgthrsvc"" ""DownLevelDaemon"" ",C:\\Windows\\system32\\SearchProtocolHost.exe
2,1044,448,spoolsv.exe,0xfa8003bd2b30,12,276,0,False,2023-03-28 22:35:26.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe,C:\\Windows\\System32\\spoolsv.exe
2,2324,448,msiexec.exe,0xfa8001d5c830,22,286,0,False,2023-03-28 22:44:01.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\msiexec.exe,C:\\Windows\\system32\\msiexec.exe /V,C:\\Windows\\system32\\msiexec.exe
2,800,448,svchost.exe,0xfa8003a02b30,35,1033,0,False,2023-03-28 22:35:25.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k netsvcs,C:\\Windows\\system32\\svchost.exe
3,1640,800,taskeng.exe,0xfa8001ed74e0,5,91,0,False,2023-03-28 22:42:09.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\taskeng.exe,taskeng.exe {70E4E1F5-DED0-4935-9997-09BFD5781EBC},C:\\Windows\\system32\\taskeng.exe
4,3556,1640,GoogleUpdate.e,0xfa80043a2920,4,128,0,True,2023-03-28 22:42:09.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files (x86)\\Google\\Update\\GoogleUpdate.exe,"""C:\\Program Files (x86)\\Google\\Update\\GoogleUpdate.exe"" /c",C:\\Program Files (x86)\\Google\\Update\\GoogleUpdate.exe
2,2216,448,svchost.exe,0xfa800435d630,4,190,0,False,2023-03-28 22:36:01.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServicePeerNet,C:\\Windows\\System32\\svchost.exe
2,940,448,svchost.exe,0xfa8003a64b30,21,515,0,False,2023-03-28 22:35:26.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalService,C:\\Windows\\system32\\svchost.exe
2,1072,448,svchost.exe,0xfa8003beab30,19,319,0,False,2023-03-28 22:35:26.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceNoNetwork,C:\\Windows\\system32\\svchost.exe
2,1844,448,taskhost.exe,0xfa8003521060,8,154,1,False,2023-03-28 22:35:43.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\taskhost.exe,"""taskhost.exe""",C:\\Windows\\system32\\taskhost.exe
2,568,448,svchost.exe,0xfa80039214d0,15,376,0,False,2023-03-28 22:35:25.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k DcomLaunch,C:\\Windows\\system32\\svchost.exe
3,2412,568,WmiPrvSE.exe,0xfa8002b3b6a0,5,115,0,False,2023-03-28 22:39:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\wbem\\WmiPrvSE.exe,C:\\Windows\\system32\\wbem\\wmiprvse.exe,C:\\Windows\\system32\\wbem\\wmiprvse.exe
2,1604,448,mscorsvw.exe,0xfa8001a79630,7,98,0,True,2023-03-28 22:37:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\Microsoft.NET\\Framework\\v2.0.50727\\mscorsvw.exe,C:\\Windows\\Microsoft.NET\\Framework\\v2.0.50727\\mscorsvw.exe,C:\\Windows\\Microsoft.NET\\Framework\\v2.0.50727\\mscorsvw.exe
2,2764,448,svchost.exe,0xfa800193cb30,12,348,0,False,2023-03-28 22:37:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k secsvcs,C:\\Windows\\System32\\svchost.exe
2,1232,448,svchost.exe,0xfa8003d7b350,16,275,0,False,2023-03-28 22:35:27.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\system32\\svchost.exe -k LocalServiceAndNoImpersonation,C:\\Windows\\system32\\svchost.exe
2,720,448,wmpnetwk.exe,0xfa8004334470,9,213,0,False,2023-03-28 22:36:00.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Program Files\\Windows Media Player\\wmpnetwk.exe,"""C:\\Program Files\\Windows Media Player\\wmpnetwk.exe""",C:\\Program Files\\Windows Media Player\\wmpnetwk.exe
2,1360,448,sppsvc.exe,0xfa80019e8b30,4,148,0,False,2023-03-28 22:37:28.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\sppsvc.exe,C:\\Windows\\system32\\sppsvc.exe,C:\\Windows\\system32\\sppsvc.exe
2,728,448,svchost.exe,0xfa80039b3480,25,577,0,False,2023-03-28 22:35:25.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\svchost.exe,C:\\Windows\\System32\\svchost.exe -k LocalServiceNetworkRestricted,C:\\Windows\\System32\\svchost.exe
3,872,728,audiodg.exe,0xfa800298b060,6,126,0,False,2023-03-28 22:35:25.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\audiodg.exe,C:\\Windows\\system32\\AUDIODG.EXE 0x2d4,C:\\Windows\\system32\\AUDIODG.EXE
2,3948,448,VSSVC.exe,0xfa8001c044e0,17,242,0,False,2023-03-28 22:44:06.000000 UTC,N/A,\\Device\\HarddiskVolume2\\Windows\\System32\\VSSVC.exe,C:\\Windows\\system32\\vssvc.exe,C:\\Windows\\system32\\vssvc.exe
