TreeDepth,PID,Process,Offset,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,Parent,File,File output
0,4,System,0xfffffa8002937880,0x776c0000,0x77868fff,Vad ,PAGE_EXECUTE_WRITECOPY,12,0,0xfa80018ba488,\\Windows\\System32\\ntdll.dll,Disabled
0,4,System,0xfffffa800385ee40,0x40000,0x40fff,Vad ,PAGE_READWRITE,0,0,0xfa8002937880,N/A,Disabled
0,4,System,0xfffffa8001903e50,0x10000,0x32fff,Vad ,PAGE_READWRITE,0,0,0xfa800385ee40,N/A,Disabled
0,4,System,0xfffffa80037d4330,0x70000,0x8ffff,Vad ,PAGE_READWRITE,0,0,0xfa800385ee40,N/A,Disabled
0,4,System,0xfffffa80043f8760,0x50000,0x6ffff,Vad ,PAGE_READWRITE,0,0,0xfa80037d4330,N/A,Disabled
0,4,System,0xfffffa800184b9f0,0x7ffe0000,0x7ffeffff,Vadl,PAGE_READONLY,2251799813685247,1,0xfa8002937880,N/A,Disabled
0,4,System,0xfffffa80028cfa40,0x778a0000,0x77a1ffff,Vad ,PAGE_EXECUTE_WRITECOPY,9,0,0xfa800184b9f0,\\Windows\\SysWOW64\\ntdll.dll,Disabled
0,4,System,0xfffffa8001eec290,0x7ffffad0000,0x7ffffafffff,Vad ,PAGE_READWRITE,0,0,0xfa800184b9f0,N/A,Disabled
0,4,System,0xfffffa8001c85ec0,0x7ffff5d0000,0x7ffff5fffff,Vad ,PAGE_READWRITE,0,0,0xfa8001eec290,N/A,Disabled
0,236,smss.exe,0xfffffa8002b58190,0x7efe0000,0x7ffdffff,VadS,PAGE_READONLY,0,1,0xfa80029895d8,N/A,Disabled
0,236,smss.exe,0xfffffa8002c38df0,0x250000,0x2cffff,VadS,PAGE_READWRITE,6,1,0xfa8002b58190,N/A,Disabled
0,236,smss.exe,0xfffffa8002ea6930,0x100000,0x100fff,Vad ,PAGE_READWRITE,0,0,0xfa8002c38df0,N/A,Disabled
0,236,smss.exe,0xfffffa8002c41510,0x0,0xfffff,VadS,PAGE_READWRITE,0,1,0xfa8002ea6930,N/A,Disabled
0,236,smss.exe,0xfffffa8002c35210,0x48160000,0x4817ffff,Vad ,PAGE_EXECUTE_WRITECOPY,3,0,0xfa8002c38df0,\\Windows\\System32\\smss.exe,Disabled
0,236,smss.exe,0xfffffa8002c38300,0x410000,0x50ffff,VadS,PAGE_READWRITE,67,1,0xfa8002c35210,N/A,Disabled
0,236,smss.exe,0xfffffa8003394220,0x570000,0x5effff,VadS,PAGE_READWRITE,6,1,0xfa8002c38300,N/A,Disabled
0,236,smss.exe,0xfffffa8002a9f110,0x776c0000,0x77868fff,Vad ,PAGE_EXECUTE_WRITECOPY,12,0,0xfa8002c35210,\\Windows\\System32\\ntdll.dll,Disabled
0,236,smss.exe,0xfffffa8002c30df0,0x7fffffb0000,0x7fffffd2fff,Vad ,PAGE_READONLY,0,0,0xfa8002b58190,N/A,Disabled
0,236,smss.exe,0xfffffa8002c38e40,0x7feff9e0000,0x7feff9e0fff,Vad ,PAGE_EXECUTE_WRITECOPY,0,0,0xfa8002c30df0,\\Windows\\System32\\apisetschema.dll,Disabled
0,236,smss.exe,0xfffffa8002c43270,0x7ffe0000,0x7ffeffff,Vadl,PAGE_READONLY,2251799813685247,1,0xfa8002c38e40,N/A,Disabled
0,236,smss.exe,0xfffffa8002a428a0,0x7fffffdd000,0x7fffffdefff,Vadl,PAGE_READWRITE,2,1,0xfa8002c30df0,N/A,Disabled
0,236,smss.exe,0xfffffa80033e85d0,0x7fffffd7000,0x7fffffd8fff,Vadl,PAGE_READWRITE,2,1,0xfa8002a428a0,N/A,Disabled
0,236,smss.exe,0xfffffa8002c37e30,0x7fffffdf000,0x7fffffdffff,Vadl,PAGE_READWRITE,1,1,0xfa8002a428a0,N/A,Disabled
0,308,csrss.exe,0xfffffa8001cb9310,0x2690000,0x269ffff,Vad ,PAGE_READWRITE,0,0,0xfa80035787e8,N/A,Disabled
0,308,csrss.exe,0xfffffa800187c9b0,0xba0000,0xbdffff,VadS,PAGE_READWRITE,11,1,0xfa8001cb9310,N/A,Disabled
0,308,csrss.exe,0xfffffa8003584e40,0x4f0000,0x4fffff,VadS,PAGE_READWRITE,8,1,0xfa800187c9b0,N/A,Disabled
0,308,csrss.exe,0xfffffa8002ccd170,0x290000,0x290fff,Vadm,PAGE_READWRITE,1,1,0xfa8003584e40,N/A,Disabled
0,308,csrss.exe,0xfffffa8002b96430,0x270000,0x275fff,Vad ,PAGE_READONLY,0,0,0xfa8002ccd170,N/A,Disabled
0,308,csrss.exe,0xfffffa80035836c0,0x100000,0x166fff,Vad ,PAGE_READONLY,0,0,0xfa8002b96430,\\Windows\\System32\\locale.nls,Disabled
0,308,csrss.exe,0xfffffa8003584e90,0x0,0xfffff,VadS,PAGE_READWRITE,0,1,0xfa80035836c0,N/A,Disabled
0,308,csrss.exe,0xfffffa800357c670,0x170000,0x26ffff,VadS,PAGE_READWRITE,44,1,0xfa80035836c0,N/A,Disabled
0,308,csrss.exe,0xfffffa800295bdf0,0x280000,0x280fff,Vad ,PAGE_READWRITE,0,0,0xfa8002b96430,N/A,Disabled
0,308,csrss.exe,0xfffffa80033f6be0,0x2c0000,0x2cffff,Vad ,PAGE_READWRITE,0,0,0xfa8002ccd170,N/A,Disabled
0,308,csrss.exe,0xfffffa8002ba0330,0x2b0000,0x2b0fff,Vadm,PAGE_READWRITE,1,1,0xfa80033f6be0,N/A,Disabled
0,308,csrss.exe,0xfffffa800187f620,0x2a0000,0x2a1fff,Vad ,PAGE_READONLY,0,0,0xfa8002ba0330,\\Windows\\Fonts\\vgasys.fon,Disabled
0,308,csrss.exe,0xfffffa8003583590,0x320000,0x4a0fff,Vadm,PAGE_READONLY,0,0,0xfa80033f6be0,N/A,Disabled
0,308,csrss.exe,0xfffffa8003780d00,0x2e0000,0x30ffff,Vad ,PAGE_READONLY,0,0,0xfa8003583590,N/A,Disabled
0,308,csrss.exe,0xfffffa80037bf430,0x2d0000,0x2d6fff,Vad ,PAGE_READONLY,0,0,0xfa8003780d00,\\Windows\\Fonts\\marlett.ttf,Disabled
0,308,csrss.exe,0xfffffa80037efae0,0x310000,0x31ffff,Vad ,PAGE_READWRITE,0,0,0xfa8003780d00,N/A,Disabled
0,308,csrss.exe,0xfffffa800295bec0,0x4b0000,0x4effff,VadS,PAGE_READWRITE,11,1,0xfa8003583590,N/A,Disabled
0,308,csrss.exe,0xfffffa80018f5170,0xa20000,0xa5ffff,VadS,PAGE_READWRITE,11,1,0xfa8003584e40,N/A,Disabled
0,308,csrss.exe,0xfffffa800357c620,0x510000,0x60ffff,VadS,PAGE_READWRITE,223,1,0xfa80018f5170,N/A,Disabled
0,308,csrss.exe,0xfffffa8003824560,0x500000,0x50ffff,Vad ,PAGE_READWRITE,0,0,0xfa800357c620,N/A,Disabled
0,308,csrss.exe,0xfffffa8002cb3010,0x610000,0xa02fff,Vad ,PAGE_READONLY,0,0,0xfa800357c620,N/A,Disabled
0,308,csrss.exe,0xfffffa8003839420,0xa10000,0xa1ffff,Vad ,PAGE_READWRITE,0,0,0xfa8002cb3010,N/A,Disabled
0,308,csrss.exe,0xfffffa80036c5150,0xac0000,0xafffff,VadS,PAGE_READWRITE,11,1,0xfa80018f5170,N/A,Disabled
0,308,csrss.exe,0xfffffa80038fbbc0,0xa90000,0xa9ffff,Vad ,PAGE_READWRITE,0,0,0xfa80036c5150,N/A,Disabled
0,308,csrss.exe,0xfffffa8003907a90,0xa80000,0xa8ffff,Vad ,PAGE_READWRITE,0,0,0xfa80038fbbc0,N/A,Disabled
0,308,csrss.exe,0xfffffa800382d3f0,0xa60000,0xa77fff,Vad ,PAGE_READONLY,0,0,0xfa8003907a90,N/A,Disabled
0,308,csrss.exe,0xfffffa80039aac50,0xaa0000,0xaa1fff,Vad ,PAGE_READWRITE,0,0,0xfa80038fbbc0,N/A,Disabled
0,308,csrss.exe,0xfffffa80039b72d0,0xab0000,0xabffff,Vad ,PAGE_READWRITE,0,0,0xfa80039aac50,N/A,Disabled
0,308,csrss.exe,0xfffffa8003a622e0,0xb30000,0xb3ffff,Vad ,PAGE_READWRITE,0,0,0xfa80036c5150,N/A,Disabled
0,308,csrss.exe,0xfffffa8003a017d0,0xb10000,0xb1ffff,Vad ,PAGE_READWRITE,0,0,0xfa8003a622e0,N/A,Disabled
0,308,csrss.exe,0xfffffa8003861560,0xb00000,0xb0ffff,Vad ,PAGE_READWRITE,0,0,0xfa8003a017d0,N/A,Disabled
0,308,csrss.exe,0xfffffa800298b7f0,0xb20000,0xb2ffff,Vad ,PAGE_READWRITE,0,0,0xfa8003a017d0,N/A,Disabled
0,308,csrss.exe,0xfffffa8003a99150,0xb80000,0xb8ffff,Vad ,PAGE_READWRITE,0,0,0xfa8003a622e0,N/A,Disabled
0,308,csrss.exe,0xfffffa80018bd970,0xb40000,0xb7ffff,VadS,PAGE_READWRITE,11,1,0xfa8003a99150,N/A,Disabled
0,308,csrss.exe,0xfffffa8003bdb940,0xb90000,0xb9ffff,Vad ,PAGE_READWRITE,0,0,0xfa8003a99150,N/A,Disabled
0,308,csrss.exe,0xfffffa800398e870,0x23d0000,0x248ffff,Vad ,PAGE_READONLY,0,0,0xfa800187c9b0,N/A,Disabled
0,308,csrss.exe,0xfffffa80036dd620,0xe10000,0xe8efff,Vad ,PAGE_READONLY,0,0,0xfa800398e870,\\Windows\\Fonts\\segoeui.ttf,Disabled
0,308,csrss.exe,0xfffffa800187fcc0,0xc30000,0xdb7fff,Vad ,PAGE_READONLY,0,0,0xfa80036dd620,N/A,Disabled
0,308,csrss.exe,0xfffffa8002cb3310,0xbf0000,0xc2ffff,VadS,PAGE_READWRITE,11,1,0xfa800187fcc0,N/A,Disabled
0,308,csrss.exe,0xfffffa8003bea410,0xbe0000,0xbeffff,Vad ,PAGE_READWRITE,0,0,0xfa8002cb3310,N/A,Disabled
0,308,csrss.exe,0xfffffa8003397220,0xdd0000,0xe0ffff,VadS,PAGE_READWRITE,11,1,0xfa800187fcc0,N/A,Disabled
0,308,csrss.exe,0xfffffa8003d64cd0,0xdc0000,0xdcffff,Vad ,PAGE_READWRITE,0,0,0xfa8003397220,N/A,Disabled
0,308,csrss.exe,0xfffffa80042cc180,0x2370000,0x237ffff,Vad ,PAGE_READWRITE,0,0,0xfa80036dd620,N/A,Disabled
0,308,csrss.exe,0xfffffa80038b17d0,0x2290000,0x234ffff,Vad ,PAGE_READONLY,0,0,0xfa80042cc180,N/A,Disabled
0,308,csrss.exe,0xfffffa800375f940,0xe90000,0x228ffff,Vad ,PAGE_READONLY,0,0,0xfa80038b17d0,N/A,Disabled
0,308,csrss.exe,0xfffffa80042322f0,0x2350000,0x235ffff,Vad ,PAGE_READWRITE,0,0,0xfa80038b17d0,N/A,Disabled
0,308,csrss.exe,0xfffffa8001b86550,0x2360000,0x236ffff,Vad ,PAGE_READWRITE,0,0,0xfa80042322f0,N/A,Disabled
0,308,csrss.exe,0xfffffa80028c59b0,0x2380000,0x238ffff,Vad ,PAGE_READWRITE,0,0,0xfa80042cc180,N/A,Disabled
0,308,csrss.exe,0xfffffa80037dbdf0,0x2390000,0x23cffff,VadS,PAGE_READWRITE,11,1,0xfa80028c59b0,N/A,Disabled
0,308,csrss.exe,0xfffffa8001988010,0x2650000,0x265ffff,Vad ,PAGE_READWRITE,0,0,0xfa800398e870,N/A,Disabled
0,308,csrss.exe,0xfffffa800408a8f0,0x2610000,0x261ffff,Vad ,PAGE_READWRITE,0,0,0xfa8001988010,N/A,Disabled
0,308,csrss.exe,0xfffffa8004274ef0,0x2550000,0x260ffff,Vad ,PAGE_READONLY,0,0,0xfa800408a8f0,N/A,Disabled
0,308,csrss.exe,0xfffffa80039b49f0,0x2490000,0x254ffff,Vad ,PAGE_READONLY,0,0,0xfa8004274ef0,N/A,Disabled
0,308,csrss.exe,0xfffffa8001bbbc50,0x2630000,0x263ffff,Vad ,PAGE_READWRITE,0,0,0xfa800408a8f0,N/A,Disabled
0,308,csrss.exe,0xfffffa8001aa8940,0x2620000,0x262ffff,Vad ,PAGE_READWRITE,0,0,0xfa8001bbbc50,N/A,Disabled
0,308,csrss.exe,0xfffffa8001985470,0x2640000,0x264ffff,Vad ,PAGE_READWRITE,0,0,0xfa8001bbbc50,N/A,Disabled
0,308,csrss.exe,0xfffffa8001e8d0f0,0x2670000,0x267ffff,Vad ,PAGE_READWRITE,0,0,0xfa8001988010,N/A,Disabled
0,308,csrss.exe,0xfffffa8001a39980,0x2660000,0x266ffff,Vad ,PAGE_READWRITE,0,0,0xfa8001e8d0f0,N/A,Disabled
0,308,csrss.exe,0xfffffa8001b7de60,0x2680000,0x268ffff,Vad ,PAGE_READWRITE,0,0,0xfa8001e8d0f0,N/A,Disabled
0,308,csrss.exe,0xfffffa80035838a0,0x7feff5e0000,0x7feff646fff,Vad ,PAGE_EXECUTE_WRITECOPY,3,0,0xfa8001cb9310,\\Windows\\System32\\gdi32.dll,Disabled
0,308,csrss.exe,0xfffffa800295af40,0x7f0e0000,0x7ffdffff,VadS,PAGE_READONLY,0,1,0xfa80035838a0,N/A,Disabled
0,308,csrss.exe,0xfffffa800357d620,0x4a070000,0x4a075fff,Vad ,PAGE_EXECUTE_WRITECOPY,2,0,0xfa800295af40,\\Windows\\System32\\csrss.exe,Disabled
0,308,csrss.exe,0xfffffa8001ed8390,0x26f0000,0x26f1fff,Vad ,PAGE_READONLY,0,0,0xfa800357d620,\\Windows\\Fonts\\cga40woa.fon,Disabled
0,308,csrss.exe,0xfffffa800434c250,0x26d0000,0x26d1fff,Vad ,PAGE_READONLY,0,0,0xfa8001ed8390,\\Windows\\Fonts\\vgaoem.fon,Disabled
0,308,csrss.exe,0xfffffa8003719420,0x26b0000,0x26bffff,Vad ,PAGE_READWRITE,0,0,0xfa800434c250,N/A,Disabled
0,308,csrss.exe,0xfffffa8003b65f80,0x26a0000,0x26affff,Vad ,PAGE_READWRITE,0,0,0xfa8003719420,N/A,Disabled
0,308,csrss.exe,0xfffffa80042a1b90,0x26c0000,0x26cffff,Vad ,PAGE_READWRITE,0,0,0xfa8003719420,N/A,Disabled
0,308,csrss.exe,0xfffffa8001d97370,0x26e0000,0x26e8fff,Vad ,PAGE_READONLY,0,0,0xfa800434c250,\\Windows\\Fonts\\dosapp.fon,Disabled
0,308,csrss.exe,0xfffffa80019382f0,0x2710000,0x2712fff,Vad ,PAGE_READONLY,0,0,0xfa8001ed8390,\\Windows\\Fonts\\ega40woa.fon,Disabled
0,308,csrss.exe,0xfffffa8001dad180,0x2700000,0x2701fff,Vad ,PAGE_READONLY,0,0,0xfa80019382f0,\\Windows\\Fonts\\cga80woa.fon,Disabled
0,308,csrss.exe,0xfffffa80038553d0,0x2730000,0x276ffff,VadS,PAGE_READWRITE,11,1,0xfa80019382f0,N/A,Disabled
0,308,csrss.exe,0xfffffa800337a290,0x2720000,0x272ffff,Vad ,PAGE_READWRITE,0,0,0xfa80038553d0,N/A,Disabled
0,308,csrss.exe,0xfffffa8001a90d70,0x2770000,0x277ffff,Vad ,PAGE_READONLY,0,0,0xfa80038553d0,\\Windows\\Fonts\\sserife.fon,Disabled
0,308,csrss.exe,0xfffffa800357d590,0x776c0000,0x77868fff,Vad ,PAGE_EXECUTE_WRITECOPY,12,0,0xfa800357d620,\\Windows\\System32\\ntdll.dll,Disabled
