TreeDepth,Offset,Name
0,0x59f7cc0,\\Windows\\System32\\wlansvc.dll
0,0x7d204dd0,\\Windows\\SysWOW64\\gdi32.dll
0,0x7d205680,\\Windows\\SoftwareDistribution\\ReportingEvents.log
0,0x7d206070,\\lsass
0,0x7d206470,\\Windows\\Microsoft.NET\\Framework\\v2.0.50727\\mscorjit.dll
0,0x7d208070,\\Users\\devmac\\Downloads\\Ransomware.RedBoot\\1001a8c7f33185217e6e1bdbb8dba9780d475da944684fb4bf1fc04809525887
0,0x7d208660,\\Endpoint
0,0x7d2087b0,\\Endpoint
0,0x7d208e80,\\Endpoint
0,0x7d221d10,\\Windows\\SysWOW64\\wship6.dll
0,0x7d2229f0,\\Windows\\SysWOW64\\mswsock.dll
0,0x7d22cb10,\\Endpoint
0,0x7d22cc80,\\Program Files\\Google\\Chrome\\Application\\109.0.5414.120
0,0x7d22cf20,\\Endpoint
0,0x7d24fd20,\\Windows\\assembly\\NativeImages_v2.0.50727_64\\Microsoft.MediaCent#\\dc34242bf840d340e94d2657c7c33371\\Microsoft.MediaCenter.Sports.ni.dll
0,0x7d250700,\\Windows\\System32\\UIAnimation.dll
0,0x7d250850,\\Windows\\winsxs\\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0,0x7d2522e0,\\Windows\\System32\\ActionCenter.dll
0,0x7d252450,\\Windows\\winsxs\\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7601.17514_none_2b24536c71ed437a
0,0x7d252a80,\\Windows\\System32\\imapi2.dll
0,0x7d254070,\\Windows\\System32\\hgcpl.dll
0,0x7d2556d0,\\Windows\\SysWOW64\\en-US\\ole32.dll.mui
0,0x7d255820,\\Windows\\System32\\synceng.dll
0,0x7d2583a0,\\Program Files\\Windows Photo Viewer\\ImagingEngine.dll
0,0x7d2593d0,\\Windows\\SysWOW64\\cryptnet.dll
0,0x7d25b600,\\Program Files\\Common Files\\Microsoft Shared\\ink\\en-US\\mip.exe.mui
0,0x7d25ba20,\\Windows\\System32\\en-US\\wmploc.DLL.mui
0,0x7d25ce60,\\Windows\\System32\\fdWSD.dll
0,0x7d25dd10,\\Windows\\System32\\fdPHost.dll
0,0x7d25f200,\\$Directory
0,0x7d261d10,\\Windows\\System32\\en-US\\FirewallAPI.dll.mui
0,0x7d262950,\\Endpoint
0,0x7d264d40,\\Windows\\System32\\fdSSDP.dll
0,0x7d2653c0,\\Windows\\System32\\fdProxy.dll
0,0x7d265dd0,\\Windows\\winsxs\\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0,0x7d2667d0,\\Windows\\System32\\en-US\\KernelBase.dll.mui
0,0x7d26c330,\\Program Files\\WinRAR\\WinRAR.exe
0,0x7d26c580,\\Windows\\Microsoft.NET\\Framework64\\v2.0.50727\\cscomp.dll
0,0x7d26c980,\\Endpoint
0,0x7d276c10,\\Endpoint
0,0x7d2775e0,\\Endpoint
0,0x7d2784d0,\\Endpoint
0,0x7d2787f0,\\Endpoint
0,0x7d279460,\\Windows\\System32\\ListSvc.dll
0,0x7d27c070,\\Endpoint
0,0x7d27ea20,\\Windows\\System32\\en-US\\FirewallAPI.dll.mui
0,0x7d27f070,\\Endpoint
0,0x7d27fcc0,\\Windows\\System32\\rdpcorekmts.dll
0,0x7d282f20,\\Windows\\System32\\IdListen.dll
0,0x7d283770,\\mojo.2980.2624.7814974804234499217
0,0x7d283a10,\\Windows\\System32\\TabbtnEx.dll
0,0x7d284150,\\Windows\\System32\\calc.exe
0,0x7d289140,\\Users\\devmac\\Music\\desktop.ini
0,0x7d28a2c0,\\Windows\\System32\\P2PGraph.dll
0,0x7d28a850,\\Users\\devmac\\AppData\\Roaming\\Microsoft\\Windows\\Libraries\\Pictures.library-ms
0,0x7d28b070,\\Windows\\System32\\drt.dll
0,0x7d28c260,\\Windows\\System32\\mshta.exe
0,0x7d28f070,\\Windows\\SysWOW64\\WindowsCodecs.dll
0,0x7d28f420,\\Users\\desktop.ini
0,0x7d2901a0,\\Windows\\System32\\hgprint.dll
0,0x7d2a94c0,\\Windows\\System32\\riched20.dll
0,0x7d2a9bf0,\\Windows\\System32\\en-US\\dnsapi.dll.mui
0,0x7d2a9dd0,\\Windows\\System32\\QAGENTRT.DLL
0,0x7d2a9f20,\\Windows\\System32\\p2psvc.dll
0,0x7d2aab80,\\$Directory
0,0x7d2ab770,\\Windows\\Microsoft.NET\\Framework64\\v2.0.50727\\csc.exe
0,0x7d2abb20,\\Windows\\System32\\en-US\\p2psvc.dll.mui
0,0x7d2be670,\\Windows\\System32\\PING.EXE
0,0x7d2bf280,\\Windows\\SysWOW64\\winnsi.dll
0,0x7d2bf3d0,\\Windows\\System32\\en-US\\KernelBase.dll.mui
0,0x7d2bf7a0,\\Windows\\System32\\McxDriv.dll
0,0x7d2c2400,\\Windows\\System32\\WindowsPowerShell\\v1.0\\types.ps1xml
0,0x7d2c2b50,\\Users\\devmac\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Code Cache\\js\\a977e36d9fa56f88_0
0,0x7d2c2dc0,\\Windows\\winsxs\\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.4940_none_50916076bcb9a742
0,0x7d2c62e0,\\Windows\\SysWOW64\\loadperf.dll
0,0x7d2c6430,\\Windows\\System32\\winbrand.dll
0,0x7d2dadd0,\\Windows\\SysWOW64\\pnrpnsp.dll
0,0x7d2db070,\\$Directory
0,0x7d2e4450,\\Windows\\SysWOW64\\rasadhlp.dll
0,0x7d2e4f20,\\Windows\\SysWOW64\\mscms.dll
0,0x7d2e6570,\\$Directory
0,0x7d2e68e0,\\Windows\\ehome\\mcstore.dll
0,0x7d2e6f20,\\Windows\\SysWOW64\\WSHTCPIP.DLL
0,0x7d2f45a0,\\Users\\devmac\\AppData\\Local\\Microsoft\\Windows\\Explorer\\thumbcache_32.db
0,0x7d2f4da0,\\Windows\\ehome\\mcepg.dll
0,0x7d2f5070,\\$Directory
0,0x7d2f6070,\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell.exe
0,0x7d2f7990,\\Windows\\System32\\microsoft-windows-hal-events.dll
0,0x7d2f8070,\\Windows\\SysWOW64\\winrnr.dll
0,0x7d2fb070,\\Users\\devmac\\AppData\\Local\\Microsoft\\Windows\\History\\History.IE5\\index.dat
0,0x7d2fb340,\\Users\\devmac\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Code Cache\\js\\6fb1c3dca0b98dc1_0
0,0x7d2fd150,\\Windows\\System32\\cscsvc.dll
0,0x7d2fd940,\\Windows\\System32\\ActionCenterCPL.dll
0,0x7d2fdd70,\\Windows\\SysWOW64\\sxs.dll
0,0x7d2ff3d0,\\$Directory
0,0x7d2ff660,\\Windows\\Fonts\\kartikab.ttf
0,0x7d300390,\\Windows\\System32\\puiapi.dll
0,0x7d30a070,\\Windows\\SysWOW64\\dhcpcsvc.dll
0,0x7d30af20,\\Windows\\Fonts\\latha.ttf
0,0x7d30c910,\\Windows\\System32\\efscore.dll
0,0x7d30cc40,\\Windows\\SysWOW64\\ieframe.dll
0,0x7d30cd90,\\Windows\\SysWOW64\\stdole2.tlb
0,0x7d30d070,\\Users\\devmac\\AppData\\Roaming\\Microsoft\\Windows\\Start Menu\\Programs\\Accessories\\System Tools\\Internet Explorer (No Add-ons).lnk
0,0x7d30d370,\\Windows\\SysWOW64\\dhcpcsvc6.dll
0,0x7d30d970,\\$Directory
0,0x7d30df20,\\Users\\devmac\\Downloads\\Ransomware.Petrwrap\\svchost.exe
0,0x7d30fc50,\\Windows\\Microsoft.NET\\Framework64\\v2.0.50727\\CORPerfMonExt.dll
0,0x7d310780,\\Windows\\SysWOW64\\mssprxy.dll
0,0x7d3131a0,\\Windows\\ehome\\ehtrace.dll
0,0x7d3132f0,\\Windows\\Fonts\\segoeuib.ttf
0,0x7d3134a0,\\Users\\devmac\\Desktop\\CA
0,0x7d313840,\\Program Files\\Windows Sidebar\\Gadgets\\Calendar.Gadget\\en-US\\js\\calendar.js
0,0x7d313b50,\\Windows\\Microsoft.NET\\Framework64\\v2.0.50727\\WMINet_Utils.dll
0,0x7d315070,\\Windows\\SysWOW64\\xmllite.dll
0,0x7d3154d0,\\Windows\\Prefetch\\CONHOST.EXE-1F3E9D7E.pf
0,0x7d3156e0,\\Windows\\Microsoft.NET\\Framework64\\v2.0.50727\\mscordacwks.dll
0,0x7d315f20,\\Program Files\\Google\\Chrome\\Application\\109.0.5414.120\\chrome_elf.dll
0,0x7d316070,\\Windows\\SysWOW64\\schannel.dll
0,0x7d3162b0,\\Windows\\SysWOW64\\dui70.dll
0,0x7d316dd0,\\Windows\\System32\\rtffilt.dll
0,0x7d318170,\\Windows\\SysWOW64\\authui.dll
0,0x7d318340,\\Windows\\System32\\shgina.dll
0,0x7d318880,\\Windows\\SysWOW64\\riched20.dll
0,0x7d318f20,\\Users\\devmac\\AppData\\Roaming\\WinRAR\\version.dat
0,0x7d31b1d0,\\Windows\\Fonts\\arial.ttf
0,0x7d31b640,\\Windows\\assembly\\GAC_32\\System.Transactions\\2.0.0.0__b77a5c561934e089\\System.Transactions.dll
0,0x7d31d560,\\Windows\\SysWOW64\\upnp.dll
0,0x7d31fdd0,\\Users\\devmac\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Code Cache\\js\\c2a6aeea2c30d67e_0
0,0x7d320f20,\\Windows\\System32\\gdi32.dll
0,0x7d321b40,\\Windows\\System32\\certprop.dll
0,0x7d323070,\\Windows\\System32\\control.exe
0,0x7d324070,\\Windows\\assembly\\NativeImages_v2.0.50727_64\\System.Data.SqlXml\\7111bf18edb7bf9d986782131f797acb\\System.Data.SqlXml.ni.dll
0,0x7d324840,\\Windows\\System32\\appmgmts.dll
0,0x7d325070,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Media Center.lnk
0,0x7d325320,\\$ConvertToNonresident
0,0x7d325f20,\\Users\\devmac\\Downloads\\Ransomware.Cryptowall\\cryptowall.bin
0,0x7d326f20,\\Windows\\System32\\en-US\\msctf.dll.mui
0,0x7d328070,\\Users\\devmac\\Downloads\\Ransomware.Petrwrap\\027cc450ef5f8c5f653329641ec1fed9.exe
0,0x7d328ac0,\\Windows\\System32\\dmutil.dll
0,0x7d328c70,\\Windows\\System32\\en-US\\miguiresource.dll.mui
0,0x7d333a30,\\Windows\\SysWOW64\\msimtf.dll
0,0x7d333f20,\\Windows\\Microsoft.NET\\Framework64\\v2.0.50727\\alink.dll
0,0x7d3348b0,\\Windows\\SysWOW64\\jscript.dll
0,0x7d335070,\\Windows\\System32\\sdiagprv.dll
0,0x7d335380,\\Windows\\SysWOW64\\ExplorerFrame.dll
0,0x7d335520,\\Windows\\System32\\aepic.dll
0,0x7d337490,\\Windows\\System32\\SensApi.dll
0,0x7d3377a0,\\Windows\\System32\\Microsoft\\Protect\\S-1-5-20\\Preferred
0,0x7d337b50,\\Windows\\System32\\netapi32.dll
0,0x7d3384e0,\\$Directory
0,0x7d338730,\\Windows\\System32\\nlaapi.dll
0,0x7d338940,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Sidebar.lnk
0,0x7d338df0,\\Windows\\Microsoft.NET\\Framework64\\v2.0.50727\\diasymreader.dll
0,0x7d339070,\\Windows\\SysWOW64\\WMASF.DLL
0,0x7d339440,\\Windows\\Fonts\\seguisb.ttf
0,0x7d33c930,\\$ConvertToNonresident
0,0x7d33d7f0,\\Windows\\System32\\logoncli.dll
0,0x7d340830,\\Windows\\SysWOW64\\ksuser.dll
0,0x7d340b30,\\Windows\\SysWOW64\\imgutil.dll
0,0x7d340c80,\\Windows\\Fonts\\times.ttf
0,0x7d340dd0,\\Windows\\SysWOW64\\pngfilt.dll
0,0x7d340f20,\\Windows\\System32\\wscript.exe
0,0x7d341a10,\\mojo.2980.3040.16970120378300068228
0,0x7d345070,\\Windows\\System32\\appwiz.cpl
0,0x7d350170,\\$Directory
0,0x7d3502f0,\\Windows\\System32
0,0x7d3504f0,\\Windows\\System32\\en-US\\wer.dll.mui
0,0x7d352d10,\\Windows\\System32\\offfilt.dll
0,0x7d352e60,\\Windows\\Fonts\\arial.ttf
0,0x7d358070,\\Windows\\System32\\dot3svc.dll
0,0x7d358c90,\\Users\\devmac\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Code Cache\\js\\7148a58362b14ec5_0
0,0x7d358f20,\\Endpoint
0,0x7d403440,\\Windows\\System32\\crypt32.dll
0,0x7d4037f0,\\Windows\\System32\\WindowsPowerShell\\v1.0\\FileSystem.format.ps1xml
0,0x7d404860,\\Windows\\System32\\wscui.cpl
0,0x7d404b10,\\Windows\\AppPatch\\AppPatch64\\AcLayers.dll
0,0x7d4053d0,\\Windows\\System32\\iertutil.dll
0,0x7d405be0,\\Windows\\System32\\en-US\\kernel32.dll.mui
0,0x7d405f20,\\Users\\devmac\\AppData\\Roaming\\Microsoft\\Windows\\Start Menu\\Programs\\Accessories\\Accessibility\\Narrator.lnk
0,0x7d407940,\\Program Files\\Google\\Chrome\\Application\\109.0.5414.120\\Locales\\en-GB.pak
0,0x7d4083d0,\\Users\\devmac\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Code Cache\\js\\2091bc52ed4a369a_0
0,0x7d408520,\\Windows\\System32\\sxs.dll
0,0x7d408670,\\Users\\devmac\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\Code Cache\\js\\6ad95259c89c426b_0
0,0x7d408d10,\\Windows\\WindowsShell.Manifest
0,0x7d408e60,\\Windows\\Fonts\\cambria.ttc
0,0x7d409070,\\Windows\\System32\\Speech\\SpeechUX\\sapi.cpl
0,0x7d40a330,\\Windows\\System32\\NlsLexicons0021.dll
0,0x7d40a8d0,\\Windows\\System32\\en-US\\urlmon.dll.mui
0,0x7d40b890,\\Windows\\System32\\pstorsvc.dll
0,0x7d40cb70,\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0\\powershell_ise.exe
0,0x7d40e450,\\Windows\\System32\\wlanapi.dll
0,0x7d40e5a0,\\Windows\\assembly\\GAC_MSIL\\System.Core\\3.5.0.0__b77a5c561934e089\\System.Core.dll
0,0x7d40e8c0,\\Windows\\System32\\netutils.dll
0,0x7d40f9e0,\\Windows\\System32\\en-US\\sdiagnhost.exe.mui
0,0x7d411a20,\\Windows\\System32\\en-US\\duser.dll.mui
0,0x7d4132b0,\\Windows\\Fonts\\mingliu.ttc
0,0x7d4135b0,\\ProgramData\\Microsoft\\Search\\Data\\Applications\\Windows\\MSStmp.log
0,0x7d413af0,\\Users\\devmac\\Downloads\\jnRAT\\obj\\Debug\\jnRAT.Form2.resources
0,0x7d415430,\\Users\\devmac\\AppData\\Roaming\\Microsoft\\Windows\\Start Menu\\Programs\\Maintenance\\Desktop.ini
0,0x7d416070,\\ProgramData\\Microsoft\\Windows\\Start Menu\\Programs\\Accessories\\displayswitch.lnk
0,0x7d416d50,\\Users\\devmac\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\IndexedDB\\https_drive.google.com_0.indexeddb.leveldb\\LOG
0,0x7d417370,\\Windows\\System32\\fveui.dll
0,0x7d418070,\\Windows\\System32\\msfeeds.dll
0,0x7d418d00,\\Windows\\diagnostics\\index\\PCWDiagnostic.xml
0,0x7d418e50,\\Windows\\System32\\taskschd.dll
0,0x7d419700,\\Windows\\System32\\rasdlg.dll
0,0x7d41a130,\\Windows\\assembly\\GAC_64\\BDATunePIA\\6.1.0.0__31bf3856ad364e35\\BDATunePIA.dll
0,0x7d41b1a0,\\Windows\\winsxs\\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0,0x7d41c620,\\Windows\\Web\\Wallpaper\\Architecture\\Desktop.ini
0,0x7d41cbb0,\\Windows\\System32\\en-US\\sysmain.dll.mui
0,0x7d41cf20,\\Windows\\System32\\mstscax.dll
0,0x7d41e070,\\$Directory
0,0x7d41e350,\\Windows\\assembly\\NativeImages_v2.0.50727_64\\System.Data.SqlXml\\7111bf18edb7bf9d986782131f797acb\\System.Data.SqlXml.ni.dll
0,0x7d41ea60,\\Windows\\System32\\winevt\\Logs\\Microsoft-Windows-Known Folders API Service.evtx
0,0x7d41f070,\\Windows\\System32\\en-US\\recdisc.exe.mui
0,0x7d420dd0,\\Windows\\System32\\LogFiles\\Scm\\dde8c73b-4d77-41be-b7ea-ba8e1503f5ec
0,0x7d421270,\\Windows\\System32\\msdtcVSp1res.dll
0,0x7d4215e0,\\ProgramData\\Microsoft\\Search\\Data\\Applications\\Windows\\Projects\\SystemIndex\\Indexer\\CiFiles\\00010006.ci
0,0x7d4217c0,\\Windows\\Fonts\\segoeuil.ttf
0,0x7d422070,\\Windows\\System32\\en-US\\mycomput.dll.mui
0,0x7d423070,\\Windows\\System32\\en-US\\urlmon.dll.mui
0,0x7d423f20,\\Windows\\System32\\perfproc.dll
0,0x7d4244f0,\\Users\\devmac\\AppData\\Local\\Microsoft\\Windows\\Explorer\\thumbcache_sr.db
0,0x7d424640,\\Users\\devmac\\AppData\\Local\\Google\\Chrome\\User Data\\Default\\GCM Store\\Encryption\\LOG
0,0x7d425070,\\Windows\\System32\\DHCPQEC.DLL
0,0x7d425780,\\$Directory
