TreeDepth,PID,Process,Start VPN,End VPN,Tag,Protection,CommitCharge,PrivateMemory,File output,Notes,Hexdump,Disasm
0,2000,explorer.exe,0x200000,0x200fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 .. .............
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0,2000,explorer.exe,0x4270000,0x427ffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
41 ba 80 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 A.....H.8.......
48 ff 20 90 41 ba 81 00 00 00 48 b8 38 a1 8c ff H. .A.....H.8...
fe 07 00 00 48 ff 20 90 41 ba 82 00 00 00 48 b8 ....H. .A.....H.
38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 83 00 8.......H. .A...",41 ba 80 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 81 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 82 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 83 00
0,720,wmpnetwk.exe,0x1c0000,0x1cffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
41 ba 80 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 A.....H.8.......
48 ff 20 90 41 ba 81 00 00 00 48 b8 38 a1 8c ff H. .A.....H.8...
fe 07 00 00 48 ff 20 90 41 ba 82 00 00 00 48 b8 ....H. .A.....H.
38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 83 00 8.......H. .A...",41 ba 80 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 81 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 82 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 83 00
0,2764,svchost.exe,0x2920000,0x299ffff,VadS,PAGE_EXECUTE_READWRITE,128,1,Disabled,N/A,"
20 00 00 00 e0 ff 07 00 0c 00 00 00 01 00 05 00  ...............
00 42 00 50 00 30 00 70 00 60 00 00 00 00 00 00 .B.P.0.p.`......
48 8b 45 28 c7 00 00 00 00 00 c7 40 04 00 00 00 H.E(.......@....
00 48 8b 45 28 48 8d 40 08 48 89 c2 48 8b 45 20 .H.E(H.@.H..H.E ",20 00 00 00 e0 ff 07 00 0c 00 00 00 01 00 05 00 00 42 00 50 00 30 00 70 00 60 00 00 00 00 00 00 48 8b 45 28 c7 00 00 00 00 00 c7 40 04 00 00 00 00 48 8b 45 28 48 8d 40 08 48 89 c2 48 8b 45 20
0,2764,svchost.exe,0x51c0000,0x52bffff,VadS,PAGE_EXECUTE_READWRITE,256,1,Disabled,N/A,"
20 00 00 00 e0 ff 0f 00 0c 00 00 00 01 00 05 00  ...............
00 42 00 50 00 30 00 70 00 60 00 00 00 00 00 00 .B.P.0.p.`......
ba fc ff ff ff 03 55 20 03 55 5c b9 04 00 1a 00 ......U .U\\.....
4c 8b c5 ff 95 e0 37 00 00 8b 4d 24 89 08 48 8d L.....7...M$..H.",20 00 00 00 e0 ff 0f 00 0c 00 00 00 01 00 05 00 00 42 00 50 00 30 00 70 00 60 00 00 00 00 00 00 ba fc ff ff ff 03 55 20 03 55 5c b9 04 00 1a 00 4c 8b c5 ff 95 e0 37 00 00 8b 4d 24 89 08 48 8d
0,2932,GoogleCrashHan,0x774a0000,0x775befff,VadS,PAGE_EXECUTE_READWRITE,0,1,Disabled,N/A,"
3d d3 ff ff e8 67 72 fe ff e9 33 d3 ff ff 48 8b =....gr...3...H.
41 28 48 8b 40 28 4c 39 90 58 01 00 00 48 8b bc A(H.@(L9.X...H..
24 b0 00 00 00 0f 85 16 e8 ff ff 41 8b 42 10 89 $..........A.B..
c2 c1 ea 1f 01 c2 d1 fa 41 80 7a 1c 00 0f 45 d0 ........A.z...E.",3d d3 ff ff e8 67 72 fe ff e9 33 d3 ff ff 48 8b 41 28 48 8b 40 28 4c 39 90 58 01 00 00 48 8b bc 24 b0 00 00 00 0f 85 16 e8 ff ff 41 8b 42 10 89 c2 c1 ea 1f 01 c2 d1 fa 41 80 7a 1c 00 0f 45 d0
0,2932,GoogleCrashHan,0x775c0000,0x776b9fff,VadS,PAGE_EXECUTE_READWRITE,0,1,Disabled,N/A,"
10 01 00 00 39 c2 0f 4f c2 41 89 80 14 01 00 00 ....9..O.A......
48 85 c9 74 08 44 89 f2 e8 13 3e 01 00 48 8b 44 H..t.D....>..H.D
24 28 48 89 84 24 40 01 00 00 48 8b 48 18 66 0f $(H..$@...H.H.f.
57 c0 66 0f 11 84 24 48 01 00 00 48 c7 84 24 58 W.f...$H...H..$X",10 01 00 00 39 c2 0f 4f c2 41 89 80 14 01 00 00 48 85 c9 74 08 44 89 f2 e8 13 3e 01 00 48 8b 44 24 28 48 89 84 24 40 01 00 00 48 8b 48 18 66 0f 57 c0 66 0f 11 84 24 48 01 00 00 48 c7 84 24 58
0,2980,chrome.exe,0x4e80000,0x4e8ffff,VadS,PAGE_EXECUTE_READWRITE,16,1,Disabled,N/A,"
41 ba 80 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 A.....H.8.......
48 ff 20 90 41 ba 81 00 00 00 48 b8 38 a1 8c ff H. .A.....H.8...
fe 07 00 00 48 ff 20 90 41 ba 82 00 00 00 48 b8 ....H. .A.....H.
38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 83 00 8.......H. .A...",41 ba 80 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 81 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 82 00 00 00 48 b8 38 a1 8c ff fe 07 00 00 48 ff 20 90 41 ba 83 00
0,2980,chrome.exe,0x7480000,0x7480fff,VadS,PAGE_EXECUTE_READWRITE,1,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................
00 00 48 07 00 00 00 00 00 00 00 00 00 00 00 00 ..H.............
00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 48 07 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
0,3192,SearchFilterHo,0xc40000,0xcbffff,VadS,PAGE_EXECUTE_READWRITE,2,1,Disabled,N/A,"
00 00 00 00 00 00 00 00 a5 e4 59 96 75 af 00 01 ..........Y.u...
ee ff ee ff 00 00 00 00 28 01 c4 00 00 00 00 00 ........(.......
28 01 c4 00 00 00 00 00 00 00 c4 00 00 00 00 00 (...............
00 00 c4 00 00 00 00 00 80 00 00 00 00 00 00 00 ................",00 00 00 00 00 00 00 00 a5 e4 59 96 75 af 00 01 ee ff ee ff 00 00 00 00 28 01 c4 00 00 00 00 00 28 01 c4 00 00 00 00 00 00 00 c4 00 00 00 00 00 00 00 c4 00 00 00 00 00 80 00 00 00 00 00 00 00
