TreeDepth,Offset,Proto,LocalAddr,LocalPort,ForeignAddr,ForeignPort,State,PID,Owner,Created
0,0x7d208430,UDPv6,fe80::ac5a:8332:c200:3025,64814,*,0,,1232,svchost.exe,2023-03-28 22:36:01.000000 UTC
0,0x7d22c7a0,UDPv6,::1,1900,*,0,,1232,svchost.exe,2023-03-28 22:36:01.000000 UTC
0,0x7d22cd70,UDPv6,fe80::ac5a:8332:c200:3025,1900,*,0,,1232,svchost.exe,2023-03-28 22:36:01.000000 UTC
0,0x7d276a60,UDPv4,0.0.0.0,3702,*,0,,940,svchost.exe,2023-03-28 22:36:01.000000 UTC
0,0x7d277430,UDPv4,0.0.0.0,3702,*,0,,940,svchost.exe,2023-03-28 22:36:01.000000 UTC
0,0x7d277ec0,UDPv4,0.0.0.0,3702,*,0,,940,svchost.exe,2023-03-28 22:36:01.000000 UTC
0,0x7d277ec0,UDPv6,::,3702,*,0,,940,svchost.exe,2023-03-28 22:36:01.000000 UTC
0,0x7d278320,UDPv4,0.0.0.0,64819,*,0,,940,svchost.exe,2023-03-28 22:36:01.000000 UTC
0,0x7d278320,UDPv6,::,64819,*,0,,940,svchost.exe,2023-03-28 22:36:01.000000 UTC
0,0x7d278640,UDPv4,0.0.0.0,64818,*,0,,940,svchost.exe,2023-03-28 22:36:01.000000 UTC
0,0x7d27c250,UDPv4,0.0.0.0,0,*,0,,2216,svchost.exe,2023-03-28 22:36:02.000000 UTC
0,0x7d27c250,UDPv6,::,0,*,0,,2216,svchost.exe,2023-03-28 22:36:02.000000 UTC
0,0x7d287ec0,UDPv4,0.0.0.0,0,*,0,,2216,svchost.exe,2023-03-28 22:36:02.000000 UTC
0,0x7d287ec0,UDPv6,::,0,*,0,,2216,svchost.exe,2023-03-28 22:36:02.000000 UTC
0,0x7d4315e0,UDPv4,0.0.0.0,59576,*,0,,3020,chrome.exe,2023-03-28 23:13:28.000000 UTC
0,0x7d4822d0,TCPv4,10.0.2.15,49954,142.250.187.228,443,ESTABLISHED,3020,chrome.exe,N/A
0,0x7d5d6450,TCPv4,10.0.2.15,49952,142.250.178.10,443,CLOSED,3020,chrome.exe,N/A
0,0x7d653010,UDPv6,::1,64815,*,0,,1232,svchost.exe,2023-03-28 22:36:01.000000 UTC
0,0x7d653500,UDPv4,127.0.0.1,64817,*,0,,1232,svchost.exe,2023-03-28 22:36:01.000000 UTC
0,0x7d653a70,UDPv4,10.0.2.15,64816,*,0,,1232,svchost.exe,2023-03-28 22:36:01.000000 UTC
0,0x7d679250,TCPv4,0.0.0.0,49156,0.0.0.0,0,LISTENING,460,lsass.exe,-
0,0x7d679250,TCPv6,::,49156,::,0,LISTENING,460,lsass.exe,-
0,0x7d6803d0,UDPv4,0.0.0.0,3702,*,0,,940,svchost.exe,2023-03-28 22:36:01.000000 UTC
0,0x7d6803d0,UDPv6,::,3702,*,0,,940,svchost.exe,2023-03-28 22:36:01.000000 UTC
0,0x7d6c9850,UDPv4,0.0.0.0,0,*,0,,940,svchost.exe,2023-03-28 22:38:26.000000 UTC
0,0x7d77b6f0,UDPv4,0.0.0.0,58019,*,0,,3020,chrome.exe,2023-03-28 23:14:01.000000 UTC
0,0x7d7cc5f0,UDPv4,0.0.0.0,53910,*,0,,3020,chrome.exe,2023-03-28 23:13:28.000000 UTC
0,0x7d830b00,TCPv4,0.0.0.0,5357,0.0.0.0,0,LISTENING,4,System,-
0,0x7d830b00,TCPv6,::,5357,::,0,LISTENING,4,System,-
