TreeDepth,PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64,CreateTime,ExitTime,File output
0,2516,2980,chrome.exe,0x59f3060,16,427,1,False,2023-03-28 22:39:33.000000 UTC,N/A,Disabled
0,2052,2980,chrome.exe,0x7d222b30,15,458,1,False,2023-03-28 22:41:28.000000 UTC,N/A,Disabled
0,1168,448,SearchIndexer.,0x7d46c900,14,776,0,False,2023-03-28 22:35:51.000000 UTC,N/A,Disabled
0,720,448,wmpnetwk.exe,0x7d534470,9,214,0,False,2023-03-28 22:36:00.000000 UTC,N/A,Disabled
0,2216,448,svchost.exe,0x7d55d630,4,190,0,False,2023-03-28 22:36:01.000000 UTC,N/A,Disabled
0,1976,768,dwm.exe,0x7d6dfb30,3,73,1,False,2023-03-28 22:35:43.000000 UTC,N/A,Disabled
0,2000,1964,explorer.exe,0x7d6ef920,43,1303,1,False,2023-03-28 22:35:44.000000 UTC,N/A,Disabled
0,1356,2000,regsvr32.exe,0x7d7ad060,0,-,1,False,2023-03-28 22:35:44.000000 UTC,2023-03-28 22:35:45.000000 UTC,Disabled
0,1232,448,svchost.exe,0x7db7b350,16,275,0,False,2023-03-28 22:35:27.000000 UTC,N/A,Disabled
0,800,448,svchost.exe,0x7dc02b30,34,1001,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,940,448,svchost.exe,0x7dc64b30,22,559,0,False,2023-03-28 22:35:26.000000 UTC,N/A,Disabled
0,264,448,svchost.exe,0x7dcbb6c0,16,584,0,False,2023-03-28 22:35:26.000000 UTC,N/A,Disabled
0,1044,448,spoolsv.exe,0x7ddd2b30,12,274,0,False,2023-03-28 22:35:26.000000 UTC,N/A,Disabled
0,1072,448,svchost.exe,0x7ddeab30,17,327,0,False,2023-03-28 22:35:26.000000 UTC,N/A,Disabled
0,448,356,services.exe,0x7de68410,13,216,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,468,356,lsm.exe,0x7deb6b30,9,141,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,460,356,lsass.exe,0x7deb8910,9,563,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,568,448,svchost.exe,0x7df214d0,10,360,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,3268,2980,chrome.exe,0x7df6e2c0,15,225,1,False,2023-03-28 22:39:20.000000 UTC,N/A,Disabled
0,648,448,svchost.exe,0x7df84b30,10,271,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,728,448,svchost.exe,0x7dfb3480,23,574,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,768,448,svchost.exe,0x7dfed4e0,25,501,0,False,2023-03-28 22:35:25.000000 UTC,N/A,Disabled
0,404,348,winlogon.exe,0x7e0b2060,3,115,1,False,2023-03-28 22:35:24.000000 UTC,N/A,Disabled
0,3596,2980,chrome.exe,0x7e1bd440,14,209,1,False,2023-03-28 22:37:37.000000 UTC,N/A,Disabled
0,368,348,csrss.exe,0x7e243060,9,472,1,False,2023-03-28 22:35:24.000000 UTC,N/A,Disabled
0,1844,448,taskhost.exe,0x7e321060,7,195,1,False,2023-03-28 22:35:43.000000 UTC,N/A,Disabled
0,308,292,csrss.exe,0x7e3783a0,9,446,0,False,2023-03-28 22:35:24.000000 UTC,N/A,Disabled
0,356,292,wininit.exe,0x7ead1550,3,78,0,False,2023-03-28 22:35:24.000000 UTC,N/A,Disabled
0,236,4,smss.exe,0x7ef89190,2,31,N/A,False,2023-03-28 22:35:24.000000 UTC,N/A,Disabled
0,2092,448,taskhost.exe,0x7f182630,5,114,1,False,2023-03-28 23:05:29.000000 UTC,N/A,Disabled
0,2620,2536,FTK Imager.exe,0x7f8509e0,7,306,1,True,2023-03-28 22:44:13.000000 UTC,N/A,Disabled
0,3912,2980,chrome.exe,0x7f8539e0,11,184,1,False,2023-03-28 22:38:06.000000 UTC,N/A,Disabled
0,2980,2344,chrome.exe,0x7fa9eb30,33,1146,1,False,2023-03-28 22:37:35.000000 UTC,N/A,Disabled
0,2508,2980,chrome.exe,0x7fab9a10,8,146,1,False,2023-03-28 22:37:35.000000 UTC,N/A,Disabled
0,2076,1168,SearchProtocol,0x7fb71970,8,323,0,False,2023-03-28 23:03:39.000000 UTC,N/A,Disabled
0,3824,448,svchost.exe,0x7fc469c0,0,-,0,False,2023-03-28 22:44:06.000000 UTC,2023-03-28 22:50:11.000000 UTC,Disabled
0,3192,1168,SearchFilterHo,0x7fc78270,5,102,0,False,2023-03-28 23:13:01.000000 UTC,N/A,Disabled
0,2932,2380,GoogleCrashHan,0x7fccab30,5,101,0,True,2023-03-28 22:37:35.000000 UTC,N/A,Disabled
0,3020,2980,chrome.exe,0x7fcfd6b0,16,226,1,False,2023-03-28 22:37:35.000000 UTC,N/A,Disabled
0,1968,2380,GoogleCrashHan,0x7fd19b30,5,95,0,False,2023-03-28 22:37:35.000000 UTC,N/A,Disabled
0,2204,2980,chrome.exe,0x7fd40760,8,93,1,False,2023-03-28 22:37:35.000000 UTC,N/A,Disabled
0,2564,728,audiodg.exe,0x7fdc8700,6,136,0,False,2023-03-28 22:58:24.000000 UTC,N/A,Disabled
0,1360,448,sppsvc.exe,0x7fe27b30,4,152,0,False,2023-03-28 22:37:28.000000 UTC,N/A,Disabled
0,2764,448,svchost.exe,0x7febbb30,12,334,0,False,2023-03-28 22:37:28.000000 UTC,N/A,Disabled
0,4,0,System,0x7ff39040,87,542,N/A,False,2023-03-28 22:35:24.000000 UTC,N/A,Disabled

