Ransomware Family,Configuration,Suspicious Files,Deleted Files,Suspicious Names
Cerber,NoVirus,9,0,"\\program files\\google\\chrome\\temp\\source2880_, \\users\\devmac\\appdata\\local\\microsoft\\window, \\users\\devmac\\appdata\\local\\google\\chrome\\u"
Cerber,WithVirus,1,0,\\users\\devmac\\downloads\\ransomware.cryptowall.
DLLHijacking,NoVirus,51,0,"\\users\\vboxuser\\appdata\\local\\microsoft\\oned, \\windows\\system32\\devdispitemprovider.dll"
DLLHijacking,WithVirus,57,0,"\\users\\vboxuser\\appdata\\local\\microsoft\\oned, \\windows\\system32\\devdispitemprovider.dll"
DeriaLock,NoVirus,45,0,\\users\\mapo9\\appdata\\local\\microsoft\\onedriv
DeriaLock,WithVirus,61,0,\\users\\mapo9\\appdata\\local\\microsoft\\onedriv
Dharma,NoVirus,8,0,"\\program files\\google\\chrome\\temp\\source2856_, \\windows\\system32\\devdispitemprovider.dll, \\users\\mark\\appdata\\local\\microsoft\\windows\, \\users\\mark\\appdata\\local\\google\\chrome\\use"
Dharma,WithVirus,10,0,"螅売쀌ꮹrs\\mark\\appdata\\local\\microsoft\\windows\\, \\program files\\google\\chrome\\temp\\source2856_"
GandCrab,NoVirus,61,0,"\\windows\\system32\\devdispitemprovider.dll, \\users\\mapo9\\appdata\\local\\microsoft\\onedriv"
GandCrab,WithVirus,60,0,"\\windows\\system32\\devdispitemprovider.dll, \\users\\mapo9\\appdata\\local\\microsoft\\onedriv"
GoldenEye,NoVirus,42,0,\\users\\devmac\\appdata\\local\\microsoft\\onedri
GoldenEye,WithVirus,35,0,\\users\\mapo9\\appdata\\local\\microsoft\\onedriv
InfinityCrypt,NoVirus,41,0,"\\windows\\system32\\devdispitemprovider.dll, \\users\\ieuser\\appdata\\local\\microsoft\\onedri"
InfinityCrypt,WithVirus,43,0,"\\windows\\system32\\devdispitemprovider.dll, \\users\\ieuser\\appdata\\local\\microsoft\\onedri"
Locky.AZ,NoVirus,41,0,"\\windows\\system32\\devdispitemprovider.dll, \\users\\user\\appdata\\local\\microsoft\\onedrive"
Locky.AZ,WithVirus,42,0,\\users\\user\\appdata\\local\\microsoft\\onedrive
LuckyLcoker,NoVirus,1,0,\\windows\\system32\\devdispitemprovider.dll
LuckyLcoker,WithVirus,1,0,\\windows\\system32\\devdispitemprovider.dll
PowerLoader,NoVirus,12,0,"\\users\\devmac\\appdata\\local\\google\\chrome\\u, \\program files\\google\\chrome\\temp\\source3948_, \\windows\\assembly\\nativeimages_v2.0.50727_32\\t"
PowerLoader,WithVirus,114,0,\\windows\\assembly\\nativeimages_v2.0.50727_32\\t
RedTail,NoVirus,51,0,"\\users\\vboxuser\\appdata\\local\\microsoft\\oned, \\windows\\system32\\devdispitemprovider.dll"
RedTail,WithVirus,42,0,"\\users\\vboxuser\\appdata\\local\\microsoft\\oned, \\windows\\system32\\devdispitemprovider.dll"
SporaRansomware,NoVirus,62,0,"\\windows\\system32\\devdispitemprovider.dll, \\users\\mapo9\\appdata\\local\\microsoft\\edgeupd, \\users\\mapo9\\appdata\\local\\microsoft\\onedriv"
SporaRansomware,WithVirus,59,0,"\\users\\mapo9\\appdata\\local\\temp\\020e8418-049, \\windows\\system32\\devdispitemprovider.dll, \\users\\mapo9\\appdata\\local\\microsoft\\edgeupd, \\users\\mapo9\\appdata\\local\\microsoft\\onedriv"
W32.MyDoom.A.,NoVirus,0,0,
W32.MyDoom.A.,WithVirus,0,0,
WannaCry,NoVirus,0,0,
WannaCry,WithVirus,0,0,
Win32.BlackWorm,NoVirus,80,0,"\\windows\\assembly\\nativeimages_v2.0.50727_32\\t, \\windows\\assembly\\nativeimages_v2.0.50727_64\\t"
Win32.BlackWorm,WithVirus,6,0,"\\users\\devmac\\downloads\\ransomware.cryptowall., \\users\\devmac\\appdata\\local\\microsoft\\window, \\users\\devmac\\downloads\\ransomware.cryptowall\"
