Ransomware Family,Configuration,Hidden Procs,Total PSSCAN,Total PSLIST,Suspicious Names
Cerber,NoVirus,0,52,52,
Cerber,WithVirus,15,59,44,"chrome.exe, SearchFilterHo, VSSVC.exe, msiexec.exe, audiodg.exe"
DLLHijacking,NoVirus,0,125,126,
DLLHijacking,WithVirus,1,178,178,svchost.exe
DeriaLock,NoVirus,5,165,162,"WmiPrvSE.exe, msedge.exe, svchost.exe"
DeriaLock,WithVirus,2,176,175,"msoobe.exe, HxTsr.exe"
Dharma,NoVirus,2,57,55,"chrome.exe, taskeng.exe"
Dharma,WithVirus,18,72,54,"chrome.exe, WmiPrvSE.exe, iexplore.exe, VSSVC.exe, GoogleUpdate.e"
GandCrab,NoVirus,3,145,142,"backgroundTask, winpmem_mini_x, cmd.exe"
GandCrab,WithVirus,1,149,148,msedge.exe
GoldenEye,NoVirus,13,98,85,"RuntimeBroker., OneDriveStanda, conhost.exe, svchost.exe, taskhostw.exe"
GoldenEye,WithVirus,2,124,122,dllhost.exe
InfinityCrypt,NoVirus,0,122,122,
InfinityCrypt,WithVirus,1,101,100,RuntimeBroker.
Locky.AZ,NoVirus,0,153,155,
Locky.AZ,WithVirus,0,162,164,
LuckyLcoker,NoVirus,22,76,54,"SrTasks.exe, dllhost.exe, conhost.exe, notepad.exe, chrome.exe"
LuckyLcoker,WithVirus,21,76,55,"SrTasks.exe, dllhost.exe, conhost.exe, 3_moving_block, VSSVC.exe"
PowerLoader,NoVirus,2,52,50,"GoogleUpdate.e, dllhost.exe"
PowerLoader,WithVirus,5,46,41,"SearchFilterHo, conhost.exe, dllhost.exe, bin2hex.exe, SearchProtocol"
RedTail,NoVirus,0,125,126,
RedTail,WithVirus,1,138,138,svchost.exe
SporaRansomware,NoVirus,2,94,93,"RuntimeBroker., dllhost.exe"
SporaRansomware,WithVirus,1,98,97,VSSVC.exe
W32.MyDoom.A.,NoVirus,57,57,0,"WmiPrvSE.exe, msiexec.exe, svchost.exe, regsvr32.exe, chrome.exe"
W32.MyDoom.A.,WithVirus,70,70,0,"sppsvc.exe, SearchIndexer., System, svchost.exe, lsass.exe"
WannaCry,NoVirus,4,50,46,"., P, 0,  versionScope=N, dllhost.exe"
WannaCry,WithVirus,2,54,52,"hs�����, '�""2, taskdl.exe"
Win32.BlackWorm,NoVirus,2,53,51,"msiexec.exe, chrome.exe"
Win32.BlackWorm,WithVirus,1,45,44,svchost.exe
