label,family,pslist_n,psscan_n,pstree_n,cmdline_n,hidden_procs,pslist_threads_mean,pslist_handles_mean,cmdline_suspicious,malfind_n,malfind_private_total,malfind_commit_total,vad_n,vad_private_total,injection_ratio,netscan_n,netscan_tcp,netscan_remote,netscan_suspicious,filescan_n,ransom_files,handles_n,handles_mutant,handles_file,handles_process,dll_n,dll_loadcount_mean,drivers_n,threads_n,ssdt_n,registry_hives_n,svchost_exe_n,lsass_exe_n,rundll32_exe_n,powershell_exe_n
0,Cerber,52,52,52,52,0,14.096153846153847,314.0576923076923,0,6,6,11,7747,3391,0.11538461538461539,78,78,28,7,4625,0,16295,473,1455,467,2608,5.197852760736196,103,783,401,13,11.0,1.0,0.0,0.0
1,Cerber,44,95,44,44,51,13.863636363636363,324.1363636363636,0,6,6,11,6307,2611,0.13636363636363635,168,168,66,25,8627,1,14204,471,1205,344,2258,5.594331266607617,202,672,401,13,10.0,1.0,0.0,0.0
0,DLLHijacking,126,126,126,126,0,9.166666666666666,0.0,0,18,18,1873,15637,5133,0.14285714285714285,0,0,0,0,4979,0,37058,0,1883,0,5498,4.839214259730811,144,1254,992,0,69.0,1.0,0.0,0.0
1,DLLHijacking,178,179,178,178,1,8.752808988764045,0.0,1,8,8,1579,23799,9273,0.0449438202247191,0,0,0,0,6261,1,62500,891,3377,1764,6997,4.824924967843361,149,1749,992,53,73.0,1.0,0.0,2.0
0,DeriaLock,162,176,162,162,14,11.308641975308642,0.0,0,9,9,2398,20886,6159,0.05555555555555555,130,130,92,66,5943,0,60923,999,3335,1864,7809,4.802407478550391,130,1995,962,30,76.0,1.0,0.0,0.0
1,DeriaLock,175,183,175,175,8,8.891428571428571,0.0,0,3,3,784,22729,7704,0.017142857142857144,140,140,49,8,6832,0,64474,847,3703,2071,7270,4.659422283356259,126,1708,962,36,75.0,1.0,4.0,0.0
0,Dharma,55,57,55,55,2,13.327272727272728,0.0,0,13,13,1092,14432,4852,0.23636363636363636,142,142,67,28,3734,0,22897,434,1813,448,3026,5.229676140118969,101,817,475,16,11.0,1.0,0.0,0.0
1,Dharma,54,116,54,54,62,13.12962962962963,0.0,0,12,12,868,9208,4208,0.2222222222222222,273,273,128,50,6831,0,22444,515,1755,431,2883,5.276795005202914,204,832,475,16,11.0,1.0,0.0,0.0
0,GandCrab,142,145,142,142,3,9.725352112676056,0.0,0,19,19,1881,20898,7946,0.13380281690140844,112,112,68,19,5841,0,56639,920,2750,1539,6836,4.9278818022235225,122,1578,781,29,73.0,1.0,0.0,0.0
1,GandCrab,148,149,148,148,1,9.533783783783784,0.0,0,14,14,1110,23359,9417,0.0945945945945946,127,127,73,28,5999,0,56156,901,2847,1617,6669,4.898785425101215,122,1552,781,33,72.0,1.0,0.0,0.0
0,GoldenEye,85,98,85,85,13,13.623529411764705,0.0,0,8,8,1578,14746,5570,0.09411764705882353,73,73,40,6,4387,0,43698,704,2288,1163,4818,0.2638024076380241,122,1278,781,25,24.0,1.0,0.0,0.0
1,GoldenEye,122,124,30,122,2,14.229508196721312,0.0,0,42,42,658,21163,8220,0.3442622950819672,95,95,62,34,5426,0,55229,1019,2897,1427,6581,4.889378513903662,120,1894,781,45,27.0,1.0,1.0,0.0
0,InfinityCrypt,122,129,122,122,7,11.614754098360656,0.0,0,20,20,1336,16325,6185,0.16393442622950818,90,90,50,27,3906,0,47346,741,2280,1341,5928,4.708670715249663,175,1533,707,27,24.0,1.0,0.0,0.0
1,InfinityCrypt,100,102,100,100,2,12.81,0.0,0,4,4,1042,17148,7295,0.04,136,136,76,34,4165,0,39788,844,2092,945,4457,4.863361005160422,117,1497,707,28,24.0,1.0,0.0,0.0
0,Locky.AZ,155,160,155,155,5,9.980645161290322,0.0,0,17,17,2147,18927,5932,0.10967741935483871,94,94,45,12,5090,0,53606,678,2958,1773,6821,4.752089136490251,137,1696,962,31,72.0,1.0,0.0,0.0
1,Locky.AZ,164,166,164,164,2,10.146341463414634,0.0,0,26,26,1906,20405,6924,0.15853658536585366,113,113,44,18,6393,0,57402,789,2925,1759,6822,4.6643213133978305,139,1787,962,31,75.0,1.0,0.0,0.0
0,LuckyLcoker,54,76,54,54,22,13.351851851851851,0.0,0,12,12,883,14296,3648,0.2222222222222222,132,132,59,19,4394,0,21776,474,1790,451,2888,4.730263157894737,102,800,626,14,12.0,1.0,0.0,0.0
1,LuckyLcoker,55,76,55,55,21,12.709090909090909,0.0,0,15,15,890,14424,3684,0.2727272727272727,131,131,59,21,4500,0,22066,462,1796,455,2931,4.658137154554759,102,804,626,14,12.0,1.0,0.0,0.0
0,PowerLoader,50,52,50,50,2,13.2,298.5,0,6,6,10,6990,2950,0.12,115,115,60,39,2938,0,14870,425,1285,391,2504,4.8370607028754,103,710,401,13,11.0,1.0,0.0,0.0
1,PowerLoader,41,46,41,41,5,13.463414634146341,325.9024390243902,0,5,5,10,6314,2750,0.12195121951219512,87,87,33,13,4437,0,13355,457,1271,343,2122,5.581526861451461,103,618,401,13,10.0,1.0,0.0,0.0
0,RedTail,126,126,126,126,0,9.166666666666666,0.0,0,18,18,1873,15637,5133,0.14285714285714285,0,0,0,0,4979,0,37058,0,1883,0,5498,4.839214259730811,144,1254,992,0,69.0,1.0,0.0,0.0
1,RedTail,138,140,138,138,2,11.485507246376812,0.0,0,4,4,1306,18173,6018,0.028985507246376812,0,0,0,0,4083,0,46693,563,2219,1455,3044,7.885676741130092,146,1683,992,38,71.0,1.0,0.0,0.0
0,SporaRansomware,93,107,93,93,14,19.397849462365592,0.0,0,9,9,1254,17324,7162,0.0967741935483871,91,91,58,54,4461,0,44925,771,2729,1354,5246,5.013915364086923,121,1371,595,27,22.0,1.0,0.0,0.0
1,SporaRansomware,97,110,97,97,13,13.1340206185567,0.0,0,13,13,1326,18688,7776,0.13402061855670103,108,108,62,31,5100,0,46844,822,2601,1332,5944,4.986036339165545,120,1423,595,30,26.0,1.0,0.0,0.0
0,W32.MyDoom.A.,0,57,0,0,57,0.0,0.0,0,0,0,0,0,0,0.0,101,101,42,7,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
1,W32.MyDoom.A.,0,116,0,0,116,0.0,0.0,0,0,0,0,0,0,0.0,202,202,80,10,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0
0,WannaCry,46,54,46,46,8,12.891304347826088,334.3695652173913,0,9,9,739,6092,2372,0.1956521739130435,87,87,30,4,3653,0,15372,377,1551,355,2196,5.193533697632058,102,650,417,15,12.0,1.0,1.0,0.0
1,WannaCry,52,58,52,52,6,11.25,274.36538461538464,0,7,7,708,6578,2499,0.1346153846153846,87,87,32,7,2324,0,13779,388,1197,359,2436,4.593596059113301,102,651,417,15,11.0,1.0,0.0,0.0
0,Win32.BlackWorm,51,53,51,51,2,13.509803921568627,311.37254901960785,0,12,12,456,7087,2852,0.23529411764705882,85,85,24,4,3778,0,15787,472,1338,381,2649,4.738014345035863,107,746,417,13,12.0,1.0,0.0,0.0
1,Win32.BlackWorm,44,45,44,44,1,13.681818181818182,337.6818181818182,0,10,10,436,6518,2579,0.22727272727272727,90,90,23,4,4010,5,14750,446,1279,349,2367,5.149556400506971,107,672,417,13,11.0,1.0,0.0,0.0
